Campaign.ID,Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,MarinePark,Location_ID,Location_name,MP Zoning,Rep_ID,Set.duration,Observer
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_1_1_Northern_20230925 ,-29.73028,153.35375,20230925,9:21:00,S1_1,S1,No-take,29,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,S1,Northern ,NoTake,S1_1_1,30,HamishMalcolm
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_1_2_Northern_20230925,-29.72806,153.355,20230925,11:16:00,S1_1,S1,No-take,31,Yes,Yes,Art Schultz,Art Schultz,SIMP,S1,Northern ,NoTake,S1_1_2,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_1_3_Northern_20230925,-29.7261,153.35469,20230925,12:57:00,S1_1,S1,No-take,25,Yes,Yes,Sarah Chyriwsky,Sarah Chyriwsky,SIMP,S1,Northern ,NoTake,S1_1_3,30,Sarah Chyriwsky
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_1_4_Northern_20230925,-29.725,153.35583,20230925,12:14:00,S1_1,S1,No-take,26,Yes,Yes,Sarah Chyriwsky,Sarah Chyriwsky,SIMP,S1,Northern ,NoTake,S1_1_4,30,Sarah Chyriwsky
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_2_1_Northern_20230809,-29.74967,153.35307,20230809,18:00:00,S1_2,S1,No-take,33,Yes,Yes,Art Schultz,Art Schultz,SIMP,S1,Northern ,NoTake,S1_2_1,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_2_2_Northern_20230809,-29.74866,153.35097,20230809,16:48:00,S1_2,S1,No-take,32,Yes,Yes,Art Schultz,Art Schultz,SIMP,S1,Northern ,NoTake,S1_2_2,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_2_3_Northern_20230809,-29.74724,153.3497,20230809,9:50:00,S1_2,S1,No-take,34,Yes,Yes,Art Schultz,Art Schultz,SIMP,S1,Northern ,NoTake,S1_2_3,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S1_2_4_Northern_20230809,-29.74548,153.35111,20230809,12:00:00,S1_2,S1,No-take,34,Yes,Yes,Art Schultz,Art Schultz,SIMP,S1,Northern ,NoTake,S1_2_4,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_1_1_Butterfly_20230718,-29.95597,153.29799,20230718,10:04:00,S3_1,S3,No-take,29,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_1_1,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_1_2_Butterfly_20230718,-29.95428,153.29872,20230718,8:52:00,S3_1,S3,No-take,28.2,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_1_2,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_1_3_Butterfly_20230718,-29.95241,153.29935,20230718,18:57:00,S3_1,S3,No-take,29,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_1_3,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_1_4_Butterfly_20230718,-29.95112,153.29791,20230718,12:00:00,S3_1,S3,No-take,28.5,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_1_4,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_2_1_Butterfly_20230718,-29.94715,153.30512,20230718,13:12:00,S3_2,S3,No-take,30,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_2_1,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_2_2_Butterfly_20230718,-29.94695,153.30289,20230718,14:52:00,S3_2,S3,No-take,28,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_2_2,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_2_3_Butterfly_20230718,-29.94657,153.30061,20230718,16:19:00,S3_2,S3,No-take,28,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_2_3,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S3_2_4_Butterfly_20230718,-29.94355,153.3027,20230718,18:14:00,S3_2,S3,No-take,27.5,Yes,Yes,Art Schultz,Art Schultz,SIMP,S3,Butterfly,NoTake,S3_2_4,30,Art Schultz
2023-07-SIMP_intermediate_reef-stereoBRUVs,S4_1_1_40Acres_20230713,-30.20448,153.22656,20230713,16:33:00,S4_1,S4,No-take,25,Yes,Yes,Art Schultz,Art Schultz,SIMP,S4,40Acres,NoTake,S4_1_1,30,Art Schultz
