OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
AD25	Sam Wines	8.3	Macroalgae, around 10 sp	Latitude	-38.34546	Longitude	144.33151	Date	2018-03-08	Time	1618	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD28	Sam Wines	14.8	Macroalgae	Latitude	-38.43987518	Longitude	144.162649	Date	2018-04-09	Time	1345	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD29	Sam Wines	12.1	Macroalgae, Some obstruction from algae	Latitude	-38.44333265	Longitude	144.1420504	Date	2018-03-08	Time	925	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD34	Sam Wines	3.6	Shallow, Macroalgae, Lands facing down	Latitude	-38.41348	Longitude	144.21357	Date	2018-03-08	Time	1142	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD54	Sam Wines	34.4	Good viz, inverts, ~15 sp	Latitude	-38.42620528	Longitude	144.2397516	Date	2018-03-07	Time	1259	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD59	Sam Wines	50.7	Sand, saw shark, seal, arrow squid	Latitude	-38.45897127	Longitude	144.2132637	Date	2018-03-07	Time	1628	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD69	Sam Wines	7.6	Terrible viz	Latitude	-38.37809498	Longitude	144.2752488	Date	2018-03-08	Time	1448	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD71	Sam Wines	38.0	Lots of snapper and caesioperca	Latitude	-38.48621355	Longitude	144.1415019	Date	2018-04-09	Time	1226	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD01	Sam Wines	7.9	Facing down, Conger Eel, Kelpfish	Latitude	-38.40790848	Longitude	144.2180173	Date	2018-03-08	Time	1146	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD26	Sam Wines	8.2	No tail smooth ray	Latitude	-38.34669529	Longitude	144.3245494	Date	2018-03-08	Time	1613	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD31	Sam Wines	7.3	Macroalgae	Latitude	-38.43683638	Longitude	144.1414446	Date	2018-03-08	Time	921	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD35	Sam Wines	8.0	Facing up, fish only silhouettes. Macroalgae	Latitude	-38.40995412	Longitude	144.2352927	Date	2018-04-09	Time	826	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD36	Sam Wines	6.4	Around 15 sp	Latitude	-38.41419753	Longitude	144.2204386	Date	2018-03-08	Time	1257	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD40	Sam Wines	31.0	Nice mixed drop	Latitude	-38.407186	Longitude	144.269465	Date	2018-03-07	Time	920	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD43	Sam Wines	30.8	Nice mixed drop	Latitude	-38.41372211	Longitude	144.2618865	Date	2018-03-07	Time	1057	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD44	Sam Wines	28.8	Nice mixed drop	Latitude	-38.42839816	Longitude	144.2202511	Date	2018-03-07	Time	1426	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD45	Sam Wines	20.5	Macroalgae	Latitude	-38.417547	Longitude	144.228898	Date	2018-03-07	Time	1253	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
