Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
PPH_01,-38.28636769,144.62963,20180407,14:23:00,PPH,No-take,PPH,-6.764999866,Sasha Whitmarsh,Yes,Yes,NA,
PPH_02,-38.28016609,144.62507,20180407,11:26:00,PPH,No-take,PPH,-5.846000195,Sasha Whitmarsh,Yes,Yes,NA,
PPH_03,-38.2873349,144.62,20180407,11:33:00,PPH,No-take,PPH,-7.485000134,Sasha Whitmarsh,Yes,Yes,NA,
PPH_04,-38.29011756,144.62258,20180407,14:19:00,PPH,No-take,PPH,-5.170000076,Sasha Whitmarsh,Yes,Yes,NA,
PPH_05,-38.29667168,144.61299,20180408,11:15:00,PPH,No-take,PPH,-5.771999836,Sasha Whitmarsh,Yes,Yes,NA,Watched re-do; obscured by algae
PPH_06,-38.29461679,144.61027,20180408,11:20:00,PPH,No-take,PPH,-7.624000072,Sasha Whitmarsh,Yes,Yes,NA,"Lots of algae, sometimes obscured"
PPH_07,-38.28473282,144.63653,20180407,14:29:00,PPH,Fished,PPH,-9.491000175,Sasha Whitmarsh,Yes,Yes,NA,tipped up at 31 min
PPH_08,-38.28302156,144.63434,20180407,14:32:00,PPH,Fished,PPH,-5.169000149,Sasha Whitmarsh,Yes,Yes,NA,Diode not on
PPH_09,-38.27528186,144.65549,20180408,9:48:00,PPH,Fished,PPH,-7.198999882,Sasha Whitmarsh,Yes,Yes,NA,
PPH_10,-38.30163849,144.65852,20180408,8:10:00,PPH,Fished,PPH,-4.505000114,Sasha Whitmarsh,Yes,Yes,NA,
PPH_11,-38.30422645,144.65929,20180408,9:32:00,PPH,No-take,PPH,-2.545000076,Sasha Whitmarsh,Yes,Yes,NA,
PPH_12,-38.30412315,144.65585,20180408,9:35:00,PPH,No-take,PPH,-0.4534,Sasha Whitmarsh,Yes,Yes,NA,
PPH_13,-38.29406433,144.59827,20180408,11:26:00,PPH,Fished,PPH,-7.113999844,Sasha Whitmarsh,Yes,Yes,NA,
PPH_14,-38.29019422,144.58883,20180408,11:29:00,PPH,Fished,PPH,-5.599999905,Sasha Whitmarsh,Yes,Yes,NA,
PPH_15,-38.29287752,144.62568,20180407,12:56:00,PPH,No-take,PPH,-10.15,Sasha Whitmarsh,Yes,Yes,NA,"Very green, undaria"
PPH_16,-38.28886255,144.6318,20180514,13:01:00,PPH,No-take,PPH,-13.39000034,Sasha Whitmarsh,Yes,Yes,NA,Flipped on landing
PPH_18,-38.29875923,144.62303,20180407,12:48:00,PPH,No-take,PPH,-8.98900032,Sasha Whitmarsh,Yes,Yes,NA,
PPH_19,-38.29031372,144.62858,20180407,12:59:00,PPH,No-take,PPH,-7.675000191,Sasha Whitmarsh,Yes,Yes,NA,Murky - low vis
PPH_20,-38.28802068,144.6253,20180407,11:36:00,PPH,No-take,PPH,-5.445000172,Sasha Whitmarsh,Yes,Yes,NA,
PPH_21,-38.29374722,144.6213,20180407,12:54:00,PPH,No-take,PPH,-6.127,Sasha Whitmarsh,Yes,Yes,NA,
PPH_22,-38.29701025,144.61856,20180407,12:52:00,PPH,No-take,PPH,-10.59000015,Sasha Whitmarsh,Yes,Yes,NA,LJ spawning/courtship at 36.4? SO many wrasse
PPH_23,-38.29332888,144.60545,20180407,14:32:00,PPH,Fished,PPH,-9.491,Sasha Whitmarsh,Yes,Yes,NA,Tipped up at 31 min
PPH_24,-38.28342646,144.62407,20180407,11:28:00,PPH,No-take,PPH,-6.805,Sasha Whitmarsh,Yes,Yes,NA,
PPH_25,-38.28298327,144.61985,20180407,11:30:00,PPH,No-take,PPH,-4.051,Sasha Whitmarsh,Yes,No,NA,scored 173
PPH_26,-38.27866588,144.62151,20180407,11:23:00,PPH,No-take,PPH,-5.15899992,Sasha Whitmarsh,Yes,Yes,NA,
PPH_28,-38.27864489,144.63372,20180408,9:44:00,PPH,Fished,PPH,-4.78,Sasha Whitmarsh,Yes,Yes,NA,
PPH_29,-38.27643445,144.63761,20180408,9:46:00,PPH,Fished,PPH,-5.15500021,Sasha Whitmarsh,Yes,Yes,NA,
PPH_30,-38.28681842,144.63566,20180407,14:27:00,PPH,Fished,PPH,-17.99,Sasha Whitmarsh,Yes,Yes,NA,Flipped at 15 mins
PPH_31,-38.28176565,144.63952,20180407,14:35:00,PPH,Fished,PPH,-12.72999954,Sasha Whitmarsh,Yes,Yes,NA,
PPH_32,-38.31374326,144.6595,20180408,16:09:00,PPH,No-take,PPH,-6.989999771,Sasha Whitmarsh,Yes,Yes,NA,
PPH_33,-38.31035201,144.65443,20180408,16:03:00,PPH,No-take,PPH,-7,Sasha Whitmarsh,Yes,Yes,NA,"heavily obscured, tipped forward ~20mins"
PPH_34,-38.30606,144.64868,20180408,16:00:00,PPH,No-take,PPH,-7.241000175,Sasha Whitmarsh,Yes,Yes,NA,Poor vis
PPH_35,-38.30423,144.64608,20180408,15:58:00,PPH,No-take,PPH,-8.350999832,Sasha Whitmarsh,Yes,No,NA,
PPH_36,-38.30727867,144.64562,20180408,13:44:00,PPH,No-take,PPH,-14.27999973,Sasha Whitmarsh,Yes,Yes,NA,
PPH_37,-38.31120127,144.65041,20180408,13:49:00,PPH,No-take,PPH,-14.28999996,Sasha Whitmarsh,Yes,Yes,NA,
PPH_38,-38.31449034,144.64858,20180408,13:53:00,PPH,No-take,PPH,-11.85000038,Sasha Whitmarsh,Yes,Yes,NA,
PPH_39,-38.31433617,144.65517,20180408,16:08:00,PPH,No-take,PPH,-12.97,Sasha Whitmarsh,Yes,Yes,NA,
PPH_40,-38.31892921,144.65535,20180408,13:54:00,PPH,No-take,PPH,-11.69999981,Sasha Whitmarsh,Yes,Yes,NA,Very sandy sometimes
PPH_41,-38.32010002,144.65013,20180408,16:13:00,PPH,No-take,PPH,-12.05000019,Sasha Whitmarsh,Yes,Yes,NA,Very sandy sometimes
PPH_42,-38.30728215,144.64223,20180408,13:41:00,PPH,No-take,PPH,-16.32999992,Sasha Whitmarsh,Yes,Yes,NA,
PPH_43,-38.31047267,144.6444,20180408,13:46:00,PPH,No-take,PPH,-26.64,Sasha Whitmarsh,Yes,Yes,NA,salmon with bent back
PPH_44,-38.306558,144.6636,20180408,9:27:00,PPH,No-take,PPH,-2.638999939,Sasha Whitmarsh,Yes,Yes,NA,
PPH_45,-38.30374041,144.6788,20180408,7:55:00,PPH,No-take,PPH,-9.661000252,Sasha Whitmarsh,Yes,Yes,NA,
