Sample,Longitude,Latitude,inclusion.probabilities,domain,FoV,Relief,Soft substata,Hard substrata,Biota,Habitat
47,147.155,-39.3782,0.277359762,4,Open,0,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
48,147.507,-39.5514,0.014952987,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
49,147.152,-39.3677,0.283535275,4,Open,4,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Dense Tall Invert complex,Reef
50,147.166,-39.4435,0.286235058,4,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Sparse Short Invert complex,Coarse sand
51,147.487,-39.5101,0.015887206,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
52,147.516,-39.5292,0.015865685,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
53,147.148,-39.086,0.01515253,3,Open,0,50-75% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
55,147.144,-39.3612,0.284842335,4,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Dense Tall Invert complex,Shellhash
56,147.078,-39.0746,0.01515253,3,Open,0,0-25% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
57,147.128,-39.3401,0.287019057,4,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Medium Short Invert complex,Shellhash
59,147.136,-39.3564,0.285629402,4,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
60,147.105,-39.2981,0.287064015,4,Open,2,75-100% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Shellhash
61,147.496,-39.504,0.015906925,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
62,147.131,-39.3497,0.286612374,4,Open,3,25-50% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
64,147.152,-39.373,0.280126732,4,Open,2,25-50% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
65,147.53,-39.5513,0.015868256,2,Open,2,25-50% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
