Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,datetime
20_80M_1N,18.83335,121.5498833,20201024,9:42:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,10,Yes,Yes,Curtin,20201024 09:42
20_80M_2N,18.832851,121.537588,20201024,9:48:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,11,Yes,Yes,Curtin,20201024 09:48
20_80M_3N,18.825206,121.540352,20201024,9:53:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13,Yes,Yes,Curtin,20201024 09:53
20_80M_4N,18.81926,121.530413,20201024,9:58:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.8,Yes,Yes,Curtin,20201024 09:58
20_80M_5N,18.818406,121.524151,20201024,10:02:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,Yes,Yes,Curtin,20201024 10:02
20_80M_6N,18.809505,121.516292,20201024,10:08:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,No,No,Curtin,20201024 10:08
20_80M_7N,18.809406,121.522375,20201024,10:11:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,Yes,Yes,Curtin,20201024 10:11
20_80M_8N,18.806786,121.525184,20201024,11:33:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15,No,No,Curtin,20201024 11:33
20_80M_9N,18.801353,121.532572,20201024,11:38:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15,Yes,Yes,Curtin,20201024 11:38
20_80M_10N,18.800348,121.537569,20201024,11:40:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,Yes,Yes,Curtin,20201024 11:40
20_80M_11N,18.795186,121.542292,20201024,11:45:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15,Yes,Yes,Curtin,20201024 11:45
20_80M_12N,18.790349,121.551613,20201024,11:51:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,No,No,Curtin,20201024 11:51
20_80M_13N,18.778674,121.550273,20201024,11:56:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15,Yes,Yes,Curtin,20201024 11:56
20_80M_14N,18.771744,121.557646,20201024,12:02:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15,Yes,Yes,Curtin,20201024 12:02
20_80M_15N,18.792042,121.563337,20201024,13:39:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13,Yes,Yes,Curtin,20201024 13:39
20_80M_16N,18.805031,121.548712,20201024,13:48:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,Yes,Yes,Curtin,20201024 13:48
20_80M_17N,18.80783,121.552363,20201024,13:50:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,Yes,Yes,Curtin,20201024 13:50
20_80M_18N,18.81407,121.561751,20201024,13:55:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.3,Yes,Yes,Curtin,20201024 13:55
20_80M_19N,18.816848,121.550074,20201024,14:02:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.6,Yes,Yes,Curtin,20201024 14:02
20_80M_20N,18.824501,121.557647,20201024,14:07:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,11.2,Yes,Yes,Curtin,20201024 14:07
20_80M_1F,18.76556667,121.5512333,20201024,9:15:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14.4,Yes,Yes,Curtin,20201024 09:15
20_80M_2F,18.75735,121.5505833,20201024,9:22:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.9,Yes,Yes,Curtin,20201024 09:22
20_80M_3F,18.74885,121.5477,20201024,9:28:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.5,Yes,Yes,Curtin,20201024 09:28
20_80M_4F,18.74658333,121.532,20201024,9:36:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.5,Yes,Yes,Curtin,20201024 09:36
20_80M_5F,18.75595,121.5381167,20201024,9:42:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.5,Yes,Yes,Curtin,20201024 09:42
20_80M_6F,18.76173333,121.5391667,20201024,9:49:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.9,Yes,Yes,Curtin,20201024 09:49
20_80M_7F,18.76235,121.53115,20201024,11:05:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.7,Yes,Yes,Curtin,20201024 11:05
20_80M_8F,18.7604,121.5255167,20201024,11:09:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.3,Yes,Yes,Curtin,20201024 11:09
20_80M_9F,18.76086667,121.5213167,20201024,11:13:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.7,Yes,Yes,Curtin,20201024 11:13
20_80M_10F,18.76246667,121.5143667,20201024,11:17:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.8,Yes,Yes,Curtin,20201024 11:17
20_80M_11F,18.75191667,121.5142333,20201024,11:24:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.8,Yes,Yes,Curtin,20201024 11:24
20_80M_12F,18.74966667,121.5237667,20201024,11:29:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.7,Yes,Yes,Curtin,20201024 11:29
20_80M_13F,18.75571667,121.5244667,20201024,11:34:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.5,Yes,Yes,Curtin,20201024 11:34
20_80M_14F,18.77505,121.5296,20201024,13:19:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.5,Yes,Yes,Curtin,20201024 13:19
20_80M_15F,18.78296667,121.5293,20201024,13:23:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.9,Yes,Yes,Curtin,20201024 13:23
20_80M_16F,18.7882,121.5237,20201024,13:28:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.2,Yes,Yes,Curtin,20201024 13:28
20_80M_17F,18.79251667,121.52135,20201024,13:32:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17,Yes,Yes,Curtin,20201024 13:32
20_80M_18F,18.78745,121.5130833,20201024,13:36:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.7,Yes,Yes,Curtin,20201024 13:36
20_80M_19F,18.77798333,121.5025333,20201024,13:42:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,20.3,Yes,Yes,Curtin,20201024 13:42
20_80M_20F,18.77426667,121.5105167,20201024,13:46:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,20.1,Yes,Yes,Curtin,20201024 13:46
20_80M_21N,18.840217,121.551949,20201025,14:14:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.1,Yes,No,Curtin,20201025 14:14
20_80M_22N,18.837275,121.510249,20201025,8:27:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.3,Yes,Yes,Curtin,20201025 08:27
20_80M_23N,18.838133,121.501602,20201025,8:31:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.2,Yes,Yes,Curtin,20201025 08:31
