Dot Point Measurements																									
																									
"Generated: Tuesday, December 05, 2017 15:33:46"																									
																									
Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	136	576	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	405	576	12/01/2017	Butlers Point Autumn											Invertebrate Complex			Open	3. Good relief structure with some overhangs. >45 substrate slope				46.9
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	675	576	12/01/2017	Butlers Point Autumn											Invertebrate Complex	Complex 5		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				46.9
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	944	576	12/01/2017	Butlers Point Autumn											Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			64.3
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	136	960	12/01/2017	Butlers Point Autumn											Open Water			Open					46.6
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	405	960	12/01/2017	Butlers Point Autumn											Invertebrate Complex			Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				15.5
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	675	960	12/01/2017	Butlers Point Autumn											Invertebrate Complex	Complex 5		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				15.5
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	944	960	12/01/2017	Butlers Point Autumn											Unconsolidated	Sand / mud (coarse sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			46.6
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	136	1344	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	405	1344	12/01/2017	Butlers Point Autumn											Open Water			Open					46.9
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	675	1344	12/01/2017	Butlers Point Autumn											Sponges	Erect forms	Branching	Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope	10000915			46.9
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	944	1344	12/01/2017	Butlers Point Autumn											Unconsolidated	Sand / mud (coarse sand)		Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			64.3
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	136	1727	12/01/2017	Butlers Point Autumn											Open Water			Open					100
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	405	1727	12/01/2017	Butlers Point Autumn											Open Water			Open					89.8
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	675	1727	12/01/2017	Butlers Point Autumn											Invertebrate Complex			Open	3. Good relief structure with some overhangs. >45 substrate slope				89.8
DeepReef_Butlers_03_26032015_286.avi	19856	02:42.2	944	1727	12/01/2017	Butlers Point Autumn											Unconsolidated	Sand / mud (coarse sand)		Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			100
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	136	193	12/01/2017	Butlers Point Autumn											Open Water			Open					100
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	405	193	12/01/2017	Butlers Point Autumn											Open Water			Open					89.8
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	675	193	12/01/2017	Butlers Point Autumn											Unknown			Open	Unknown				89.8
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	944	193	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	80300902			100
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	136	576	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	405	576	12/01/2017	Butlers Point Autumn											Open Water			Open					46.9
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	675	576	12/01/2017	Butlers Point Autumn											Unknown			Open	Unknown				46.9
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	944	576	12/01/2017	Butlers Point Autumn											Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	82001014			64.3
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	136	960	12/01/2017	Butlers Point Autumn											Open Water			Open					46.6
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	405	960	12/01/2017	Butlers Point Autumn											Open Water			Open					15.5
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	675	960	12/01/2017	Butlers Point Autumn											Unknown			Open	Unknown				15.5
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	944	960	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope	80300902			46.6
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	136	1344	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	405	1344	12/01/2017	Butlers Point Autumn											Unknown			Open	Unknown				46.9
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	675	1344	12/01/2017	Butlers Point Autumn											Unknown			Open	Unknown				46.9
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	944	1344	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Limited	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope	80300902			64.3
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	136	1727	12/01/2017	Butlers Point Autumn											Open Water			Open					100
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	405	1727	12/01/2017	Butlers Point Autumn											Open Water			Open					89.8
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	675	1727	12/01/2017	Butlers Point Autumn											Unknown			Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope				89.8
