OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
DeepReef_Butlers_10	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.019310358	0.052045287	5.541063976	0.001142108	0.000693556	0	-0.000284464	0.000340412	0	-0.000151895	-324.5020336	0	0	-0.077857895	-7.359669095	-0.350501435	mm
DeepReef_Butlers_10	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.004371981	0.044972418	5.522742043	0.000899902	0.000779872	0	-0.00063172	0.000340598	0	0.000376469	324.5020336	0	0	0.077857895	8.111734017	-0.172986761	mm
DeepReef_Butlers_11	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.132794634	0.000933726	6.025413557	0.001069574	0.000400171	0	0.000268197	-6.68255E-05	0	-0.000184756	-335.4213457	0	0	-0.696814758	-7.554772988	0.185098007	mm
DeepReef_Butlers_11	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.156202969	-0.009968506	6.037131472	0.000608582	0.000597144	0	0.000453628	0.000354518	0	0.000257498	334.9378883	0	0	0.708679018	7.542720522	0.183599226	mm
DeepReef_Butlers_12	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.004371981	0.044972418	5.522742043	0.000899902	0.000779872	0	-0.00063172	0.000340598	0	0.000376469	324.5020336	0	0	0.077857895	8.111734017	-0.172986761	mm
DeepReef_Butlers_12	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.019310358	0.052045287	5.541063976	0.001142108	0.000693556	0	-0.000284464	0.000340412	0	-0.000151895	-324.5020336	0	0	-0.077857895	-7.359669095	-0.350501435	mm
DeepReef_Butlers_13	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.019310358	0.052045287	5.541063976	0.001142108	0.000693556	0	-0.000284464	0.000340412	0	-0.000151895	-324.5020336	0	0	-0.077857895	-7.359669095	-0.350501435	mm
DeepReef_Butlers_13	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026	0.0026	-0.004371981	0.044972418	5.522742043	0.000899902	0.000779872	0	-0.00063172	0.000340598	0	0.000376469	324.5020336	0	0	0.077857895	8.111734017	-0.172986761	mm
DeepReef_Butlers_14	0	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.09450898	-0.036836119	6.033872383	2.34822E-05	0.000731343	0	0.000386811	0.000290937	0	-0.000167518	-335.9331425	0	0	0.070577815	-7.807595652	-1.630917281	mm
DeepReef_Butlers_14	1	Canon HFM52 Raynox HD6600Pro in water	Derived from CAL	1080	1920	0.003	0.003	-0.079907369	-0.040681041	6.045254982	-0.001255501	0.001158262	0	8.47754E-05	6.94002E-05	0	0.001092408	335.9331425	0	0	-0.070577815	8.39046698	-1.939128089	mm
