"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
11353,-14.191352,144.890131,20190106,16:00:18,NA,"Sandbank1 Reef","No-take",20,"Yes","No","Mike Cappo","2019_SANDBANK1_7 7",9.53333,70.51667,NA,6,"123","Northern GBR 2019"
11217,-11.36452,143.327645,20190124,10:37:29,NA,"11-049 Reef","No-take",12,"Yes","No","Mike Cappo","2019_11-049_3 3",6.2,70.05,NA,4,"123","Northern GBR 2019"
11222,-11.354984,143.332713,20190124,10:29:11,NA,"11-049 Reef","No-take",4.6,"Yes","No","Mike Cappo","2019_11-049_8 8",8.55,68.95,NA,2,"123","Northern GBR 2019"
11229,-13.852937,144.067175,20190114,13:38:38,NA,"13-124 Reef","Fished",10.8,"Yes","No","Mike Cappo","2019_13124_14 14",1.51666,61.95,NA,8,"122","Northern GBR 2019"
11236,-13.855732,144.065632,20190114,14:48:08,NA,"13-124 Reef","Fished",12,"Yes","No","Mike Cappo","2019_13124_20 20",3.3,64,NA,6,"122","Northern GBR 2019"
11237,-13.863259,144.06931,20190114,15:12:01,NA,"13-124 Reef","Fished",8,"Yes","No","Mike Cappo","2019_13124_21 21",6.31666,66.55,NA,3,"122","Northern GBR 2019"
11247,-13.860132,144.094953,20190114,14:32:48,NA,"13-124 Reef","Fished",6,"Yes","No","Mike Cappo","2019_13124_9 9",5.43333,66.65,NA,6,"122","Northern GBR 2019"
11260,-13.898652,144.200035,20190115,08:36:59,NA,"Corbett Reef","No-take",16,"Yes","No","Mike Cappo","2019_Corbett_20 20",5.2,66.83334,NA,3,"122","Northern GBR 2019"
11263,-13.901752,144.216639,20190115,08:07:50,NA,"Corbett Reef","No-take",3.5,"Yes","No","Mike Cappo","2019_Corbett_23 23",8.01666,68.25,63.25,2,"123","Northern GBR 2019"
11267,-13.898586,144.241107,20190115,10:47:55,NA,"Corbett Reef","No-take",26,"Yes","No","Mike Cappo","2019_Corbett_5 5",4.25,65.36667,NA,4,"122","Northern GBR 2019"
11277,-13.971101,144.464631,20190109,09:33:27,NA,"Davie Reef","Fished",10,"Yes","No","Mike Cappo","2019_Davie_14 14",7.56666,67.96667,NA,8,"122","Northern GBR 2019"
11309,-12.383509,143.763115,20190119,10:51:43,NA,"Lagoon Reef","Fished",20,"Yes","No","Mike Cappo","2019_Lagoon_22 22",3.45,65.58334,NA,6,"122","Northern GBR 2019"
11335,-14.190983,144.893538,20190106,14:24:39,NA,"Sandbank1 Reef","No-take",12,"Yes","No","Mike Cappo","2019_SANDBANK1_1 1",16.36667,76.6,NA,4,"123","Northern GBR 2019"
11336,-14.203284,144.879311,20190106,16:46:53,NA,"Sandbank1 Reef","No-take",7.5,"Yes","No","Mike Cappo","2019_SANDBANK1_10 10",9.51666,70.45,NA,3,"122","Northern GBR 2019"
11343,-14.202199,144.903729,20190106,14:50:31,NA,"Sandbank1 Reef","No-take",8.6,"Yes","No","Mike Cappo","2019_SANDBANK1_19 19",9.95,70,NA,5,"123","Northern GBR 2019"
11212,-11.354923,143.319791,20190124,10:19:11,NA,"11-049 Reef","No-take",7.2,"Yes","No","Mike Cappo","2019_11-049_1 1",9.68333,70.05,NA,2,"123","Northern GBR 2019"
11218,-11.365882,143.333881,20190124,10:45:50,NA,"11-049 Reef","No-take",5.4,"Yes","No","Mike Cappo","2019_11-049_4 4",6.28333,66.78333,NA,3,"122","Northern GBR 2019"
11223,-11.357225,143.338845,20190124,10:44:06,NA,"11-049 Reef","No-take",5.4,"Yes","No","Mike Cappo","2019_11-049_9 9",11.51667,72.5,NA,3,"123","Northern GBR 2019"
11241,-13.865248,144.093501,20190114,13:08:33,NA,"13-124 Reef","Fished",9,"Yes","No","Mike Cappo","2019_13124_3 3",5.58333,66.85,NA,8,"122","Northern GBR 2019"
11248,-13.910097,144.240876,20190115,11:30:48,NA,"Corbett Reef","No-take",14.7,"Yes","No","Mike Cappo","2019_Corbett_1 1",4.65,64.9,NA,8,"122","Northern GBR 2019"
11256,-13.897902,144.208892,20190115,08:42:35,NA,"Corbett Reef","No-take",3.2,"Yes","No","Mike Cappo","2019_Corbett_17 17",4.96666,65.15,NA,6,"123","Northern GBR 2019"
11261,-13.90308,144.207226,20190115,08:27:18,NA,"Corbett Reef","No-take",10,"Yes","No","Mike Cappo","2019_Corbett_21 21",3.2,66.31667,NA,3,"123","Northern GBR 2019"
11276,-13.968561,144.461785,20190109,08:03:10,NA,"Davie Reef","Fished",16,"Yes","No","Mike Cappo","2019_Davie_13 13",4.21666,64.83334,NA,3,"122","Northern GBR 2019"
11280,-13.97754,144.474403,20190109,08:28:25,NA,"Davie Reef","Fished",23,"Yes","No","Mike Cappo","2019_Davie_17 17",9.85,70.93333,NA,6,"122","Northern GBR 2019"
11281,-13.979932,144.472741,20190109,10:10:49,NA,"Davie Reef","Fished",5.7,"Yes","No","Mike Cappo","2019_Davie_18 18",7.45,67.78333,NA,7,"122","Northern GBR 2019"
11294,-13.970959,144.443274,20190109,10:17:41,NA,"Davie Reef","Fished",10,"Yes","No","Mike Cappo","2019_Davie_9 9",5.65,66.36667,NA,4,"122","Northern GBR 2019"
11296,-12.389583,143.739051,20190119,10:18:43,NA,"Lagoon Reef","Fished",16.2,"Yes","No","Mike Cappo","2019_Lagoon_10 10",6.45,67.81667,NA,7,"122","Northern GBR 2019"
11297,-12.395991,143.744845,20190119,10:34:02,NA,"Lagoon Reef","Fished",6.6,"Yes","No","Mike Cappo","2019_Lagoon_11 11",6.53333,66.85,NA,10,"123","Northern GBR 2019"
11317,-12.389831,143.749963,20190119,09:45:50,NA,"Lagoon Reef","Fished",7.9,"Yes","No","Mike Cappo","2019_Lagoon_8 8",9.86666,75.48333,NA,7,"123","Northern GBR 2019"
11324,-12.289041,143.89894,20190120,09:05:10,NA,"Mantis Reef","No-take",8,"Yes","No","Mike Cappo","2019_Mantis_17 17",3.98333,64.31667,NA,3,"123","Northern GBR 2019"
11333,-12.317336,143.867945,20190120,09:39:36,NA,"Mantis Reef","No-take",8.8,"Yes","No","Mike Cappo","2019_Mantis_6 6",7.66666,68.01667,NA,4,"123","Northern GBR 2019"
11334,-12.315748,143.85771,20190121,10:10:25,NA,"Mantis Reef","No-take",13.8,"Yes","No","Mike Cappo","2019_Mantis_7 7",8.23333,68.48333,NA,9,"122","Northern GBR 2019"
11339,-14.192651,144.903301,20190106,14:25:39,NA,"Sandbank1 Reef","No-take",27,"Yes","No","Mike Cappo","2019_SANDBANK1_15 15",6.58333,67.8,NA,4,"123","Northern GBR 2019"
