Camera Details

Generated: Monday 06 November 2023 14:58:53

OpCode	TapeReader	Depth	Comment	Habitat								Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
NN_R4	MOwens	< 20 m	Reef (Algae). Started at 45s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R5	MOwens	20 - 30 m	Seagrass.  Start time at 1.24	Seagrass								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R5	MOwens	20 - 30 m	Seagrass.  Start time at 1.24	Seagrass								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R6	MOwens	20 - 30 m	Reef Algae. Started at 47s. Bit of obstruction throough video	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R6	MOwens	20 - 30 m	Reef Algae. Started at 47s. Bit of obstruction throough video	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R7	MOwens	< 20 m	Started at 1.20	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R7	MOwens	< 20 m	Started at 1.20	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R8	MOwens	< 20 m	Reef Algae. Starts at 1.06	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R8	MOwens	< 20 m	Reef Algae. Starts at 1.06	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R9	Mowens	20 - 30 m	Reef (Algae). Started at 55s	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
NN_R9	Mowens	20 - 30 m	Reef (Algae). Started at 55s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R10	MOwens	20 - 30 m	 Started at 44s	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R10	MOwens	20 - 30 m	 Started at 44s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R11	MOwens	20 - 30 M	Started at 1.30	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R11	MOwens	20 - 30 M	Started at 1.30	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R13	MOwens	20 - 30 m	Starts at 1.13	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R13	MOwens	20 - 30 m	Starts at 1.13	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R14	MOwens	20 - 30 m	Seagrass & Alage (reef)	Seagrass								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R14	MOwens	20 - 30 m	Seagrass & Alage (reef)	Seagrass								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R2	MOwens	20 - 30 m	Segrass. Started at 3.42	Seagrass								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R2	MOwens	20 - 30 m	Segrass. Started at 3.42	Seagrass								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R3	MOwens 	20 - 30 m	Started at 1.15	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R3	MOwens 	20 - 30 m	Started at 1.15	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R4	MOwens	20 - 30 m	Reef Alage. Starts at 3.40	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R4	MOwens	20 - 30 m	Reef Alage. Starts at 3.40	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R5	MOwens	20 - 30 m	Started at 0.45	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R5	MOwens	20 - 30 m	Started at 0.45	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R6	MOwens	20 - 30 m	Reef (Algae). Started at 5.26	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R6	MOwens	20 - 30 m	Reef (Algae). Started at 5.26	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R7	MOwens	20 - 30 m	Started at 55s	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R7	MOwens	20 - 30 m	Started at 55s	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R8	MOwens	20 - 30 m	Started at 1.06	Reef								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R8	MOwens	20 - 30 m	Started at 1.06	Reef								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R9	MOwens	20 - 30 m	Reef/Seaweed. Starts at 1.50	Broken sand: Seagrass/ Algae								Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R9	MOwens	20 - 30 m	Reef/Seaweed. Starts at 1.50	Broken sand: Seagrass/ Algae								Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
