Sample,Longitude,Latitude,Date,Time,Site,Location,Zone,Status,Depth,Successful.count,Successful.length,Observer,inclusion.probabilities,,,
M11,159.12785,-29.43825,20200201,14:14:00,M11,Middleton,Lagoon,No-take,0.5656707,Yes,Yes,Joel,0.072238902,,,
M110,159.08667,-29.44691,20200203,11:24:00,M110,Middleton,Outside,No-take,-17.92541,Yes,Yes,Kristy,0.277967444,,,
M111,159.1217,-29.46357,20200131,8:25:00,M111,Middleton,Lagoon,No-take,-0.9133143,Yes,No,Joel,0.034260602,,,
M112,159.07504,-29.47462,20200131,10:48:00,M112,Middleton,Lagoon,No-take,-0.9101747,Yes,Yes,Joel,0.034260602,,,
M113,159.09828,-29.40132,20200201,9:09:00,M113,Middleton,Outside,No-take,-98.33547974,Yes,Yes,Kristy,0.008317689,,,
M116,159.12978,-29.41469,20200201,15:00:00,M116,Middleton,Outside,No-take,-69.74061584,Yes,Yes,Kristy,0.03734341,,,
M119,159.10414,-29.43918,20200203,13:31:00,M119,Middleton,Lagoon,No-take,0.5146696,Yes,Yes,Kristy,0.034260602,,,
M12,159.08128,-29.47859,20200202,11:15:00,M12,Middleton,Lagoon,No-take,0.1686962,Yes,No,Joel,0.045325403,,,
M123,159.06633,-29.48911,20200203,9:52:00,M123,Middleton,Outside,No-take,-49.15209198,Yes,Yes,Kristy,0.026642631,,,
M125,159.05698,-29.46222,20200131,12:29:00,M125,Middleton,Lagoon,No-take,-0.03638051,Yes,Yes,Joel,0.034260602,,,
M13,159.09231,-29.41504,20200131,12:07:00,M13,Middleton,Outside,No-take,-40.46472168,Yes,Yes,Justin,0.009082575,,,
M130,159.11643,-29.4569,20200131,8:30:00,M130,Middleton,Lagoon,No-take,0.03552351,Yes,Yes,Joel ,0.045325403,,,
M131,159.09777,-29.46793,20200131,10:07:00,M131,Middleton,Lagoon,No-take,-1.216827,Yes,Yes,Joel,0.034260602,,,
M132,159.13275,-29.4813,20200203,15:49:00,M132,Middleton,Outside,No-take,-51.36235809,Yes,Yes,Kristy,0.022604937,,,
M134,159.08229,-29.45814,20200202,8:29:00,M134,Middleton,Lagoon,No-take,-0.1344257,Yes,Yes,Joel,0.034260602,,,
M137,159.0427,-29.47364,20200202,16:15:00,M137,Middleton,Outside,No-take,-45.16127014,Yes,Yes,Kristy,0.009082575,,,
M139,159.10678,-29.45041,20200201,8:04:00,M139,Middleton,Lagoon,No-take,-2.242643,Yes,No,Joel,0.034260602,,,
M141,159.07645,-29.43152,20200131,12:58:00,M141,Middleton,Outside,No-take,-42.385,Yes,Yes,Kristy,0.026642631,,,
M143,159.0689,-29.47065,20200202,11:27:00,M143,Middleton,Lagoon,No-take,-0.1826952,Yes,Yes,Joel,0.045325403,,,
M146,159.06656,-29.45111,20200202,13:43:00,M146,Middleton,Lagoon,No-take,-0.9318177,Yes,Yes,Joel,0.072238902,,,
M149,159.0806,-29.4641,20200131,10:30:00,M149,Middleton,Lagoon,No-take,-0.307916,Yes,No,Joel,0.045325403,,,
M15,159.10863,-29.44314,20200201,11:05:00,M15,Middleton,Lagoon,No-take,0.6653294,Yes,Yes,Joel,0.034260602,,,
M154,159.05842,-29.4666,20200131,13:14:00,M154,Middleton,Lagoon,No-take,-0.4849433,Yes,Yes,Joel,0.034260602,,,
M157,159.11945,-29.44331,20200201,11:23:00,M157,Middleton,Lagoon,No-take,-0.3169049,Yes,Yes,Joel,0.072238902,,,
M158,159.11485,-29.47103,20200131,8:12:00,M158,Middleton,Lagoon,No-take,0.002255356,Yes,Yes,Joel,0.034260602,,,
M16,159.0282,-29.46096,20200202,16:39:00,M16,Middleton,Outside,No-take,-85.60466003,Yes,Yes,Justin,0.079878147,,,
M161,159.14856,-29.42456,20200201,15:26:00,M161,Middleton,Outside,No-take,-94.40577698,Yes,No,Kristy,0.008317689,,,
M163,159.088,-29.44293,20200203,11:09:00,M163,Middleton,Outside,No-take,-11.24423,Yes,Yes,Joel,0.223847381,,,
M164,159.1136,-29.41674,20200201,14:47:00,M164,Middleton,Outside,No-take,-25.76159286,Yes,Yes,Kristy,0.026642631,,,
M165,159.09498,-29.45705,20200203,8:58:00,M165,Middleton,Lagoon,No-take,-0.4304569,Yes,Yes,Kristy,0.045325403,,,
M169,159.02913,-29.46931,20200202,16:29:00,M169,Middleton,Outside,No-take,-95.22193909,Yes,Yes,Kristy,0.062081044,,,
M170,159.11771,-29.44932,20200201,10:38:00,M170,Middleton,Lagoon,No-take,-2.644158,Yes,No,Joel,0.072238902,,,
M172,159.06762,-29.49452,20200203,9:43:00,M172,Middleton,Outside,No-take,-81.64982605,Yes,Yes,Kristy,0.079878147,,,
M174,159.08158,-29.46523,20200131,10:33:00,M174,Middleton,Lagoon,No-take,-1.16592,Yes,No,Joel,0.034260602,,,
