Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
PPH_20,-38.28802068,144.6253,20190218,12:28:00,PPH,No-take,PPH,-5.445000172,Sasha Whitmarsh,Yes,Yes,NA,
PPH_22,-38.29701025,144.61856,20190218,12:16:00,PPH,No-take,PPH,-10.59000015,Sasha Whitmarsh,Yes,Yes,NA,
PPH_42,-38.30728215,144.64223,20190217,10:23:00,PPH,No-take,PPH,-16.32999992,Sasha Whitmarsh,Yes,Yes,NA,
PPH_37,-38.31120127,144.65041,20190217,10:34:00,PPH,No-take,PPH,-14.28999996,Sasha Whitmarsh,Yes,Yes,NA,
PPH_08,-38.28302156,144.63434,20190217,17:36:00,PPH,Fished,PPH,-5.169000149,Sasha Whitmarsh,Yes,Yes,NA,
PPH_26,-38.27866588,144.62151,20190216,13:25:00,PPH,No-take,PPH,-5.15899992,Sasha Whitmarsh,Yes,Yes,NA,Diode not on
PPH_45,-38.30374041,144.6788,20190216,16:31:00,PPH,No-take,PPH,-9.661000252,Sasha Whitmarsh,Yes,Yes,NA,
PPH_36,-38.30727867,144.64562,20190217,10:24:00,PPH,No-take,PPH,-14.27999973,Sasha Whitmarsh,Yes,Yes,NA,
PPH_59,-38.27695679,144.69781,20190219,8:36:00,PPH,No-take,PPH,-8.909999847,Sasha Whitmarsh,Yes,Yes,NA,
PPH_48,-38.30512545,144.68505,20190216,16:28:00,PPH,No-take,PPH,-21.79000092,Sasha Whitmarsh,Yes,Yes,NA,Poor vis
PPH_56,-38.31381786,144.70908,20190219,8:46:00,PPH,Fished,PPH,-9.725000381,Sasha Whitmarsh,Yes,Yes,NA,
PPH_25,-38.28298327,144.61985,20190216,13:14:00,PPH,No-take,PPH,-4.051000118,Sasha Whitmarsh,Yes,Yes,NA,
PPH_30,-38.28681842,144.63566,20190219,13:20:00,PPH,Fished,PPH,-17.98999977,Sasha Whitmarsh,Yes,Yes,NA,
PPH_02,-38.28016609,144.62507,20190218,13:22:00,PPH,No-take,PPH,-5.846000195,Sasha Whitmarsh,Yes,Yes,NA,
