Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
BSEO02_1803,-35.65642,137.67262,20180328,10:30:00,Bay of Shoals,Fished,BSEO,5.5,DEaston,Yes,Yes,Bay of Shoals East Out,62,Stereo,153,53,741946,6050868,PJennings,KI NRM,MPA,17.9
BSEI01_1803,-35.61472,137.6194,20180328,10:53:00,Bay of Shoals,No-take,BSEI,2.7,YEglinton,Yes,Yes,Bay of Shoals East In,63,Stereo,71,53,737250,6055624,PJennings,KI NRM,MPA,17.9
BSEI02_1803,-35.61302,137.6183,20180328,10:57:00,Bay of Shoals,No-take,BSEI,2.7,YEglinton,Yes,Yes,Bay of Shoals East In,64,Stereo,71,53,737155,6055815,PJennings,KI NRM,MPA,17.8
BSEI03_1803,-35.61137,137.61729,20180328,12:00:00,Bay of Shoals,No-take,BSEI,2.7,YEglinton,Yes,Yes,Bay of Shoals East In,67,Stereo,71,53,737069,6056001,PJennings,KI NRM,MPA,17.9
BSEI04_1803,-35.60975,137.61554,20180328,12:10:00,Bay of Shoals,No-take,BSEI,3.3,YEglinton,Yes,Yes,Bay of Shoals East In,68,Stereo,71,53,736915,6056185,PJennings,KI NRM,MPA,17.9
BSCO01_1803,-35.64388,137.66555,20180328,12:49:00,Bay of Shoals,Fished,BSCO,5.1,YEglinton,Yes,Yes,Bay of Shoals Central Out,69,Stereo,153,53,741343,6052276,PJennings,KI NRM,MPA,18
BSCO02_1803,-35.64335,137.66304,20180328,12:53:00,Bay of Shoals,Fished,BSCO,5.1,YEglinton,Yes,No,Bay of Shoals Central Out,70,Stereo,153,53,741118,6052341,PJennings,KI NRM,MPA,18.1
BSCI01_1803,-35.60975,137.60238,20180328,13:19:00,Bay of Shoals,No-take,BSCI,3.3,YEglinton,Yes,Yes,Bay of Shoals Central In,71,Stereo,71,53,735723,6056216,PJennings,KI NRM,MPA,18.1
BSCI02_1803,-35.6112,137.60066,20180328,13:23:00,Bay of Shoals,No-take,BSCI,2.8,YEglinton,Yes,Yes,Bay of Shoals Central In,72,Stereo,71,53,735563,6056059,PJennings,KI NRM,MPA,18.1
BSCI03_1803,-35.61246,137.59917,20180329,9:58:00,Bay of Shoals,No-take,BSCI,2.8,YEglinton,Yes,Yes,Bay of Shoals Central In,73,Stereo,71,53,735424,6055923,PJennings,KI NRM,MPA,17.3
BSCI04_1803,-35.61388,137.59732,20180329,10:07:00,Bay of Shoals,No-take,BSCI,2.8,YEglinton,Yes,Yes,Bay of Shoals Central In,75,Stereo,71,53,735252,6055770,PJennings,KI NRM,MPA,17.3
BSCO03_1803,-35.64495,137.66131,20180329,10:30:00,Bay of Shoals,Fished,BSCO,5.2,YEglinton,Yes,Yes,Bay of Shoals Central Out,76,Stereo,153,53,740956,6052168,PJennings,KI NRM,MPA,17.6
BSCO04_1803,-35.64723,137.65986,20180329,10:38:00,Bay of Shoals,Fished,BSCO,5.5,YEglinton,Yes,Yes,Bay of Shoals Central Out,77,Stereo,153,53,740818,6051919,PJennings,KI NRM,MPA,17.7
BSWI01_1803,-35.62602,137.592,20180329,11:22:00,Bay of Shoals,No-take,BSWI,2.7,DEaston,Yes,Yes,Bay of Shoals West In,78,Stereo,71,53,734735,6054436,PJennings,KI NRM,MPA,17.9
BSWI02_1803,-35.62833,137.59233,20180329,11:26:00,Bay of Shoals,No-take,BSWI,1.5,DEaston,Yes,No,Bay of Shoals West In,79,Stereo,71,53,734758,6054179,PJennings,KI NRM,MPA,17.9
