"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Facing Up","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Ascidians","broad.Bryozoa","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Sponges","broad.Unconsolidated"
"WP_065",-39.15396,146.2916,20210523,13:48:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_066",-39.13045,146.43088,20210525,12:33:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,90,10,2.0625,1.842778698958,0,0,0,18.75,0,68.75,12.5
"WP_066F",-39.13045,146.43088,20210524,12:17:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_067",-39.09225,146.44275,20210521,11:32:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,3.57894736842105,0.768533196975772,0,5.26315789473684,0,15.7894736842105,0,78.9473684210526,0
"WP_068",-39.12608,146.34738,20210521,14:23:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,95,5,3,0,0,0,0,100,0,0,0
"WP_069",-39.15451,146.36401,20210525,11:58:00,"Wilsons Promontory","Wilsons Promontory","Yes",100,0,0,0,1.6,0.820782681668123,0,0,0,0,0,100,0
"WP_069F",-39.15451,146.36401,20210524,09:43:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_070",-39.15439,146.29781,20210525,09:52:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1.25,0.774596669241483,0,0,0,31.25,0,68.75,0
"WP_070F",-39.15439,146.29781,20210522,13:17:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_077",-39.15852,146.29597,20210525,09:57:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,2.14285714285714,0.363136519601281,0,0,0,100,0,0,0
"WP_077F",-39.15852,146.29597,20210522,13:14:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_078",-39.1591,146.2918,20210523,13:50:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,2.72222222222222,1.60167396093093,0,0,0,38.8888888888889,22.2222222222222,27.7777777777778,11.1111111111111
"WP_079",-39.13475,146.27035,20210522,12:48:00,"Wilsons Promontory","Wilsons Promontory","Yes",100,0,0,0,1.52941176470588,0.874474632195206,0,11.7647058823529,0,0,0,88.2352941176471,0
"WP_081",-39.14743,146.29056,20210525,09:48:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1.5,0.522232967867094,58.3333333333333,0,0,16.6666666666667,0,25,0
"WP_081F",-39.14743,146.29056,20210522,13:24:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_084",-39.16346,146.33297,20210524,09:25:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_085",-39.17564,146.40829,20210524,14:15:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_089",-39.15501,146.36946,20210525,12:01:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,2.4,0.547722557505166,0,0,0,0,0,100,0
"WP_089F",-39.15501,146.36946,20210524,09:45:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_092",-39.1635,146.32442,20210524,09:22:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,0.363636363636364,0.674199862463242,0,0,0,0,72.7272727272727,27.2727272727273,0
