Sample,Family,Genus,Species,Count
2019DIC4,Acanthuridae,Acanthurus,grammoptilus,1
2019MOO1,Acanthuridae,Acanthurus,grammoptilus,2
2019MOO2,Acanthuridae,Acanthurus,grammoptilus,3
2019SHE1,Acanthuridae,Acanthurus,grammoptilus,23
2019SHE2,Acanthuridae,Acanthurus,grammoptilus,1
2019SHE3,Acanthuridae,Acanthurus,grammoptilus,5
2021MOO1,Acanthuridae,Acanthurus,grammoptilus,1
2021MOO3,Acanthuridae,Acanthurus,grammoptilus,1
2021SHE1,Acanthuridae,Acanthurus,grammoptilus,1
2021SHE2,Acanthuridae,Acanthurus,grammoptilus,1
2021SHE3,Acanthuridae,Acanthurus,grammoptilus,2
2021SHE4,Acanthuridae,Acanthurus,grammoptilus,3
2021SHE5,Acanthuridae,Acanthurus,grammoptilus,4
2021SHE2,Acanthuridae,Acanthurus,nigrofuscus,1
2021SHE5,Acanthuridae,Acanthurus,nigrofuscus,4
2019SHE1,Acanthuridae,Prionurus,microlepidotus,1
2020SHE3,Acanthuridae,Prionurus,microlepidotus,1
2020SHE5,Acanthuridae,Prionurus,microlepidotus,1
2021ALE2,Albulidae,Albula,argentea,1
2021MAR1,Albulidae,Albula,argentea,1
2021MAR4,Albulidae,Albula,argentea,1
2021MAR5,Albulidae,Albula,argentea,1
2020SHE2,Apogonidae,Apogon,limenus,4
2020SHE3,Apogonidae,Apogon,limenus,3
2020SHE4,Apogonidae,Apogon,limenus,2
2020SHE5,Apogonidae,Apogon,limenus,3
2019DIC4,Apogonidae,Cheilodipterus,quinquelineatus,2
2019MOO2,Apogonidae,Cheilodipterus,quinquelineatus,1
2019SHE1,Apogonidae,Cheilodipterus,quinquelineatus,1
2019SHE2,Apogonidae,Cheilodipterus,quinquelineatus,1
2019SHE4,Apogonidae,Cheilodipterus,quinquelineatus,18
2020ALE5,Apogonidae,Cheilodipterus,quinquelineatus,1
2020MARC5,Apogonidae,Cheilodipterus,quinquelineatus,2
2020WUR2,Apogonidae,Cheilodipterus,quinquelineatus,1
2021KIN4,Apogonidae,Ostorhinchus,limenus,1
2021MOO1,Apogonidae,Ostorhinchus,limenus,2
2021MUD3,Apogonidae,Ostorhinchus,limenus,1
2021SHE2,Apogonidae,Ostorhinchus,limenus,2
2021SHE4,Apogonidae,Ostorhinchus,limenus,1
2021SHE5,Apogonidae,Ostorhinchus,limenus,4
2019MOO3,Balistidae,Abalistes,stellatus,1
2019DIC4,Blenniidae,Aspidontus,taeniatus,1
2019DIC3,Carangidae,Atule,mate,31
2019DIC4,Carangidae,Atule,mate,4
2019MOO2,Carangidae,Atule,mate,800
2019MOO5,Carangidae,Atule,mate,56
2019SHE2,Carangidae,Atule,mate,12
2019SHE3,Carangidae,Atule,mate,10
2021ALE1,Carangidae,Atule,mate,12
2021ALE2,Carangidae,Atule,mate,27
2021ALE3,Carangidae,Atule,mate,5
2021ALE4,Carangidae,Atule,mate,4
2021ALE5,Carangidae,Atule,mate,15
2021BOK1,Carangidae,Atule,mate,13
2021BOK2,Carangidae,Atule,mate,35
2021BOK3,Carangidae,Atule,mate,1
2021BUD3,Carangidae,Atule,mate,70
2021BUD4,Carangidae,Atule,mate,30
2021BUD5,Carangidae,Atule,mate,35
2021CUR1,Carangidae,Atule,mate,1
2021CUR2,Carangidae,Atule,mate,40
2021DIC1,Carangidae,Atule,mate,2
2021DIC3,Carangidae,Atule,mate,41
2021DIC4,Carangidae,Atule,mate,75
2021KIN4,Carangidae,Atule,mate,4
2021KIN5,Carangidae,Atule,mate,27
2021MAR1,Carangidae,Atule,mate,45
2021MAR2,Carangidae,Atule,mate,72
2021MAR3,Carangidae,Atule,mate,6
2021MAR3,Carangidae,Atule,mate,60
2021MAR4,Carangidae,Atule,mate,21
2021MAR4,Carangidae,Atule,mate,23
2021MAR5,Carangidae,Atule,mate,18
2021MOO1,Carangidae,Atule,mate,1
2021MOOR4,Carangidae,Atule,mate,12
2021MOO5,Carangidae,Atule,mate,10
2021SHE4,Carangidae,Atule,mate,3
2021WAR4,Carangidae,Atule,mate,120
2021WAR5,Carangidae,Atule,mate,10
2021WUR3,Carangidae,Atule,mate,70
2021YAR4,Carangidae,Atule,mate,25
2021YAR5,Carangidae,Atule,mate,4
2019COO1,Carangidae,Pseudocaranx,georgianus,1
2019DIC3,Carangidae,Pseudocaranx,georgianus,2
2019MOO1,Carangidae,Pseudocaranx,georgianus,1
2019MOO2,Carangidae,Pseudocaranx,georgianus,1
2019MOO3,Carangidae,Pseudocaranx,georgianus,8
2019SHE3,Carangidae,Pseudocaranx,georgianus,4
2019SHE4,Carangidae,Pseudocaranx,georgianus,5
2021KIN5,Carangidae,Scomberoides,commersonnianus,1
2021MUD4,Carangidae,Scomberoides,commersonnianus,1
2021PER5,Carangidae,Scomberoides,commersonnianus,1
2019MOO5,Carangidae,Scomberomorus,munroi,1
2019MOOR1,Carangidae,Scomberomorus,munroi,16
2019MOOR2,Carangidae,Scomberomorus,munroi,20
2019MOOR3,Carangidae,Scomberomorus,munroi,15
2019MOOR2,Carangidae,Scomberomorus,munroi,6
2019MOOR3,Carangidae,Scomberomorus,munroi,3
2019MOOR1,Carangidae,Scomberomorus,munroi,4
2019MUD4,Carangidae,Scomberomorus,munroi,6
2020PER1,Carangidae,Scomberomorus,munroi,2
2020WAR1,Carangidae,Scomberomorus,munroi,15
2020ALE1,Carangidae,Scomberomorus,queenslandicus,1
2020ALE3,Carangidae,Scomberomorus,queenslandicus,1
2020ALE4,Carangidae,Scomberomorus,queenslandicus,1
2020BOK3,Carangidae,Scomberomorus,queenslandicus,1
2020BOK4,Carangidae,Scomberomorus,queenslandicus,2
2020COO5,Carangidae,Scomberomorus,queenslandicus,1
2020CUR1,Carangidae,Scomberomorus,queenslandicus,24
2020DIC2,Carangidae,Scomberomorus,queenslandicus,6
2020MOOR1,Carangidae,Scomberomorus,queenslandicus,9
2020MOU4,Carangidae,Scomberomorus,queenslandicus,1
2020MOU5,Carangidae,Scomberomorus,queenslandicus,1
2020MUD1,Carangidae,Scomberomorus,queenslandicus,2
2020MUD4,Carangidae,Scomberomorus,queenslandicus,1
2020MUD5,Carangidae,Scomberomorus,queenslandicus,42
2021ALE3,Carangidae,Scomberomorus,queenslandicus,1
2021BOK2,Carangidae,Scomberomorus,queenslandicus,1
2021CUR1,Carangidae,Scomberomorus,queenslandicus,1
2021CUR2,Carangidae,Scomberomorus,queenslandicus,1
2021MAR4,Carangidae,Scomberomorus,queenslandicus,22
2021MOO1,Carangidae,Scomberomorus,queenslandicus,1
2021MOO2,Carangidae,Scomberomorus,queenslandicus,1
2021MOO4,Carangidae,Scomberomorus,queenslandicus,1
2021MOOR4,Carangidae,Scomberomorus,queenslandicus,2
2021MOO5,Carangidae,Scomberomorus,queenslandicus,3
2021MOOR1,Carangidae,Scomberomorus,queenslandicus,1
2021MOU3,Carangidae,Scomberomorus,queenslandicus,51
2021MOU5,Carangidae,Scomberomorus,queenslandicus,12
2021MUD1,Carangidae,Scomberomorus,queenslandicus,1
2021SHE1,Carangidae,Scomberomorus,queenslandicus,1
2021STU1,Carangidae,Scomberomorus,queenslandicus,27
2021STU2,Carangidae,Scomberomorus,queenslandicus,1
2021STU3,Carangidae,Scomberomorus,queenslandicus,11
2021STU5,Carangidae,Scomberomorus,queenslandicus,2
2020BOK2,Carangidae,Trachinotus,coppingeri,15
2020BOK3,Carangidae,Trachinotus,coppingeri,40
2020BOK4,Carangidae,Trachinotus,coppingeri,22
2020WAR4,Carangidae,Trachinotus,coppingeri,7
2021BOK2,Carangidae,Trachinotus,coppingeri,40
2021BOK3,Carangidae,Trachinotus,coppingeri,10
2021BOK4,Carangidae,Trachinotus,coppingeri,50
2021CUR1,Carangidae,Trachinotus,coppingeri,33
2021CUR2,Carangidae,Trachinotus,coppingeri,20
2021CUR3,Carangidae,Trachinotus,coppingeri,13
2021CUR4,Carangidae,Trachinotus,coppingeri,10
2021CUR5,Carangidae,Trachinotus,coppingeri,34
2021KIN2,Carangidae,Trachinotus,coppingeri,2
2021MARC4,Carangidae,Trachinotus,coppingeri,1
2021MARC5,Carangidae,Trachinotus,coppingeri,1
2021MOO5,Carangidae,Trachinotus,coppingeri,1
2021MOU4,Carangidae,Trachinotus,coppingeri,1
2021STU3,Carangidae,Trachinotus,coppingeri,1
2021STU4,Carangidae,Trachinotus,coppingeri,4
2021WUR1,Carangidae,Trachinotus,coppingeri,1
2020MOOR3,Carangidae,Atropus,mentalis,2
2020MARC2,Carcharhinidae,Carcharhinus,leucas,1
2021YAR5,Carcharhinidae,Carcharias,taurus,1
2019SHE3,Carcharhinidae,Negaprion,acutidens,1
2019DIC1,Cheilodactylidae,Cheilodactylus,vestitus,1
2019DIC4,Cheilodactylidae,Cheilodactylus,vestitus,1
2019MUD4,Cheilodactylidae,Cheilodactylus,vestitus,1
2019SHE1,Cheilodactylidae,Cheilodactylus,vestitus,1
2019SHE2,Cheilodactylidae,Cheilodactylus,vestitus,1
2019SHE3,Cheilodactylidae,Cheilodactylus,vestitus,1
2019SHE5,Cheilodactylidae,Cheilodactylus,vestitus,1
2021SHE4,Cheilodactylidae,Cheilodactylus,vestitus,1
2019CUR1,Clupeidae,Herklotsichthys,castelnaui,3
2019KIN2,Clupeidae,Herklotsichthys,castelnaui,4
2019KIN3,Clupeidae,Herklotsichthys,castelnaui,5
2019MOO2,Clupeidae,Herklotsichthys,castelnaui,78
2019MUD3,Clupeidae,Herklotsichthys,castelnaui,3
2019DIC1,Clupeidae,Sardinops,sagax,82
2019DIC2,Clupeidae,Sardinops,sagax,389
2019WUR2,Dasyatidae,Himantura,uarnak,1
2019WUR4,Dasyatidae,Himantura,uarnak,1
2019MAR3,Dasyatidae,Neotrygon,trigonoides,1
2019MOO2,Dasyatidae,Neotrygon,trigonoides,1
2019MOO3,Dasyatidae,Neotrygon,trigonoides,1
2019MOO3,Dasyatidae,Neotrygon,trigonoides,1
2020BOK5,Dasyatidae,Neotrygon,trigonoides,1
2020BUD2,Dasyatidae,Neotrygon,trigonoides,1
2020DIC3,Dasyatidae,Neotrygon,trigonoides,1
2020MARC3,Dasyatidae,Neotrygon,trigonoides,1
2020TWI1,Dasyatidae,Neotrygon,trigonoides,1
2020TWI2,Dasyatidae,Neotrygon,trigonoides,1
2020TWI5,Dasyatidae,Neotrygon,trigonoides,1
2020WUR1,Dasyatidae,Neotrygon,trigonoides,1
2021ALE1,Dasyatidae,Neotrygon,trigonoides,1
2021ALE2,Dasyatidae,Neotrygon,trigonoides,1
2021ALE3,Dasyatidae,Neotrygon,trigonoides,1
2021ALE4,Dasyatidae,Neotrygon,trigonoides,1
2021ALE5,Dasyatidae,Neotrygon,trigonoides,1
2021BOK2,Dasyatidae,Neotrygon,trigonoides,1
2021BUD2,Dasyatidae,Neotrygon,trigonoides,1
2021BUD3,Dasyatidae,Neotrygon,trigonoides,1
2021KIN1,Dasyatidae,Neotrygon,trigonoides,1
2021MAR1,Dasyatidae,Neotrygon,trigonoides,1
2021MAR2,Dasyatidae,Neotrygon,trigonoides,1
2021MAR3,Dasyatidae,Neotrygon,trigonoides,1
2021MAR4,Dasyatidae,Neotrygon,trigonoides,1
2021MOO1,Dasyatidae,Neotrygon,trigonoides,1
2021MOO4,Dasyatidae,Neotrygon,trigonoides,1
2021MOO2,Dasyatidae,Neotrygon,trigonoides,2
2021MUD5,Dasyatidae,Neotrygon,trigonoides,1
2021STU2,Dasyatidae,Neotrygon,trigonoides,1
2021STU4,Dasyatidae,Neotrygon,trigonoides,1
2021TWI5,Dasyatidae,Neotrygon,trigonoides,1
2021YAR2,Dasyatidae,Neotrygon,trigonoides,1
2021YAR4,Dasyatidae,Neotrygon,trigonoides,1
2021YAR5,Dasyatidae,Neotrygon,trigonoides,1
2020MOO1,Dasyatidae,Pastinachus,ater,1
2019SHE3,Echeneidae,Echeneis,naucrates,2
2019TWI4,Echeneidae,Echeneis,naucrates,1
2021MARC3,Echeneidae,Remora,remora,1
2021WUR5,Echeneidae,Remora,remora,1
2019DIC5,Gerreidae,Gerres,subfasciatus,16
2019MOO2,Gerreidae,Gerres,subfasciatus,2
2019MOO3,Gerreidae,Gerres,subfasciatus,1
2019MOO2,Gerreidae,Gerres,subfasciatus,2
2019MOOR2,Gerreidae,Gerres,subfasciatus,2
2019MOO2,Gerreidae,Gerres,subfasciatus,7
2019MUD4,Gerreidae,Gerres,subfasciatus,3
2019MUD5,Gerreidae,Gerres,subfasciatus,1
2020ALE5,Gerreidae,Gerres,subfasciatus,1
2020KIN1,Gerreidae,Gerres,subfasciatus,1
2020MOO3,Gerreidae,Gerres,subfasciatus,1
2020MOO5,Gerreidae,Gerres,subfasciatus,1
2021MOO3,Gerreidae,Gerres,subfasciatus,1
2021MUD1,Glaucostegidae,Glaucostegus,typus,1
2021TWI1,Glaucostegidae,Glaucostegus,typus,1
2021TWI3,Glaucostegidae,Glaucostegus,typus,1
