Camera Details

Generated: Monday 06 November 2023 14:39:35

OpCode	TapeReader	Depth	Comment	Habitat	Soak time	FOV	Bias	Vis				Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
FB_S2_R4	TClarke		Starts at 2:21	Reef/kelp	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R5	TClarke		Starts at 3:12	Kelp/reef	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R5	TClarke		Starts at 3:12	Kelp/reef	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R6	TClarke		Starts at 2:01	Kelp/reef	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R6	TClarke		Starts at 2:01	Kelp/reef	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R7	TClarke		Starts at 1:18	Sand	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R7	TClarke		Starts at 1:18	Sand	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R8	TClarke		Starts at 2:09	Sand/reef	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R8	TClarke		Starts at 2:09	Sand/reef	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R9	TClarke		Starts at 2:56. Facing up	Unknown (kelp?)	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S2_R9	TClarke		Starts at 2:56. Facing up	Unknown (kelp?)	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S3_R1	TClarke		Starts at 0:48	Kelp	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
FB_S3_R1	TClarke		Starts at 0:48	Kelp	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
