Camera Details

Generated: Monday 06 November 2023 14:50:07

OpCode	TapeReader	Depth	Comment	Habitat	Soak time	FOV	Bias	Vis				Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
BB_S1_R1	TClarke	13.8	Starts at 1:30	Silt/softcoral	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R1	TClarke	13.8	Starts at 1:30	Silt/softcoral	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R2	TClarke	12.2	Starts at 1:20	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R2	TClarke	12.2	Starts at 1:20	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R3	TClarke	13.6	Starts at 1:30	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R3	TClarke	13.6	Starts at 1:30	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R4	TClarke	13	Starts at 3:30	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R4	TClarke	13	Starts at 3:30	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R5	TClarke	10.8	Starts at 2:30	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R5	TClarke	10.8	Starts at 2:30	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R6	TClarke	12.1	Starts at 1:30. Stirred up, poor vis	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R6	TClarke	12.1	Starts at 1:30. Stirred up, poor vis	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R7	TClarke	13.1	Starts at 2:30	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R7	TClarke	13.1	Starts at 2:30	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S1_R8	TClarke	13.7	Starts at 1:30	Silt/kelp	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
