"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
10652,-19.803012,117.525769,20180605,08:43:50,NA,"POINT SAMSON AREA3","No-take",60.4,"Yes","No","Brigit Vaughan","A3HIGH 1",3.5758,NA,NA,NA,109,"NWSS Seismic2"
10653,-19.799813,117.530116,20180605,08:47:16,NA,"POINT SAMSON AREA3","No-take",61.4,"Yes","Yes","Brigit Vaughan","A3HIGH 2",4.5045,64.5045,NA,NA,109,"NWSS Seismic2"
10654,-19.79631,117.532608,20180605,08:49:58,NA,"POINT SAMSON AREA3","No-take",61.4,"Yes","No","Brigit Vaughan","A3HIGH 3",5.367,65.367,NA,NA,109,"NWSS Seismic2"
10655,-19.795093,117.528124,20180605,08:53:20,NA,"POINT SAMSON AREA3","No-take",60.7,"Yes","No","Brigit Vaughan","A3HIGH 4",6.9647,66.9647,NA,NA,109,"NWSS Seismic2"
10656,-19.797088,117.524101,20180605,08:56:12,NA,"POINT SAMSON AREA3","No-take",60.7,"Yes","No","Brigit Vaughan","A3HIGH 5",5.4382,65.4382,NA,NA,109,"NWSS Seismic2"
10657,-19.801218,117.52206,20180605,08:59:24,NA,"POINT SAMSON AREA3","No-take",61,"Yes","No","Brigit Vaughan","A3HIGH 6",6.1834,66.1834,NA,NA,109,"NWSS Seismic2"
10658,-19.792501,117.523211,20180605,09:05:16,NA,"POINT SAMSON AREA3","No-take",61.2,"Yes","No","Brigit Vaughan","A3HIGH 7",9.6224,69.6224,NA,NA,109,"NWSS Seismic2"
10659,-19.789542,117.526853,20180605,09:08:22,NA,"POINT SAMSON AREA3","No-take",61.8,"Yes","No","Brigit Vaughan","A3HIGH 8",9.4711,69.4711,NA,NA,109,"NWSS Seismic2"
10660,-19.819333,117.537333,20180605,10:52:12,NA,"POINT SAMSON AREA3","No-take",59.2,"Yes","No","Brigit Vaughan","A3HIGH 9",3.3845,63.3845,NA,NA,109,"NWSS Seismic2"
10661,-19.818851,117.536913,20180605,10:59:52,NA,"POINT SAMSON AREA3","No-take",60.2,"Yes","Yes","Brigit Vaughan","A3HIGH 10",8.2799,68.2799,NA,NA,109,"NWSS Seismic2"
10662,-19.823225,117.539634,20180605,11:03:04,NA,"POINT SAMSON AREA3","No-take",59.5,"Yes","Yes","Brigit Vaughan","A3HIGH 11",9.0396,69.0396,NA,NA,109,"NWSS Seismic2"
10663,-19.826131,117.541863,20180605,11:05:18,NA,"POINT SAMSON AREA3","No-take",59.6,"Yes","Yes","Brigit Vaughan","A3HIGH 12",5.8931,65.8931,NA,NA,109,"NWSS Seismic2"
10664,-19.821674,117.543233,20180605,11:09:42,NA,"POINT SAMSON AREA3","No-take",59.3,"Yes","Yes","Brigit Vaughan","A3HIGH 13",5.9754,65.9754,NA,NA,109,"NWSS Seismic2"
10665,-19.820929,117.547446,20180605,11:12:52,NA,"POINT SAMSON AREA3","No-take",59,"Yes","Yes","Brigit Vaughan","A3HIGH 14",7.3423,67.3423,NA,NA,109,"NWSS Seismic2"
10666,-19.824383,117.551061,20180605,11:15:40,NA,"POINT SAMSON AREA3","No-take",58.6,"Yes","Yes","Brigit Vaughan","A3HIGH 15",4.5523,64.5523,NA,NA,109,"NWSS Seismic2"
10667,-19.830239,117.55022,20180605,11:19:14,NA,"POINT SAMSON AREA3","No-take",59.1,"Yes","No","Katherine Cure","A3HIGH 16",6.5744,NA,NA,NA,109,"NWSS Seismic2"
10668,-19.845639,117.547038,20180605,13:34:04,NA,"POINT SAMSON AREA3","No-take",59.6,"Yes","Yes","Brigit Vaughan","A3HIGH 17",4.2376,64.2376,NA,NA,109,"NWSS Seismic2"
10669,-19.849927,117.544774,20180605,13:37:12,NA,"POINT SAMSON AREA3","No-take",59.8,"Yes","No","Brigit Vaughan","A3HIGH 18",4.9438,64.9438,NA,NA,109,"NWSS Seismic2"
10670,-19.853256,117.547316,20180605,13:39:42,NA,"POINT SAMSON AREA3","No-take",59.5,"Yes","No","Brigit Vaughan","A3HIGH 19",5.8203,65.8203,NA,NA,109,"NWSS Seismic2"
10671,-19.848864,117.550162,20180605,13:43:50,NA,"POINT SAMSON AREA3","No-take",59.2,"Yes","No","Brigit Vaughan","A3HIGH 20",6.9992,66.9992,NA,NA,109,"NWSS Seismic2"
10672,-19.845275,117.553567,20180605,13:47:18,NA,"POINT SAMSON AREA3","No-take",59.6,"Yes","No","Brigit Vaughan","A3HIGH 21",7.9051,67.9051,NA,NA,109,"NWSS Seismic2"
