"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
8335,-12.076175,127.427415,20120918,11:43:10,NA,"Timor Sea CMR Grid 1","VI",34.2,"Yes","No","Marcus Stowar","NERP 10",3.96666,64.18333,NA,2,"68","Timor Sea CMR"
8339,-12.077717,127.442412,20120918,12:01:12,NA,"Timor Sea CMR Grid 1","VI",54.4,"Yes","No","Marcus Stowar","NERP 14",3.91666,64.6,NA,2,"68","Timor Sea CMR"
8340,-12.079568,127.437305,20120918,12:04:58,NA,"Timor Sea CMR Grid 1","VI",48.1,"Yes","No","Marcus Stowar","NERP 15",4,64.35,NA,2,"68","Timor Sea CMR"
8341,-12.080597,127.431991,20120918,12:08:20,NA,"Timor Sea CMR Grid 2","VI",48.9,"Yes","No","Marcus Stowar","NERP 16",2.46666,63,NA,1,"68","Timor Sea CMR"
8342,-11.8913,127.063533,20120924,08:31:46,NA,"Timor Sea CMR Grid 2","VI",60.6,"Yes","No","Marcus Stowar","NERP 17",6.75,66.01667,NA,1,"68","Timor Sea CMR"
8346,-11.897167,127.078433,20120924,08:44:50,NA,"Timor Sea CMR Grid 2","VI",72.6,"Yes","No","Marcus Stowar","NERP 20",3.73333,63.86666,NA,1,"68","Timor Sea CMR"
8350,-11.888283,127.078133,20120924,09:01:50,NA,"Timor Sea CMR Grid 2","VI",76.6,"Yes","No","Marcus Stowar","NERP 24",5.1,65.63333,NA,1,"68","Timor Sea CMR"
8364,-11.402233,127.024317,20120930,09:12:04,NA,"Timor Sea CMR Grid 3","VI",51,"Yes","No","Marcus Stowar","NERP 37",NA,NA,NA,NA,"68","Timor Sea CMR"
8366,-11.403633,127.026433,20120930,09:18:32,NA,"Timor Sea CMR Grid 3","VI",54,"Yes","No","Marcus Stowar","NERP 39",3.15,64.91666,NA,2,"68","Timor Sea CMR"
8368,-11.403017,127.02895,20120930,09:21:48,NA,"Timor Sea CMR Grid 3","VI",56.5,"Yes","No","Marcus Stowar","NERP 40",1.9,63.81667,NA,2,"68","Timor Sea CMR"
8389,-12.077714,127.432,20120918,09:54:20,NA,"Timor Sea CMR Grid 1","VI",33.3,"Yes","No","Marcus Stowar","NERP 8",2.85,64.85,NA,2,"68","Timor Sea CMR"
8336,-12.074655,127.431648,20120918,11:47:08,NA,"Timor Sea CMR Grid 1","VI",31.1,"Yes","No","Marcus Stowar","NERP 11",2.6,63.66667,NA,2,"68","Timor Sea CMR"
8355,-11.900333,127.0921,20120924,11:17:16,NA,"Timor Sea CMR Grid 2","VI",67.3,"Yes","No","Marcus Stowar","NERP 29",NA,NA,NA,NA,"68","Timor Sea CMR"
8358,-11.894933,127.1006,20120924,11:26:20,NA,"Timor Sea CMR Grid 2","VI",61.2,"Yes","No","Marcus Stowar","NERP 31",NA,NA,NA,NA,"68","Timor Sea CMR"
8365,-11.401367,127.026167,20120930,09:14:52,NA,"Timor Sea CMR Grid 3","VI",52.5,"Yes","No","Marcus Stowar","NERP 38",2.71666,64.56667,NA,2,"68","Timor Sea CMR"
8369,-11.410983,126.934067,20121001,09:18:34,NA,"Timor Sea CMR Grid 3","VI",68.3,"Yes","No","Marcus Stowar","NERP 41",5.26666,65.38333,NA,1,"68","Timor Sea CMR"
8373,-11.42655,126.9594,20121001,09:39:26,NA,"Timor Sea CMR Grid 3","VI",63.6,"Yes","No","Marcus Stowar","NERP 45",3.36666,NA,NA,1,"68","Timor Sea CMR"
8380,-11.430633,126.946383,20121001,11:41:44,NA,"Timor Sea CMR Grid 3","VI",61.9,"Yes","No","Marcus Stowar","NERP 51",4.9,65.41666,NA,1,"68","Timor Sea CMR"
8381,-11.432583,126.938183,20121001,11:46:00,NA,"Timor Sea CMR Grid 3","VI",62.4,"Yes","No","Marcus Stowar","NERP 52",5.6,65.56667,NA,1,"68","Timor Sea CMR"
8337,-12.071237,127.434126,20120918,11:50:12,NA,"Timor Sea CMR Grid 1","VI",32.7,"Yes","No","Marcus Stowar","NERP 12",1.75,63.8,57.15,4,"68","Timor Sea CMR"
8343,-11.894067,127.06685,20120924,08:35:40,NA,"Timor Sea CMR Grid 2","VI",63.9,"Yes","No","Marcus Stowar","NERP 18",3.31666,63.56667,NA,1,"68","Timor Sea CMR"
8352,-11.8914,127.084117,20120924,11:03:56,NA,"Timor Sea CMR Grid 2","VI",66.9,"Yes","No","Marcus Stowar","NERP 26",NA,NA,NA,NA,"68","Timor Sea CMR"
8354,-11.897883,127.093783,20120924,11:14:46,NA,"Timor Sea CMR Grid 2","VI",59,"Yes","No","Marcus Stowar","NERP 28",NA,NA,NA,NA,"68","Timor Sea CMR"
8356,-12.070069,127.427556,20120918,09:18:50,NA,"Timor Sea CMR Grid 1","VI",46.2,"Yes","No","Marcus Stowar","NERP 2",7.05,67.71667,NA,1,"68","Timor Sea CMR"
8374,-11.429917,126.9656,20121001,09:44:12,NA,"Timor Sea CMR Grid 3","VI",62.5,"Yes","No","Marcus Stowar","NERP 46",3.21666,63.45,NA,1,"68","Timor Sea CMR"
8377,-11.438033,126.956017,20121001,11:33:44,NA,"Timor Sea CMR Grid 3","VI",60.3,"Yes","No","Marcus Stowar","NERP 49",4.8,66.21667,NA,1,"68","Timor Sea CMR"
8387,-12.072736,127.438073,20120918,09:44:08,NA,"Timor Sea CMR Grid 1","VI",32.2,"Yes","No","Marcus Stowar","NERP 6",2.8,64.65,NA,1,"68","Timor Sea CMR"
8362,-11.4029,127.0221,20120930,09:06:30,NA,"Timor Sea CMR Grid 3","VI",54.7,"Yes","No","Marcus Stowar","NERP 35",NA,NA,NA,NA,"68","Timor Sea CMR"
8367,-12.067954,127.430122,20120918,09:26:36,NA,"Timor Sea CMR Grid 1","VI",58.5,"Yes","No","Marcus Stowar","NERP 3",6.61666,68.41666,NA,2,"68","Timor Sea CMR"
8376,-11.442083,126.965433,20121001,09:54:20,NA,"Timor Sea CMR Grid 3","VI",58.2,"Yes","No","Marcus Stowar","NERP 48",5.23333,66.68333,NA,1,"68","Timor Sea CMR"
8351,-11.891417,127.073867,20120924,10:58:20,NA,"Timor Sea CMR Grid 2","VI",74.3,"Yes","No","Marcus Stowar","NERP 25",5.25,65.75,NA,1,"68","Timor Sea CMR"
8359,-11.89825,127.106433,20120924,11:31:00,NA,"Timor Sea CMR Grid 3","VI",62.3,"Yes","No","Marcus Stowar","NERP 32",NA,NA,NA,NA,"68","Timor Sea CMR"
8363,-11.40095,127.023717,20120930,09:09:08,NA,"Timor Sea CMR Grid 3","VI",52.2,"Yes","No","Marcus Stowar","NERP 36",NA,NA,NA,NA,"68","Timor Sea CMR"
8379,-11.4311,126.952917,20121001,11:37:44,NA,"Timor Sea CMR Grid 3","VI",61.1,"Yes","No","Marcus Stowar","NERP 50",4.28333,64.13333,NA,1,"68","Timor Sea CMR"
8383,-11.422983,126.9438,20121001,11:53:42,NA,"Timor Sea CMR Grid 3","VI",64.6,"Yes","No","Marcus Stowar","NERP 54",5.28333,66.58334,NA,1,"68","Timor Sea CMR"
