Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,Type,Left.cam,Right.cam,Video.notes,Sampleold,Raw.hdd.number,Con.hdd.number,FishNClip,Habitat.forwards.image.saved,Habitat.forwards.annotated,Habitat.backwards.image.saved,Habitat.backwards.annotated,Habitat.notes,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.complete.date.yyyymmdd,Notes
npz6.10,-28.0787,113.3764,20210512,11:07:00,npz6.10,NPZ6,No-take,112,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,27,28,wrong number filmed then re-filmed,10,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20211116,Claude Spencer,20220223,
npz6.17,-28.0837,113.3839,20210512,11:03:00,npz6.18,NPZ6,No-take,94,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,31,32,wrong number filmed then re-filmed,17,RAW1,,Yes,Yes,Yes,Missing,No,,,,Molly Gerrans,20211124,Claude Spencer,20220302, stethojulis spp
npz6.4,-28.0814,113.3988,20210512,10:57:00,npz6.4,NPZ6,No-take,67.5,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,29,30,"wrong number filmed then re-filmed, bait gone",4,RAW1,,Yes,Yes,Yes,Yes,Yes,rock w turf mat - but not turfing algae,,,Molly Gerrans,20210922,Claude Spencer,20220120,"stethojulis spp,"
npz6.21,-28.0714,113.3992,20210512,10:54:00,npz6.22,NPZ6,No-take,59.3,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,35,36,"wrong number filmed then re-filmed, bait gone",21,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20211201,Claude Spencer,20220406,
npz6.5,-28.0636,113.3935,20210512,10:50:00,npz6.5,NPZ6,No-take,65.8,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,41,42,"wrong number filmed then re-filmed, bait bag gone",5,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210929,Claude Spencer,20220406,stheojulis spp
npz6.12,-28.0512,113.2763,20210512,13:48:00,npz6.12,NPZ6,No-take,185,No,No,N/A,N/A,MBH,27,28,Failed deployment,12,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,N/A,N/A,N/A,"pulls up early, dont analyse"
npz6.C01,-28.1078,113.3706,20210512,14:39:00,,NPZ6,Fished,138,Yes,Yes,Molly Gerrans,Molly Gerrans,,39,40,Filmed wrong number again,C01,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20211210,Claude Spencer,20220120,
npz6.28,-28.1237,113.3663,20210512,14:45:00,out6.1,NPZ6,Fished,149,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,37,38,Filmed wrong number again,28,RAW1,,Yes,Yes,Yes,Yes,Yes,somehow points missed all stuff growing on sand,,,Molly Gerrans,20211201,Claude Spencer,20220223,
npz6.C02,-28.118,113.385,20210512,14:52:00,,NPZ6,Fished,125,Yes,Yes,Molly Gerrans,Molly Gerrans,,43,44,Filmed wrong number again,C02,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20211210,Claude Spencer,20220120,
npz6.BOSS41,-28.1137,113.3939,20210512,14:57:00,,NPZ6,Fished,104,Yes,Yes,Molly Gerrans,Molly Gerrans,,33,34,"Filmed wrong number again , BOSS mark, time out is an estimate",BOSS41,RAW1,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20211210,Claude Spencer,20220223,stethojulis spp
npz6.36,-28.1062,113.4089,20210512,15:02:00,out6.9,NPZ6,Fished,66.5,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,27,28,,36,RAW1,,Yes,Yes,Yes,Yes,Yes,tipped on side,,,Molly Gerrans,20211215,Claude Spencer,20220406,
npz9.7,-27.1162,113.1964,20210515,8:37:00,npz9.7,NPZ9,No-take,97.2,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,27,28,,7,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210706,Claude Spencer,20220120,
npz9.29,-27.1313,113.2089,20210515,8:27:00,npz9.29,NPZ9,No-take,96.7,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,29,30,Empty bait bag,29,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210709,Claude Spencer,20220120,
npz9.12,-27.1462,113.2039,20210515,8:19:00,npz9.12,NPZ9,No-take,92.2,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,31,32,,12,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210712,Claude Spencer,20220223,
npz9.5,-27.151,113.214,20210515,8:09:00,npz9.5,NPZ9,No-take,87.8,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,33,34,"Time out is an estimate, eDNA sample, lights not on",5,RAW2,,Yes,Yes,Yes,Yes,Yes,"forward light off, cant see much. bward image facing up a bit",,,Molly Gerrans,20210721,Claude Spencer,20220406,
