Sample,Family,Genus,Species,Count,Length,Code,Filename,Frame,Time (mins),Precision (mm),RMS (mm),Range (mm),Direction (deg),Comment,Stage,Activity
PN_I01_2110,Plesiopidae,Trachinops,noarlungae,1,53.507,37316017,GH011770.MP4,10822,7.2147,1.615,0.642,809.65,14.033,Starts at 1:45,AD,Passing
PN_I01_2110,Labridae,Austrolabrus,maculatus,1,193.371,37384025,GH011770.MP4,20959,13.9727,7.754,1.151,2397.176,8.606,Starts at 1:45,AD,Passing
PN_I01_2110,Kyphosidae,Kyphosus,sydneyanus,1,410.071,37361001,GH021770.MP4,5702,21.438,2.74,0.328,1832.038,21.051,Starts at 1:45,AD,Passing
PN_I01_2110,Kyphosidae,Kyphosus,sydneyanus,1,342.372,37361001,GH021770.MP4,5702,21.438,3.272,0.828,1888.243,14.273,Starts at 1:45,AD,Passing
PN_I01_2110,Kyphosidae,Kyphosus,sydneyanus,1,422.284,37361001,GH021770.MP4,5702,21.438,5.874,0.51,2022.735,10.446,Starts at 1:45,AD,Passing
PN_I01_2110,Labridae,Notolabrus,tetricus,1,267.782,37384003,GH021770.MP4,7114,22.3793,2.722,1.421,1229.117,34.574,Starts at 1:45,AD,Passing
PN_I01_2110,Monacanthidae,Meuschenia,freycineti,1,299.055,37465036,GH021770.MP4,13316,26.514,0.776,3.011,725.607,17.087,Starts at 1:45,AD,Passing
PN_I01_2110,Sparidae,Chrysophrys,auratus,1,396.85,37353001,GH021770.MP4,19238,30.462,2.717,0.225,1644.696,24.1,Starts at 1:45,AD,Passing
PN_I01_2110,Scorpididae,Scorpis,lineolata,1,164.385,37361009,GH031770.MP4,3461,37.5807,1.131,1.041,922.617,7.844,Starts at 1:45,AD,Passing
PN_I01_2110,Scorpididae,Scorpis,aequipinnis,5,226.865,37361004,GH031770.MP4,4370,38.1867,4.8,0.998,1766.285,16.94,Starts at 1:45,AD,Passing
PN_I01_2110,Scorpididae,Scorpis,aequipinnis,5,206.269,37361004,GH031770.MP4,4370,38.1867,5.64,2.657,1784.964,11.377,Starts at 1:45,AD,Passing
PN_I01_2110,Monacanthidae,Meuschenia,hippocrepis,4,307.991,37465004,GH031770.MP4,6720,39.7533,1.649,1.373,804.883,12.906,Starts at 1:45,AD,Passing
PN_I01_2110,Monacanthidae,Meuschenia,hippocrepis,4,314.267,37465004,GH031770.MP4,6720,39.7533,2.921,3.023,1216.365,24.532,Starts at 1:45,AD,Passing
PN_I03_2110,Sillaginidae,Sillago,bassensis,1,145.924,37330002,GOPR0103.MP4,5677,3.7847,2.167,1.14,1201.116,19.814,Starts at 1:50,AD,Passing
PN_I03_2110,Sillaginidae,Sillago,bassensis,1,202.933,37330002,GOPR0103.MP4,8866,5.9107,1.757,5.94,760.644,28.394,Starts at 1:50,AD,Passing
PN_I03_2110,Mullidae,Upeneichthys,vlamingii,1,141.721,37355029,GOPR0103.MP4,11371,7.5807,3.526,0.904,1510.442,24.161,Starts at 1:50,AD,Passing
PN_I03_2110,Labridae,Notolabrus,parilus,1,385.229,99379455,GOPR0103.MP4,15555,10.37,4.112,1.195,1779.445,17.977,Starts at 1:50,AD,Passing
PN_I03_2110,Loliginidae,Sepioteuthis,australis,1,250.241,23617005,GOPR0103.MP4,19445,12.9633,5.425,2.008,1564.647,28.427,Starts at 1:50,AD,Passing
PN_I03_2110,Scorpididae,Scorpis,aequipinnis,1,215.328,37361004,GP010103.MP4,10366,24.5907,2.563,4.489,1148.976,30.235,Starts at 1:50,AD,Passing
PN_I03_2110,Scorpididae,Scorpis,aequipinnis,1,206.762,37361004,GP010103.MP4,14541,27.374,2.277,2.879,998.767,18.479,Starts at 1:50,AD,Passing
PN_I03_2110,Scorpididae,Scorpis,aequipinnis,1,351.514,37361004,GP010103.MP4,14541,27.374,3.747,2.149,1195.767,28.731,Starts at 1:50,AD,Passing
