Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
PN_I01_2110,-35.14568696,138.4626997,20211012,12:18:00,Port Noarlunga Reef,No-take,PN_I01,5.8,TClarke,Yes,Yes,Port Noarlunga Reef Inside,NA,Stereo,65,54,268852.5839,6107853.224,DEaston,MST,SAMPA,NA
PN_I02_2110,-35.14752016,138.4630106,20211012,12:21:00,Port Noarlunga Reef,No-take,PN_I02,8,TClarke,Yes,No,Port Noarlunga Reef Inside,NA,Stereo,65,54,268886.099,6107650.578,DEaston,MST,SAMPA,NA
PN_I03_2110,-35.14957792,138.4637336,20211012,12:25:00,Port Noarlunga Reef,No-take,PN_I03,7.6,TClarke,Yes,Yes,Port Noarlunga Reef Inside,NA,Stereo,65,54,268957.7931,6107423.979,DEaston,MST,SAMPA,NA
PN_I04_2110,-35.15182603,138.4643555,20211012,12:30:00,Port Noarlunga Reef,No-take,PN_I04,7.6,TClarke,Yes,Yes,Port Noarlunga Reef Inside,NA,Stereo,65,54,269020.8198,6107176.028,DEaston,MST,SAMPA,NA
ISMI01_2111,-32.55123,133.28635,20211116,9:10:00,Isles of St Francis,No-take,ISMI01,24.8,DEaston,Yes,Yes,Massilon Inside,NA,Stereo,NA,53,339102.2878,6397167.105,JHicks,MST,SAMPA,NA
ISMI02_2111,-32.55179,133.28883,20211116,9:18:00,Isles of St Francis,No-take,ISMI02,19.5,DEaston,Yes,Yes,Massilon Inside,NA,Stereo,NA,53,339336.167,6397108.762,JHicks,MST,SAMPA,NA
ISMI03_2111,-32.55528,133.29382,20211116,9:23:00,Isles of St Francis,No-take,ISMI03,11.2,DEaston,Yes,Yes,Massilon Inside,NA,Stereo,NA,53,339810.9451,6396729.336,JHicks,MST,SAMPA,NA
ISMI04_2111,-32.5551,133.29658,20211116,9:26:00,Isles of St Francis,No-take,ISMI04,10.1,DEaston,Yes,Yes,Massilon Inside,NA,Stereo,NA,53,340069.7877,6396753.444,JHicks,MST,SAMPA,NA
ISSI01_2111,-32.52462,133.30514,20211116,9:42:00,Isles of St Francis,No-take,ISSI01,13.1,DEaston,Yes,Yes,St Francis Inside,NA,Stereo,NA,53,340819.7803,6400145.669,JHicks,MST,SAMPA,NA
ISSI02_2111,-32.52094,133.30874,20211116,9:48:00,Isles of St Francis,No-take,ISSI02,21,DEaston,Yes,Yes,St Francis Inside,NA,Stereo,NA,53,341151.4549,6400559.053,JHicks,MST,SAMPA,NA
ISSI03_2111,-32.50808,133.31209,20211116,9:52:00,Isles of St Francis,No-take,ISSI03,22.4,DEaston,Yes,Yes,St Francis Inside,NA,Stereo,NA,53,341443.5522,6401989.856,JHicks,MST,SAMPA,NA
ISSI04_2111,-32.5134,133.31081,20211116,9:55:00,Isles of St Francis,No-take,ISSI04,22.6,DEaston,Yes,Yes,St Francis Inside,NA,Stereo,NA,53,341332.6474,6401398.113,JHicks,MST,SAMPA,NA
ISDI01_2111,-32.50122,133.32629,20211116,11:24:00,Isles of St Francis,No-take,ISDI01,28.5,DEaston,Yes,Yes,Dog Island Inside,NA,Stereo,NA,53,342765.6708,6402771.473,JHicks,MST,SAMPA,NA
ISDI02_2111,-32.49787,133.32652,20211116,11:28:00,Isles of St Francis,No-take,ISDI02,22.7,DEaston,Yes,Yes,Dog Island Inside,NA,Stereo,NA,53,342781.4501,6403143.231,JHicks,MST,SAMPA,NA
ISDI03_2111,-32.49523,133.32648,20211116,11:31:00,Isles of St Francis,No-take,ISDI03,22.2,DEaston,Yes,Yes,Dog Island Inside,NA,Stereo,NA,53,342773.0973,6403435.872,JHicks,MST,SAMPA,NA
ISDI04_2111,-32.49258,133.3265,20211116,11:34:00,Isles of St Francis,No-take,ISDI04,20.7,DEaston,Yes,Yes,Dog Island Inside,NA,Stereo,NA,53,342770.3651,6403729.711,JHicks,MST,SAMPA,NA
ISLO01_2111,-32.39256,133.36718,20211116,13:28:00,Isles of St Francis,Fished,ISLO01,29.4,DEaston,Yes,Yes,Lacey Island Outside,NA,Stereo,NA,53,346423.2257,6414878.139,JHicks,MST,SAMPA,NA
ISLO02_2111,-32.3919,133.36941,20211116,13:31:00,Isles of St Francis,Fished,ISLO02,27.2,DEaston,Yes,Yes,Lacey Island Outside,NA,Stereo,NA,53,346631.8794,6414954.514,JHicks,MST,SAMPA,NA
ISLO03_2111,-32.39239,133.37639,20211116,13:36:00,Isles of St Francis,Fished,ISLO03,16.3,DEaston,Yes,Yes,Lacey Island Outside,NA,Stereo,NA,53,347289.2966,6414910.18,JHicks,MST,SAMPA,NA
ISLO04_2111,-32.39154,133.3786,20211116,13:39:00,Isles of St Francis,Fished,ISLO04,14.5,DEaston,Yes,Yes,Lacey Island Outside,NA,Stereo,NA,53,347495.7557,6415007.572,JHicks,MST,SAMPA,NA
