opcode,Type,longitude_dd,latitude_dd,Date,Time,Time.out,Depth,Site,Location,Status,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes,inclusion.probabilities
5.11,new,113.5723254,-22.76278737,20190813,16:05:00,17:16:00,70.7,5,Ningaloo Marine Park,,Charlotte Aston,20190916,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,,2.62E-07
5.13,legacy,113.58319,-22.76082,20190813,16:11:00,17:24:00,69.2,5,Ningaloo Marine Park,,Charlotte Aston,20190916,Todd,Yes,No,373,374,439,Nice red on backwards cam. No Right cam,1,1,Yes,Yes,20200304,,,No right camera,2.62E-07
6.01,legacy,113.53596,-22.77091,20190813,13:41:00,15:22:00,87.3,6,Ningaloo Marine Park,,Charlotte Aston,20190918,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,,2.62E-07
6.02,legacy,113.55367,-22.75818,20190813,13:31:00,15:09:00,72.2,6,Ningaloo Marine Park,,Brooke Gibbons,20190913,Todd - find taeniorous fish,Yes,Yes,372,371,564,Light on backwards cuts out half way,1,1,Yes,Yes,20200304,Charlotte Aston,20191204,Measurements accepted with high RMS',
6.03,legacy,113.54189,-22.75754,20190813,13:25:00,14:53:00,83.3,6,Ningaloo Marine Park,,Charlotte Aston,20190918,Todd,Yes,Yes,375,376,420,Nice habitat. Nice habitat on backwards,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,,2.62E-07
6.04,new,113.5402541,-22.75175065,20190813,13:21:00,14:42:00,89.6,6,Ningaloo Marine Park,,Brooke Gibbons,20190916,Todd,Yes,Yes,367,368,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,
6.05,new,113.5412044,-22.7411738,20190813,13:15:00,14:31:00,90.8,6,Ningaloo Marine Park,,Brooke Gibbons,20190918,Todd,Yes,Yes,369,370,422,Cool habitat on way up,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,
6.12,new,113.541917,-22.73059695,20190813,13:11:00,14:16:00,95.3,6,Ningaloo Marine Park,,Brooke Gibbons,20190918,Todd,Yes,Yes,373,374,439,,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,
7.01,new,113.5509445,-22.73427585,20190814,08:24:00,09:44:00,85,7,Ningaloo Marine Park,,Charlotte Aston,20190918,Todd,Yes,Yes,378,377,423,Two whales on way up. Tiger on backwards,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,1.42E-05
7.02,new,113.5533202,-22.7317466,20190814,08:21:00,09:38:00,84,7,Ningaloo Marine Park,,Brooke Gibbons,20190919,Todd ,Yes,Yes,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20200310,,
7.03,new,113.5554582,-22.72507859,20190814,08:16:00,09:29:00,82,7,Ningaloo Marine Park,,Charlotte Aston,20190925,Todd,Yes,Yes,375,376,420,Big rankin and baby red,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,2.62E-07
7.04,new,113.5630603,-22.72760784,20190814,08:13:00,09:22:00,75,7,Ningaloo Marine Park,,Brooke Gibbons,20190920,Todd,Yes,Yes,367,368,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,,
7.05,new,113.5732756,-22.72875749,20190814,08:08:00,09:15:00,72,7,Ningaloo Marine Park,,Brooke Gibbons,20190923,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,,
7.08,new,113.5756513,-22.73059695,20190814,08:03:00,09:06:00,72,7,Ningaloo Marine Park,,Charlotte Aston,20190925,Todd,Yes,Yes,373,374,439,Whale breaches at start 2:13. Backwards video instead of pictures,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,2.62E-07
8.01,new,113.5497567,-22.71266228,20190814,10:00:00,11:02:00,87,8,Ningaloo Marine Park,,Charlotte Aston,20190925,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191205,,2.62E-07
8.02,new,113.5559334,-22.70277523,20190814,10:06:00,11:12:00,76,8,Ningaloo Marine Park,,Charlotte Aston,20190926,Todd - Go back for lamark+others for pictures,Yes,Yes,372,371,564,"Great habitat, massive grouper - good for cool clips, tiger on backwards photo",1,1,Yes,Yes,20200304,Charlotte Aston,20191205,Measurements accepted with high RMS. Sea fan covering right camera so very few actually measurements,2.62E-07
8.05,legacy,113.57994,-22.7017,20190814,10:31:00,11:52:00,63,8,Ningaloo Marine Park,,Charlotte Aston,20191001,Todd - blennidae sp1,Yes,Yes,373,374,439,Dragged by whale,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,,2.62E-07
8.06,legacy,113.58157,-22.69621,20190814,10:27:00,11:45:00,61,8,Ningaloo Marine Park,,Charlotte Aston,20191001,Todd,Yes,Yes,369,370,422,Lil hammer,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,,2.57E-07
8.07,legacy,113.57783,-22.69542,20190814,10:23:00,11:38:00,63,8,Ningaloo Marine Park,,Charlotte Aston,20191004,Todd,Yes,Yes,367,368,440,Big red. Go back and check the grandoculis/griseus,1,1,Yes,Yes,20200304,Charlotte Aston,20200311,,2.57E-07
8.12,new,113.547381,-22.69932625,20190814,10:11:00,11:22:00,95,8,Ningaloo Marine Park,,Charlotte Aston,20191007,Todd,Yes,Yes,375,376,420,Lights turned off,1,1,Yes,Yes,20200304,Charlotte Aston,20200312,,2.57E-07
9.01,new,113.5359779,-22.70139564,20190813,11:16:00,12:51:00,117.8,9,Ningaloo Marine Park,,Charlotte Aston,20191007,Todd - Can't measure macrorhinus,Yes,Yes,373,374,439,3.1 also in the raw folder Left,1,1,Yes,Yes,20200304,Charlotte Aston,20200312,,2.57E-07
9.02,new,113.5214865,-22.7025453,20190813,11:00:00,12:14:00,163.8,9,Ningaloo Marine Park,,Todd Bond,20190902,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,,
9.05,new,113.5248124,-22.69150858,20190813,11:05:00,12:28:00,175.3,9,Ningaloo Marine Park,,Charlotte Aston,20191007,Todd,No,No,367,368,440,Flipped on back,1,1,Yes,Yes,20200304,Charlotte Aston,20200312,,2.57E-07
9.06,new,113.5319393,-22.6931181,20190813,11:10:00,12:40:00,136.3,9,Ningaloo Marine Park,,Todd Bond,20190903,Todd,Yes,Yes,369,370,422,Bait almost gone at 30 mins. ,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,,
9.07,new,113.5255251,-22.71082283,20190813,10:52:00,12:05:00,133.1,9,Ningaloo Marine Park,,Todd Bond,20190902,Todd,Yes,Yes,372,371,564,Check shark. DROP FRAMES ? Light on backwards not working. Bait runs low quickly and almost gone at 30 mins. Converted wrong. Drops Frames.,1,1,Yes,Yes,20200305,Charlotte Aston,20200316,,
9.08,new,113.5136468,-22.71220242,20190813,10:45:00,11:55:00,178,9,Ningaloo Marine Park,,Todd Bond,20190902,Todd,Yes,Yes,375,376,420,,1,1,Yes,Yes,20200305,Charlotte Aston,20200325,,
10.01,new,113.5564085,-22.67587323,20190814,12:13:00,13:15:00,93,10,Ningaloo Marine Park,,Charlotte Aston,20191114,Todd,Yes,No,373,374,439,Shark flips BRUV,1,1,Yes,Yes,20200305,Charlotte Aston,20200312,,2.57E-07
