opcode,Type,longitude_dd,latitude_dd,Date,Time,Time.out,Depth,Site,Location,Status,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes,inclusion.probabilities
18.02,new,113.8120284,-22.06517499,20190816,12:38:00,13:42:00,91,18,Ningaloo Marine Park,,Charlotte Aston,20191101,Todd,Yes,Yes,378,377,423,Cool hammer footage. Not sure about the grandoculis/griseus in these video,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
18.03,new,113.8082274,-22.06563485,20190816,12:46:00,13:53:00,117,18,Ningaloo Marine Park,,Charlotte Aston,20191104,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
18.04,new,113.810603,-22.06172601,20190816,12:50:00,14:01:00,134,18,Ningaloo Marine Park,,Charlotte Aston,20190830,Brooke,Yes,Yes,367,368,440,Converted wrong. Hammerhead.,2,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20191205,,2.43E-07
18.07,new,113.8281828,-22.06264574,20190816,12:54:00,14:10:00,109,18,Ningaloo Marine Park,,Charlotte Aston,20191104,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,2.43E-07
18.08,new,113.823194,-22.0725328,20190816,12:58:00,14:16:00,96,18,Ningaloo Marine Park,,Charlotte Aston,20191104,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,2.43E-07
19.01,legacy,113.82289,-22.01347,20190816,14:42:00,15:44:00,107,19,Ningaloo Marine Park,,Charlotte Aston,20191104,Todd,Yes,Yes,372,371,564,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,8.62E-06
19.02,new,113.821531,-22.00792203,20190816,14:44:00,15:53:00,122,19,Ningaloo Marine Park,,Charlotte Aston,20191104,Todd,Yes,Yes,373,374,439,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,2.43E-07
19.03,new,113.8305585,-22.00286353,20190816,14:55:00,16:07:00,99,19,Ningaloo Marine Park,,Charlotte Aston,20191105,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,2.11E-06
19.04,new,113.8255696,-22.00056422,20190816,14:49:00,15:59:00,109,19,Ningaloo Marine Park,,Charlotte Aston,20191105,Todd,Yes,Yes,367,368,440,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,2.11E-06
19.05,new,113.8291331,-21.99757511,20190816,14:59:00,16:15:00,101,19,Ningaloo Marine Park,,Charlotte Aston,20191106,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,,2.43E-07
19.08,new,113.8234315,-21.99412613,20190816,15:03:00,16:22:00,130,19,Ningaloo Marine Park,,Charlotte Aston,20191106,Todd,Yes,Yes,375,376,420,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200323,,1.85E-07
23.01,new,114.0835652,-21.68647769,20190817,13:22:00,14:40:00,102,23,Ningaloo Marine Park,,Charlotte Aston,20191111,Todd,Yes,Yes,373,374,439,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,,1.25E-06
23.02,new,114.0785763,-21.68555797,20190817,13:28:00,14:48:00,106,23,Ningaloo Marine Park,,Charlotte Aston,20191111,Todd,Yes,Yes,367,368,440,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,,1.85E-07
23.03,new,114.0811896,-21.68233893,20190817,13:31:00,14:54:00,109,23,Ningaloo Marine Park,,Charlotte Aston,20191111,Todd,Yes,Yes,378,377,423,Backwards camera wasn't turned on. Photos start here,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,,1.85E-07
23.04,new,114.0845155,-21.67980968,20190817,13:35:00,15:01:00,110,23,Ningaloo Marine Park,,Charlotte Aston,20191112,Todd,Yes,Yes,369,370,422,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,,2.43E-07
23.06,new,114.0944932,-21.67475118,20190817,13:46:00,15:09:00,107,23,Ningaloo Marine Park,,Charlotte Aston,20191112,Todd,Yes,Yes,375,376,420,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,,NA
23.09,new,114.0747,-21.706867,20190817,13:13:00,14:24:00,67,23,Ningaloo Marine Park,,Charlotte Aston,20191112,Todd,Yes,Yes,372,371,564,21 24.412S 114 4.482E,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,NA
30.01,new,113.90413,-21.91122,20190817,10:04:00,11:12:00,69,30,Ningaloo Marine Park,,Charlotte Aston,20191112,Todd,No,No,375,376,420,Flipped on back,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,1.85E-07
30.02,new,113.90722,-21.90687,20190817,10:08:00,11:19:00,69,30,Ningaloo Marine Park,,Charlotte Aston,20191115,Todd,Yes,Yes,369,370,422,Bouncing,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,1.85E-07
30.03,new,113.91082,-21.89999,20190817,10:13:00,11:28:00,67,30,Ningaloo Marine Park,,Charlotte Aston,20191115,Todd,Yes,Yes,378,377,423,,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,1.25E-06
30.04,new,113.91423,-21.89513,20190817,10:16:00,11:36:00,69,30,Ningaloo Marine Park,,Charlotte Aston,20191115,Todd,Yes,Yes,367,368,440,,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,1.85E-07
30.05,new,113.91801,-21.88983,20190817,10:20:00,11:44:00,68,30,Ningaloo Marine Park,,Charlotte Aston,20191115,Todd,Yes,Yes,373,374,439,,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,1.85E-07
30.06,new,113.9202,-21.8876,20190817,10:23:00,11:49:00,66,30,Ningaloo Marine Park,,Charlotte Aston,20190902,Todd,Yes,Yes,372,371,564,Sunny but windy. Lobster. Converted wrong. ,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20191205,Measurements accepted at high RMS. Ask about nematophorus,1.85E-07
31.01,new,114.08985,-21.6873167,20190817,15:25:00,16:31:00,77,31,Ningaloo Marine Park,,Charlotte Aston,20191127,Todd,Yes,Yes,375,376,420,Filmed 30 on lab sheet,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,3.79E-06
31.02,new,114.09,-21.6919667,20190817,15:29:00,16:36:00,71,31,Ningaloo Marine Park,,Charlotte Aston,20190903,Todd,Yes,Yes,369,370,422,Filmed 30 on lab sheet. Converted wrong. ,3,2,Yes,Yes,20200305,Charlotte Aston,20200403,,NA
31.03,new,114.0887667,-21.69445,20190817,15:31:00,16:41:00,66,31,Ningaloo Marine Park,,Charlotte Aston,20191126,Todd,Yes,Yes,378,377,423,Filmed 30 on lab sheet,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20200324,,4.39E-06
31.04,new,114.0877667,-21.69635,20190817,15:34:00,16:47:00,64,31,Ningaloo Marine Park,,Charlotte Aston,20191202,Todd,Yes,Yes,367,368,440,Rankin,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,,1.85E-07
31.05,new,114.0814333,-21.70045,20190817,15:39:00,16:52:00,67,31,Ningaloo Marine Park,,Charlotte Aston,20190903,Todd,Yes,Yes,373,374,439,Converted wrong. ,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20200304,,1.85E-07
31.06,new,114.0774833,-21.7025167,20190817,15:45:00,16:58:00,66,31,Ningaloo Marine Park,,Charlotte Aston,20191126,Todd,Yes,Yes,372,371,564,,3,2,Yes,Yes,20200305,Charlotte Aston,20200325,,4.13E-06
