campaignid,sample,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2021-08_PtCloates_stereo-BRUVs,PCB11,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,,1
2021-08_PtCloates_stereo-BRUVs,PCB11,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,13
2021-08_PtCloates_stereo-BRUVs,PCB12,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,9
2021-08_PtCloates_stereo-BRUVs,PCB12,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,9
2021-08_PtCloates_stereo-BRUVs,PCB13,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,1
2021-08_PtCloates_stereo-BRUVs,PCB13,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,1
2021-08_PtCloates_stereo-BRUVs,PCB13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,,3
2021-08_PtCloates_stereo-BRUVs,PCB13,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,10
2021-08_PtCloates_stereo-BRUVs,PCB13,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,1
2021-08_PtCloates_stereo-BRUVs,PCB13,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,17
2021-08_PtCloates_stereo-BRUVs,PCB16,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,1
2021-08_PtCloates_stereo-BRUVs,PCB16,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,1
2021-08_PtCloates_stereo-BRUVs,PCB16,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,,3
2021-08_PtCloates_stereo-BRUVs,PCB16,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,6
2021-08_PtCloates_stereo-BRUVs,PCB16,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,1
2021-08_PtCloates_stereo-BRUVs,PCB16,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,18
2021-08_PtCloates_stereo-BRUVs,PCB2,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,,5
