campaignid,sample,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2019-08-Ningaloo-deep_stereo-BRUVS,1.01,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,19
2019-08-Ningaloo-deep_stereo-BRUVS,1.02,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,25
2019-08-Ningaloo-deep_stereo-BRUVS,1.03,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,25
2019-08-Ningaloo-deep_stereo-BRUVS,1.04,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,25
2019-08-Ningaloo-deep_stereo-BRUVS,1.05,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,20
2019-08-Ningaloo-deep_stereo-BRUVS,1.06,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,25
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,1
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,20
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,10
2019-08-Ningaloo-deep_stereo-BRUVS,10.02,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,3
