campaignid,sample,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,count
2020-06_south-west_stereo-BRUVs,19,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,20
2020-06_south-west_stereo-BRUVs,19,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereo-BRUVs,20,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereo-BRUVs,20,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereo-BRUVs,20,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereo-BRUVs,21,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,18
2020-06_south-west_stereo-BRUVs,21,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereo-BRUVs,22,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereo-BRUVs,22,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereo-BRUVs,22,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereo-BRUVs,23,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereo-BRUVs,23,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,13
2020-06_south-west_stereo-BRUVs,24,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereo-BRUVs,24,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereo-BRUVs,24,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereo-BRUVs,25,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereo-BRUVs,25,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereo-BRUVs,26,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereo-BRUVs,26,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,18
2020-06_south-west_stereo-BRUVs,26,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereo-BRUVs,27,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereo-BRUVs,27,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,17
2020-06_south-west_stereo-BRUVs,27,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereo-BRUVs,28,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,22
2020-06_south-west_stereo-BRUVs,28,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereo-BRUVs,29,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereo-BRUVs,29,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,11
2020-06_south-west_stereo-BRUVs,29,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereo-BRUVs,30,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,14
2020-06_south-west_stereo-BRUVs,30,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereo-BRUVs,31,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereo-BRUVs,31,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereo-BRUVs,31,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereo-BRUVs,31,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereo-BRUVs,32,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereo-BRUVs,32,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereo-BRUVs,32,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereo-BRUVs,32,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,13
