Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,Frame info 1,Frame info 2,Frame info 3,Frame info 4,Frame info 5,Frame info 6,CATAMI_L2_L3,CATAMI_L4,CATAMI_L5,Relief,,,,,Radius %
SAL_DC_001.jpg,0,,886,1179,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,43.5
SAL_DC_001.jpg,0,,990,1082,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,45.2
SAL_DC_001.jpg,0,,600,549,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,77.7
SAL_DC_001.jpg,0,,625,521,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,78.3
SAL_DC_001.jpg,0,,762,1100,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,50.3
SAL_DC_001.jpg,0,,886,898,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,55.7
SAL_DC_001.jpg,0,,843,1145,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,46.1
SAL_DC_001.jpg,0,,626,143,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,95.3
SAL_DC_001.jpg,0,,848,1131,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,46.6
SAL_DC_001.jpg,0,,1033,802,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,57.4
SAL_DC_001.jpg,0,,647,1088,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,54.5
SAL_DC_001.jpg,0,,752,844,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,61.2
SAL_DC_001.jpg,0,,605,215,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,92.4
SAL_DC_001.jpg,0,,663,1871,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,35.6
SAL_DC_001.jpg,0,,803,818,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,61.1
SAL_DC_001.jpg,0,,943,1246,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,39.2
SAL_DC_001.jpg,0,,840,713,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,65
SAL_DC_001.jpg,0,,900,300,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,83.3
SAL_DC_001.jpg,0,,979,1033,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,47.6
SAL_DC_001.jpg,0,,995,871,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,54.8
SAL_DC_001.jpg,0,,987,2715,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,44.9
SAL_DC_001.jpg,0,,879,2729,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,48.1
SAL_DC_001.jpg,0,,891,2781,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,50
SAL_DC_001.jpg,0,,1044,3657,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,89
SAL_DC_001.jpg,0,,958,3145,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,65.4
SAL_DC_001.jpg,0,,877,2860,,,,,,,,,,,,,,,,,,,Macroalgae > Large canopy-forming,Brown,,,Unidentifiable,Open,,ec77a168-fc23-49b4-a450-52f461199245,53.9
