campaignid,period,latitude_dd,longitude_dd,date_time,date_raw,day,month,year,time_raw,time_formatted,site,location,status,depth_m,observer_count,observer_length,successful_count,successful_length,panoramic_habitat_image_saved,downward_habitat_image_saved,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward
2022-11_Salisbury_stereo-BOSS,SAL-DC-039,-34.3532,123.536,2022-11-21T05:48:00+08:00,21/11/2022,21,11,2022,548,05:48:00,,Salisbury MBH,Fished,33.5,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-008,-34.3788,123.4783,2022-11-21T06:21:00+08:00,21/11/2022,21,11,2022,621,06:21:00,,Salisbury MBH,Fished,85.5,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-063,-34.3928,123.5255,2022-11-21T06:48:00+08:00,21/11/2022,21,11,2022,648,06:48:00,,Salisbury MBH,Fished,81,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-079,-34.4201,123.4936,2022-11-21T07:14:00+08:00,21/11/2022,21,11,2022,714,07:14:00,,Salisbury MBH,Fished,88,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-043,-34.4373,123.5081,2022-11-21T07:32:00+08:00,21/11/2022,21,11,2022,732,07:32:00,,Salisbury MBH,Fished,91,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-014,-34.4619,123.5153,2022-11-21T07:53:00+08:00,21/11/2022,21,11,2022,753,07:53:00,,Salisbury MBH,Fished,86,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-069,-34.4715,123.4981,2022-11-21T08:12:00+08:00,21/11/2022,21,11,2022,812,08:12:00,,Salisbury MBH,Fished,85,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-033,-34.489,123.4801,2022-11-21T08:33:00+08:00,21/11/2022,21,11,2022,833,08:33:00,,Salisbury MBH,Fished,86,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-004,-34.5328,123.4919,2022-11-21T09:00:00+08:00,21/11/2022,21,11,2022,900,09:00:00,,Salisbury MBH,Fished,88,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-075,-34.5704,123.4914,2022-11-21T09:24:00+08:00,21/11/2022,21,11,2022,924,09:24:00,,Salisbury MBH,Fished,90,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-092,-34.5984,123.508,2022-11-21T09:47:00+08:00,21/11/2022,21,11,2022,947,09:47:00,,Salisbury MBH,Fished,102,,,,,,,,,Unknown,
2022-11_Salisbury_stereo-BOSS,SAL-DC-028,-34.6133,123.5682,2022-11-21T10:20:00+08:00,21/11/2022,21,11,2022,1020,10:20:00,,Salisbury MBH,Fished,172,,,,,,,,,Unknown,
