Sample,Family,Genus,Species,Count,Code,Filename,Frame,Time (mins),TapeReader,Depth,Comment,Habitat,Soak time,Bias,FOV,Vis,Has fed
ARSO02_1812,Arripidae,Arripis,georgianus,3,37344001,ARSO02_L.avi,81619,54.4127,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Carangidae,Pseudocaranx,sp,14,37337924,ARSO02_L.avi,83083,55.3887,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Carangidae,Trachurus,novaezelandiae,6,37337003,ARSO02_L.avi,82727,55.1513,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Cheilodactylidae,Dactylophora,nigricans,1,37377005,ARSO02_L.avi,19727,13.1513,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Dasyatidae,Dasyatis,brevicaudata,1,37035001,ARSO02_L.avi,87522,58.348,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Heterodontidae,Heterodontus,portusjacksoni,3,37007001,ARSO02_L.avi,80896,53.9307,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,Yes
ARSO02_1812,Labridae,Austrolabrus,maculatus,1,37384025,ARSO02_L.avi,7578,5.052,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Labridae,Notolabrus,parilus,2,37384022,ARSO02_L.avi,22777,15.1847,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO02_1812,Monacanthidae,Meuschenia,hippocrepis,2,37465004,ARSO02_L.avi,40729,27.1527,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,Yes
ARSO02_1812,Monacanthidae,Scobinichthys,granulatus,1,37465007,ARSO02_L.avi,15217,10.1447,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,Yes
ARSO02_1812,Mullidae,Upeneichthys,vlamingii,2,37355029,ARSO02_L.avi,29476,19.6507,SWhitmarsh,12.5,NA,Reef; Mixed algal; Flat,60,2,1,2,No
ARSO03_1812,Arripidae,Arripis,georgianus,4,37344001,ARSO03_L.avi,88204,58.8027,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Carangidae,Pseudocaranx,sp,1,37337924,ARSO03_L.avi,59221,39.4807,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Carangidae,Trachurus,novaezelandiae,8,37337003,ARSO03_L.avi,86922,57.948,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Dasyatidae,Dasyatis,brevicaudata,1,37035001,ARSO03_L.avi,59082,39.388,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Labridae,Notolabrus,parilus,2,37384022,ARSO03_L.avi,22513,15.0087,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Labridae,Notolabrus,tetricus,1,37384003,ARSO03_L.avi,38279,25.5193,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Monacanthidae,unknown,sp,1,37465903,ARSO03_L.avi,7150,4.7667,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Monacanthidae,Acanthaluteres,brownii,1,37465001,ARSO03_L.avi,38212,25.4747,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Monacanthidae,Meuschenia,galii,2,37465040,ARSO03_L.avi,27397,18.2647,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Mullidae,Upeneichthys,vlamingii,6,37355029,ARSO03_L.avi,62187,41.458,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Pomacentridae,Parma,victoriae,1,37372006,ARSO03_L.avi,17670,11.78,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO03_1812,Sparidae,Pagrus,auratus,2,37353001,ARSO03_L.avi,93784,62.5227,SWhitmarsh,13.8,NA,Reef; Fucoid; Flat,60,1,1,2,No
ARSO04_1812,Arripidae,Arripis,georgianus,12,37344001,ARSO04_L.avi,66739,44.4927,SWhitmarsh,15.9,NA,Missing Data,60,1,1,2,No
ARSO04_1812,Carangidae,Pseudocaranx,sp,13,37337924,ARSO04_L.avi,62491,41.6607,SWhitmarsh,15.9,NA,Missing Data,60,1,1,2,No
ARSO04_1812,Carangidae,Trachurus,novaezelandiae,3,37337003,ARSO04_L.avi,16591,11.0607,SWhitmarsh,15.9,NA,Missing Data,60,1,1,2,No
ARSO04_1812,Gerreidae,Parequula,melbournensis,2,37349001,ARSO04_L.avi,18223,12.1487,SWhitmarsh,15.9,NA,Missing Data,60,1,1,2,No
ARSO04_1812,Heterodontidae,Heterodontus,portusjacksoni,3,37007001,ARSO04_L.avi,78078,52.052,SWhitmarsh,15.9,NA,Missing Data,60,1,1,2,Yes
ARSO04_1812,Labridae,Austrolabrus,maculatus,1,37384025,ARSO04_L.avi,76762,51.1747,SWhitmarsh,15.9,NA,Missing Data,60,1,1,2,No
