Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
ARSO01_1812,-35.341884,138.425815,20181212,8:50:00,Aldinga Reef,Fished,ARSO01,13.8,SWhitmarsh,No,No,Aldinga Reef South Out,NA,Stereo,152,54,266056.3136,6086001.087,JHicks,MST/AMLR/Coast,SAMP,18.9
ARSO02_1812,-35.338259,138.427325,20181212,8:54:00,Aldinga Reef,Fished,ARSO02,12.5,SWhitmarsh,Yes,Yes,Aldinga Reef South Out,NA,Stereo,152,54,266183.1221,6086406.812,JHicks,MST/AMLR/Coast,SAMP,18.9
ARSO03_1812,-35.339365,138.425008,20181212,8:58:00,Aldinga Reef,Fished,ARSO03,13.8,SWhitmarsh,Yes,Yes,Aldinga Reef South Out,NA,Stereo,152,54,265975.6867,6086278.636,JHicks,MST/AMLR/Coast,SAMP,18.9
ARSO04_1812,-35.337233,138.423563,20181212,9:03:00,Aldinga Reef,Fished,ARSO04,15.9,SWhitmarsh,Yes,Yes,Aldinga Reef South Out,NA,Stereo,152,54,265838.1745,6086511.742,JHicks,MST/AMLR/Coast,SAMP,18.9
CANO01_1812,-35.372706,138.374994,20181212,10:21:00,Carrickalinga Cliffs,Fished,CANO01,7.1,SWhitmarsh,Yes,No,Carrickalinga North Out,NA,Stereo,152,54,261527.3196,6082460.318,JHicks,MST/AMLR/Coast,SAMP,18.9
CANO02_1812,-35.371424,138.378371,20181212,10:25:00,Carrickalinga Cliffs,Fished,CANO02,7.5,SWhitmarsh,Yes,Yes,Carrickalinga North Out,NA,Stereo,152,54,261830.4096,6082610.684,JHicks,MST/AMLR/Coast,SAMP,18.9
CANO03_1812,-35.373432,138.372788,20181212,10:28:00,Carrickalinga Cliffs,Fished,CANO03,7,SWhitmarsh,Yes,Yes,Carrickalinga North Out,NA,Stereo,152,54,261329.005,6082374.452,JHicks,MST/AMLR/Coast,SAMP,18.9
CANO04_1812,-35.375339,138.370752,20181212,10:32:00,Carrickalinga Cliffs,Fished,CANO04,6.3,SWhitmarsh,Yes,No,Carrickalinga North Out,NA,Stereo,152,54,261149.6244,6082157.969,JHicks,MST/AMLR/Coast,SAMP,18.9
CANI01_1812,-35.390298,138.345914,20181212,11:48:00,Carrickalinga Cliffs,No-take,CANI01,7.1,SWhitmarsh,Yes,Yes,Carrickalinga North In,NA,Stereo,67,54,258937.2636,6080438.092,JHicks,MST/AMLR/Coast,SAMP,18.9
CANI02_1812,-35.388232,138.346714,20181212,11:51:00,Carrickalinga Cliffs,No-take,CANI02,10.3,SWhitmarsh,Yes,Yes,Carrickalinga North In,NA,Stereo,67,54,259003.791,6080669.251,JHicks,MST/AMLR/Coast,SAMP,18.9
CANI03_1812,-35.387731,138.34992,20181212,11:54:00,Carrickalinga Cliffs,No-take,CANI03,5.3,SWhitmarsh,Yes,Yes,Carrickalinga North In,NA,Stereo,67,54,259293.5689,6080732.646,JHicks,MST/AMLR/Coast,SAMP,18.9
CANI04_1812,-35.386569,138.351297,20181212,11:58:00,Carrickalinga Cliffs,No-take,CANI04,6,SWhitmarsh,Yes,No,Carrickalinga North In,NA,Stereo,67,54,259415.2175,6080864.913,JHicks,MST/AMLR/Coast,SAMP,18.9
CACI01_1812,-35.39864,138.334811,20181212,8:45:00,Carrickalinga Cliffs,No-take,CACI01,7.3,SWhitmarsh,Yes,Yes,Carrickalinga Central In,NA,Stereo,67,54,257953.5233,6079485.467,JHicks,MST/AMLR/Coast,SAMP,18.9
CACI02_1812,-35.39732,138.3365,20181212,8:53:00,Carrickalinga Cliffs,No-take,CACI02,8,SWhitmarsh,Yes,Yes,Carrickalinga Central In,NA,Stereo,67,54,258103.0049,6079636.048,JHicks,MST/AMLR/Coast,SAMP,18.9
CACI03_1812,-35.395837,138.338202,20181212,8:56:00,Carrickalinga Cliffs,No-take,CACI03,8.8,SWhitmarsh,Yes,Yes,Carrickalinga Central In,NA,Stereo,67,54,258253.1855,6079804.742,JHicks,MST/AMLR/Coast,SAMP,18.9
CACI04_1812,-35.394445,138.340118,20181212,9:02:00,Carrickalinga Cliffs,No-take,CACI04,9,SWhitmarsh,Yes,No,Carrickalinga Central In,NA,Stereo,67,54,258423.0841,6079963.86,JHicks,MST/AMLR/Coast,SAMP,18.9
CASI01_1812,-35.405766,138.32604,20181212,10:14:00,Carrickalinga Cliffs,No-take,CASI01,15.7,SWhitmarsh,Yes,Yes,Carrickalinga South In,NA,Stereo,67,54,257178.1595,6078673.363,JHicks,MST/AMLR/Coast,SAMP,18.9
CASI02_1812,-35.404033,138.327485,20181212,10:17:00,Carrickalinga Cliffs,No-take,CASI02,19,SWhitmarsh,Yes,Yes,Carrickalinga South In,NA,Stereo,67,54,257304.2117,6078869.179,JHicks,MST/AMLR/Coast,SAMP,18.9
