Sample,Family,Genus,Species,Count,Length,Code,Filename,Frame,Time (mins),Precision (mm),RMS (mm),Range (mm),Direction (deg),Comment,Stage,Activity
ARSO02_1812,Labridae,Austrolabrus,maculatus,1,166.087,37384025,ARSO02_L.avi,7637,5.0913,4.79,9.654,2760.008,25.136,NA,AD,Attracted
ARSO02_1812,Cheilodactylidae,Dactylophora,nigricans,1,498.677,37377005,ARSO02_L.avi,19759,13.1727,9.522,2.858,3062.225,18.419,NA,AD,Attracted
ARSO02_1812,Labridae,Notolabrus,parilus,1,396.047,37384022,ARSO02_L.avi,27121,18.0807,1.217,4.11,1856.153,5.771,NA,M,Attracted
ARSO02_1812,Monacanthidae,Meuschenia,hippocrepis,1,314.943,37465004,ARSO02_L.avi,27334,18.2227,0.87,3.913,1277.248,6.291,NA,AD,Feeding
ARSO02_1812,Monacanthidae,Scobinichthys,granulatus,1,178.965,37465007,ARSO02_L.avi,45845,30.5633,1.465,1.59,2044.438,11.514,NA,AD,Attracted
ARSO02_1812,Heterodontidae,Heterodontus,portusjacksoni,1,519.326,37007001,ARSO02_L.avi,81114,54.076,1.165,1.678,1216.243,14.874,NA,AD,Attracted
ARSO02_1812,Arripidae,Arripis,georgianus,1,145.643,37344001,ARSO02_L.avi,81637,54.4247,2.486,5.956,2410.321,17.153,NA,AD,Attracted
ARSO02_1812,Arripidae,Arripis,georgianus,1,169.385,37344001,ARSO02_L.avi,81637,54.4247,3.722,7.932,2668.153,16.711,NA,AD,Attracted
ARSO02_1812,Carangidae,Pseudocaranx,sp,1,195.01,37337924,ARSO02_L.avi,83083,55.3887,2.377,4.038,1746.741,17.419,NA,AD,Attracted
ARSO02_1812,Carangidae,Pseudocaranx,sp,1,237.988,37337924,ARSO02_L.avi,83083,55.3887,1.905,3.008,2250.234,11.734,NA,AD,Attracted
ARSO02_1812,Carangidae,Pseudocaranx,sp,1,199.156,37337924,ARSO02_L.avi,83083,55.3887,1.67,2.266,2256.684,11.163,NA,AD,Attracted
ARSO02_1812,Carangidae,Pseudocaranx,sp,1,205.913,37337924,ARSO02_L.avi,83083,55.3887,3.81,2.139,1888.277,7.675,NA,AD,Attracted
ARSO02_1812,Carangidae,Pseudocaranx,sp,1,222.674,37337924,ARSO02_L.avi,83083,55.3887,5.093,2.901,2368.694,3.285,NA,AD,Attracted
ARSO02_1812,Carangidae,Pseudocaranx,sp,1,234.135,37337924,ARSO02_L.avi,83083,55.3887,1.358,0.913,1837.448,8.61,NA,AD,Attracted
ARSO02_1812,Carangidae,Trachurus,novaezelandiae,1,234.185,37337003,ARSO02_L.avi,83083,55.3887,2.167,1.475,1515.423,0.801,NA,AD,Attracted
ARSO03_1812,Pomacentridae,Parma,victoriae,1,187.665,37372006,ARSO03_L.avi,17670,11.78,3.316,3.043,2238.468,20.592,NA,AD,Attracted
ARSO03_1812,Dasyatidae,Dasyatis,brevicaudata,1,1227.005,37035001,ARSO03_L.avi,59140,39.4267,16.867,13.798,4244.218,8.728,NA,AD,Passing
ARSO03_1812,Carangidae,Pseudocaranx,sp,1,120.751,37337924,ARSO03_L.avi,59221,39.4807,2.087,2.318,1823.482,5.696,NA,AD,Attracted
ARSO03_1812,Sparidae,Pagrus,auratus,1,221.651,37353001,ARSO03_L.avi,93844,62.5627,8.198,2.716,2819.422,16.725,NA,AD,Attracted
ARSO04_1812,Carangidae,Trachurus,novaezelandiae,1,149.249,37337003,ARSO04_L.avi,16577,11.0513,2.575,0.643,1856.125,20.985,NA,AD,Attracted
ARSO04_1812,Carangidae,Trachurus,novaezelandiae,1,154.717,37337003,ARSO04_L.avi,16577,11.0513,1.155,3.589,1699.66,16.165,NA,AD,Attracted
ARSO04_1812,Carangidae,Trachurus,novaezelandiae,1,170.822,37337003,ARSO04_L.avi,16601,11.0673,1.725,3.857,1749.483,22.85,NA,AD,Attracted
ARSO04_1812,Gerreidae,Parequula,melbournensis,1,91.56,37349001,ARSO04_L.avi,19247,12.8313,2.026,4.319,1762.125,14.154,NA,AD,Attracted
ARSO04_1812,Sparidae,Pagrus,auratus,1,815.322,37353001,ARSO04_L.avi,44949,29.966,5.115,8.008,2110.636,14.579,NA,AD,Attracted
ARSO04_1812,Sparidae,Pagrus,auratus,1,694.335,37353001,ARSO04_L.avi,45090,30.06,0.873,1.231,1131.793,3.343,NA,AD,Attracted
