Camera Details

Generated: Thursday 26 September 2024 13:21:00

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
APO_012	Scott Gray	64	No lights	-38.94150569	143.508107	11/05/2023	13:48	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93916	0.002850	0.002850	-301.639	0.000	0.000	0.215	-4.976	2.104
APO_012	Scott Gray	64	No lights	-38.94150569	143.508107	11/05/2023	13:48	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95121	0.002850	0.002850	301.639	0.000	0.000	-0.215	5.159	0.157
APO_013	Scott Gray	72	Lights	-38.95304222	143.5166972	11/05/2023	13:31	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93727	0.002850	0.002850	-301.619	0.000	0.000	0.385	-5.215	0.795
APO_013	Scott Gray	72	Lights	-38.95304222	143.5166972	11/05/2023	13:31	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93816	0.002850	0.002850	301.619	0.000	0.000	-0.385	5.330	0.647
APO_014	Scott Gray	62	Lights	-38.9446462	143.5145632	11/05/2023	14:01	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93736	0.002850	0.002850	-301.565	0.000	0.000	-0.674	-5.923	-0.426
APO_014	Scott Gray	62	Lights	-38.9446462	143.5145632	11/05/2023	14:01	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93607	0.002850	0.002850	301.565	0.000	0.000	0.674	4.047	-0.872
APO_015	Scott Gray	67	Lights	-38.95322675	143.5110588	11/05/2023	13:34	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93692	0.002850	0.002850	-300.978	0.000	0.000	0.194	-5.275	-1.148
APO_015	Scott Gray	67	Lights	-38.95322675	143.5110588	11/05/2023	13:34	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94122	0.002850	0.002850	300.978	0.000	0.000	-0.194	4.887	0.355
APO_016	Scott Gray	62	Lights	-38.94471013	143.5032129	11/05/2023	13:41	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93940	0.002850	0.002850	-301.809	0.000	0.000	0.111	-5.248	2.115
APO_016	Scott Gray	62	Lights	-38.94471013	143.5032129	11/05/2023	13:41	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94102	0.002850	0.002850	301.809	0.000	0.000	-0.111	4.371	1.100
APO_017	Scott Gray	73	Lights	-38.94677217	143.5224181	11/05/2023	14:05	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92509	0.002850	0.002850	-301.826	0.000	0.000	-0.285	-4.864	1.679
APO_017	Scott Gray	73	Lights	-38.94677217	143.5224181	11/05/2023	14:05	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94302	0.002850	0.002850	301.826	0.000	0.000	0.285	4.400	1.041
APO_018	Scott Gray	66	Lights	-38.95379492	143.5065876	11/05/2023	13:37	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95042	0.002850	0.002850	-302.045	0.000	0.000	-0.280	-5.325	-0.929
APO_018	Scott Gray	66	Lights	-38.95379492	143.5065876	11/05/2023	13:37	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92987	0.002850	0.002850	302.045	0.000	0.000	0.280	3.892	1.007
APO_019	Scott Gray	58	Lights	-38.9383985	143.5047276	11/05/2023	13:44	Inside MPA	Apollo Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93063	0.002850	0.002850	-301.288	0.000	0.000	0.036	-5.372	0.297
APO_019	Scott Gray	58	Lights	-38.9383985	143.5047276	11/05/2023	13:44	Inside MPA	Apollo Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93243	0.002850	0.002850	301.288	0.000	0.000	-0.036	4.491	1.443
APO_020	Sasha Whitmarsh	64	Lights	-38.94549409	143.5328064	14/05/2023	10:03	No-take	Apollo MP	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93736	0.002850	0.002850	-301.565	0.000	0.000	-0.674	-5.923	-0.426
APO_020	Sasha Whitmarsh	64	Lights	-38.94549409	143.5328064	14/05/2023	10:03	No-take	Apollo MP	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93607	0.002850	0.002850	301.565	0.000	0.000	0.674	4.047	-0.872
