Sample,Latitude,Longitude,Date,Location,Status,Site,Depth,Observer,Observer.count,Observer.length,Successful.count,Successful.length,ReportID,Year,Comments,Date1,Time
APO_025,-38.92454577,143.5452176,20230513,Apollo CMR,Fished,Apollo CMR,74,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_025,2023,NA,13/05/2023,11:28:00
APO_026,-38.91778033,143.5295293,20230513,Apollo CMR,Fished,Apollo CMR,60,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_026,2023,NA,13/05/2023,11:22:00
APO_027,-38.93021295,143.5353694,20230513,Apollo CMR,Fished,Apollo CMR,72,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_027,2023,Lights,13/05/2023,13:21:00
APO_028,-38.92123832,143.5380808,20230513,Apollo CMR,Fished,Apollo CMR,69,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_028,2023,NA,13/05/2023,11:16:00
APO_029,-38.92400328,143.5356899,20230513,Apollo CMR,Fished,Apollo CMR,68,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_029,2023,NA,13/05/2023,11:14:00
APO_030,-38.92874003,143.548942,20230513,Apollo CMR,Fished,Apollo CMR,74,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_030,2023,"Pointing up, Lights",13/05/2023,11:31:00
APO_031,-38.9428436,143.5650766,20230512,Apollo CMR,Fished,Apollo CMR,72,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_031,2023,NA,12/05/2023,13:11:00
APO_032,-38.94103251,143.552435,20230512,Apollo CMR,Fished,Apollo CMR,74,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_032,2023,NA,12/05/2023,14:30:00
APO_033,-38.94616391,143.5558281,20230512,Apollo CMR,Fished,Apollo CMR,75,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_033,2023,NA,12/05/2023,14:28:00
APO_034,-38.94422792,143.5684953,20230512,Apollo CMR,Fished,Apollo CMR,72,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_034,2023,Reshoot at 7mins,12/05/2023,13:19:00
APO_035,-38.95177587,143.5512001,20230513,Apollo CMR,Fished,Apollo CMR,77,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_035,2023,Lights,13/05/2023,13:36:00
APO_036,-38.95040076,143.5631108,20230513,Apollo CMR,Fished,Apollo CMR,72,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_036,2023,Lights,13/05/2023,13:42:00
APO_037,-38.94662769,143.5644767,20230512,Apollo CMR,Fished,Apollo CMR,71,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_037,2023,NA,12/05/2023,13:22:00
APO_038,-38.93762869,143.5698711,20230514,Apollo CMR,Fished,Apollo CMR,72,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_038,2023,Lights,14/05/2023,10:25:00
APO_039,-38.95153435,143.5582595,20230513,Apollo CMR,Fished,Apollo CMR,72,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_039,2023,Lights,13/05/2023,13:39:00
APO_040,-38.93777239,143.5650812,20230512,Apollo CMR,Fished,Apollo CMR,73,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_040,2023,NA,12/05/2023,13:08:00
APO_041,-38.92831938,143.6121707,20230512,Apollo CMR,Fished,Apollo CMR,73,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_041,2023,NA,12/05/2023,9:47:00
APO_042,-38.92655138,143.6211445,20230512,Apollo CMR,Fished,Apollo CMR,74,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_042,2023,NA,12/05/2023,9:23:00
APO_043,-38.92256159,143.6126475,20230512,Apollo CMR,Fished,Apollo CMR,74,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_043,2023,NA,12/05/2023,9:44:00
APO_044,-38.92342275,143.6242993,20230512,Apollo CMR,Fished,Apollo CMR,75,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_044,2023,NA,12/05/2023,9:26:00
APO_045,-38.91308211,143.6216389,20230512,Apollo CMR,Fished,Apollo CMR,73,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_045,2023,NA,12/05/2023,9:34:00
APO_046,-38.9159008,143.6161287,20230512,Apollo CMR,Fished,Apollo CMR,75,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_046,2023,NA,12/05/2023,9:38:00
