Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
DR_Butlers_01,-41.96421099,148.3396899,20151204,9:10:00,Butlers,Fished,1,51,Justin Hulls,Yes,Yes,NA
DR_Butlers_02,-41.9663604,148.3408771,20151203,9:35:00,Butlers,Fished,2,48,Justin Hulls,Yes,Yes,NA
DR_Butlers_03,-41.96652574,148.3388302,20151202,14:00:00,Butlers,Fished,3,44,Justin Hulls,Yes,Yes,NA
DR_Butlers_04,-41.96648441,148.3331807,20151202,16:17:00,Butlers,Fished,4,35,Justin Hulls,Yes,Yes,NA
DR_Butlers_05,-41.95240992,148.3216635,20151204,9:46:00,Butlers,Fished,5,30,Justin Hulls,Yes,Yes,NA
DR_Butlers_06,-41.97696277,148.31424,20151202,9:30:00,Butlers,Fished,6,27,Justin Hulls,Yes,Yes,NA
DR_Butlers_07,-41.97547472,148.3103099,20151202,9:47:00,Butlers,Fished,7,22,Justin Hulls,Yes,Yes,NA
DR_Butlers_08,-41.96448656,148.340611,20151203,11:03:00,Butlers,Fished,8,51,Justin Hulls,Yes,Yes,NA
DR_Butlers_09,-41.96371498,148.338994,20151203,10:25:00,Butlers,Fished,9,49,Justin Hulls,Yes,Yes,NA
DR_Butlers_10,-41.96360475,148.3366605,20151202,14:25:00,Butlers,Fished,10,42,Justin Hulls,Yes,Yes,NA
DR_Butlers_11,-41.9635083,148.3299057,20151203,10:40:00,Butlers,Fished,11,35,Justin Hulls,Yes,Yes,NA
DR_Butlers_12,-41.96524436,148.3238468,20151203,12:35:00,Butlers,Fished,12,30,Justin Hulls,Yes,Yes,NA
DR_Butlers_13,-41.96778645,148.3187705,20151204,7:55:00,Butlers,Fished,13,26,Justin Hulls,Yes,Yes,NA
DR_Butlers_14,-41.96133823,148.3199168,20151203,14:50:00,Butlers,Fished,14,23,Justin Hulls,Yes,Yes,NA
DR_Butlers_15,-41.96564393,148.3423304,20151202,15:55:00,Butlers,Fished,15,54,Justin Hulls,Yes,Yes,NA
DR_Butlers_16,-41.96316385,148.3367628,20151203,10:15:00,Butlers,Fished,16,45,Justin Hulls,Yes,Yes,NA
DR_Butlers_17,-41.96220396,148.3335287,20160511,10:33:00,Butlers,Fished,17,41,Justin Hulls,Yes,Yes,NA
DR_Butlers_18,-41.96268161,148.3315432,20151202,14:40:00,Butlers,Fished,18,40,Justin Hulls,Yes,Yes,NA
DR_Butlers_19,-41.96871649,148.3253206,20151203,14:35:00,Butlers,Fished,19,33,Justin Hulls,Yes,Yes,NA
