opcode,latitude_dd,longitude_dd,date_time_raw,date_raw,time_raw,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_relief_forward,successful_habitat_backward,successful_relief_backward,observer_habitat_forward,observer_habitat_backward,System_number,left_camera,right_camera,rear_camera,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
INV-BV-51,-33.92622075,120.9988784,2022-11-04 02:15:43,2022-11-04,02:15:43,2022-11-04T02:15:43Z,Investigator Island,Eastern Recherche,No-take,44.2,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,40,39,25,BU1,09/01/2024,Alex McLennan,17/01/2024,Unknown sp1. Showed camera L39 R40. Metadata says L40 R39. Cals only work L39 R40. is this a typo in the metadata?
INV-BV-53,-33.99632242,120.9440016,2022-11-03 06:23:39,2022-11-03,06:23:39,2022-11-03T06:23:39Z,Investigator Island,Eastern Recherche,No-take,51.7,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,1,27,28,19,BU1,1/12/2023,Alex McLennan,15/01/2024,
INV-BV-55,-33.94625,120.95375,2022-11-04 01:49:02,2022-11-04,01:49:02,2022-11-04T01:49:02Z,Investigator Island,Eastern Recherche,No-take,41,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,BU1,11/12/2023,Alex McLennan,17/01/2024,~21min onwards there is good close up footage for the C.rasor we are unsure about
INV-BV-57,-33.95625,121.02375,2022-11-04 04:29:20,2022-11-04,04:29:20,2022-11-04T04:29:20Z,Investigator Island,Eastern Recherche,No-take,60.2,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,40,39,25,BU1,20/11/2023,Daniel Agnello,09/01/2024,
INV-BV-58,-34.04880504,120.9512688,2022-11-03 01:07:51,2022-11-03,01:07:51,2022-11-03T01:07:51Z,Investigator Island,Eastern Recherche,No-take,60.3,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,5,35,36,23,BU1,20/11/2023,Alex McLennan,15/01/2024,Showed camera INV-BV-62 but camera numbers match. Use pre Cal
INV-BV-60,-34.00636381,120.9662883,2022-11-03 04:00:57,2022-11-03,04:00:57,2022-11-03T04:00:57Z,Investigator Island,Eastern Recherche,No-take,59.1,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,7,39,40,25,BU1,30/11/2023,Alex McLennan,15/01/2024,
INV-BV-62,-34.05634538,120.9663105,2022-11-03 01:01:54,2022-11-03,01:01:54,2022-11-03T01:01:54Z,Investigator Island,Eastern Recherche,No-take,66.4,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,4,33,34,22,BU1,20/11/2023,Alex McLennan,10/01/2024,"2 cuttlefish aggressively defending bait bag (changing colour, hyponotising, making itself bigger) videos in cool clips"
INV-BV-66,-33.92904866,120.9838657,2022-11-04 02:08:59,2022-11-04,02:08:59,2022-11-04T02:08:59Z,Investigator Island,Eastern Recherche,No-take,36.8,Yes,No,Ryan Simms,,Yes,Yes,Yes,Yes,Yes,Yes,Brooke Gibbons,Molly Gerrans,6,37,38,24,BU1,6/11/2024,Alex McLennan,,Left side only - no right film
INV-BV-69,-33.95376898,121.0163822,2022-11-04 04:34:18,2022-11-04,04:34:18,2022-11-04T04:34:18Z,Investigator Island,Eastern Recherche,No-take,57.4,Yes,Yes,Alex McLennan,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,8,42,41,26,BU1,20/11/2023,Daniel Agnello,09/01/2024,"change naming convention and take photos for guideLots of close ups of mystery Labridae sp2, also another unidentified fish as seen in INV-BV-51"
INV-BV-70,-34.06644167,120.9385767,2022-11-03 00:45:23,2022-11-03,00:45:23,2022-11-03T00:45:23Z,Investigator Island,Eastern Recherche,No-take,64.4,Yes,Yes,Daniel Agnello,Daniel Agnello,Yes,Yes,Yes,Yes,Yes,Yes,Henry Evans,Molly Gerrans,2,29,30,20,BU1,17/11/2023,Alex McLennan,10/01/2024,
