Dot Point Measurements

Generated: Monday 26 May 2025 14:23:34

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers			Radius %
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		941	1342											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	Low / moderate	Moderate (1-3m)	2					64.2
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		139	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													100.0
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		406	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1													89.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		674	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	Low / moderate	Moderate (1-3m)	2					89.9
INV-BV-03_1_01_Left_MAH00267.MP4_0041402.jpg	      0		941	1724											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-03	1					Relief	Low / moderate	Moderate (1-3m)	2					100.0
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		139	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1													100.0
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		406	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1													89.9
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		674	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1													89.9
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		941	196											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1					Relief	Low / moderate	Low (<1m)	1					100.0
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		139	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1													64.2
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		406	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1													46.9
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		674	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1													46.9
INV-BV-05_1_01_Left_MAH01267.MP4_0041516.jpg	      0		941	578											2022-11_Investigator_stereo-BRUVs	Yes	INV-BV-05	1					Relief	Low / moderate	Low (<1m)	1					64.2
