OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
S101_D1	0	0	0.00000	0	S101_D1_L1.1.MP4	63212	29.97003
S101_D1	0	0	0.00000	0	S101_D1_L1.2.MP4	10967	29.97003
S101_D1	1	0	0.00000	0	S101_D1_R1.1.MP4	63212	29.97003
S101_D1	1	0	0.00000	0	S101_D1_R1.2.MP4	11537	29.97003
S101_D2	0	0	0.00000	0	S101_D2_L2.1.MP4	63212	29.97003
S101_D2	0	0	0.00000	0	S101_D2_L2.2.MP4	15737	29.97003
S101_D2	1	0	0.00000	0	S101_D2_R2.1.MP4	63212	29.97003
S101_D2	1	0	0.00000	0	S101_D2_R2.2.MP4	13457	29.97003
S101_D3	0	0	0.00000	0	S101_D3_L3.1.MP4	63212	29.97003
S101_D3	0	0	0.00000	0	S101_D3_L3.2.MP4	19877	29.97003
S101_D3	1	0	0.00000	0	S101_D3_R3.1.MP4	63212	29.97003
S101_D3	1	0	0.00000	0	S101_D3_R3.2.MP4	17417	29.97003
S101_D4	0	0	0.00000	0	S101_D4_L4.1.MP4	63212	29.97003
S101_D4	0	0	0.00000	0	S101_D4_L4.2.MP4	20372	29.97003
S101_D4	1	0	0.00000	0	S101_D4_R4.1.MP4	63212	29.97003
S101_D4	1	0	0.00000	0	S101_D4_R4.2.MP4	18917	29.97003
S102_D1	0	0	0.00000	0	S102_D1_L1.1.MP4	63212	29.97003
S102_D1	0	0	0.00000	0	S102_D1_L1.2.MP4	13547	29.97003
S102_D1	1	0	0.00000	0	S102_D1_R1.1.MP4	63212	29.97003
S102_D1	1	0	0.00000	0	S102_D1_R1.2.MP4	13187	29.97003
S102_D4	0	0	0.00000	0	S102_D4_L4.1.MP4	63212	29.97003
S102_D4	0	0	0.00000	0	S102_D4_L4.2.MP4	12392	29.97003
S102_D4	1	0	0.00000	0	S102_D4_R4.1.MP4	63212	29.97003
S102_D4	1	0	0.00000	0	S102_D4_R4.2.MP4	11912	29.97003
S103_D1	0	0	0.00000	0	S103_D1_L1.1.MP4	63212	29.97003
S103_D1	0	0	0.00000	0	S103_D1_L1.2.MP4	20132	29.97003
S103_D1	1	0	0.00000	0	S103_D1_R1.1.MP4	63212	29.97003
S103_D1	1	0	0.00000	0	S103_D1_R1.2.MP4	19802	29.97003
S103_D2	0	0	0.00000	0	S103_D2_L2.1.MP4	63212	29.97003
S103_D2	0	0	0.00000	0	S103_D2_L2.2.MP4	24707	29.97003
S103_D2	1	0	0.00000	0	S103_D2_R2.1.MP4	63212	29.97003
S103_D2	1	0	0.00000	0	S103_D2_R2.2.MP4	24812	29.97003
S103_D3	0	0	0.00000	0	S103_D3_L3.1.MP4	63212	29.97003
S103_D3	0	0	0.00000	0	S103_D3_L3.2.MP4	9137	29.97003
S103_D3	1	0	0.00000	0	S103_D3_R3.1.MP4	63212	29.97003
S103_D3	1	0	0.00000	0	S103_D3_R3.2.MP4	9752	29.97003
S103_D4	0	0	0.00000	0	S103_D4_L4.1.MP4	63212	29.97003
S103_D4	0	0	0.00000	0	S103_D4_L4.2.MP4	11357	29.97003
S103_D4	1	0	0.00000	0	S103_D4_R4.1.MP4	63212	29.97003
S103_D4	1	0	0.00000	0	S103_D4_R4.2.MP4	10142	29.97003
S104_D1	0	0	0.00000	0	S104_D1_L1.1.MP4	63212	29.97003
S104_D1	0	0	0.00000	0	S104_D1_L1.2.MP4	20567	29.97003
