Campaign.ID,Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Max.distance,Observer.count,Observer.length,Zone,Observer
2022_JBMP_StereoBRUVs,S10_D1,-35.0828,150.8209,20220526,11:37:00,10,Point.Perpendicular.North,No-take,21,Yes,Yes,,Josh Moloney,Josh Moloney,SZ,Josh Moloney
2022_JBMP_StereoBRUVs,S10_D2,-35.08,150.8237,20220526,11:24:00,10,Point.Perpendicular.North,No-take,21.5,Yes,Yes,3054.064,Josh Moloney,Jason Delamont,SZ,Josh Moloney
2022_JBMP_StereoBRUVs,S10_D3,-35.079,150.8257,20220526,11:12:00,10,Point.Perpendicular.North,No-take,24.9,Yes,Yes,,Josh Moloney,Josh Moloney,SZ,Josh Moloney
2022_JBMP_StereoBRUVs,S10_D4,-35.0817,150.8222,20220526,11:31:00,10,Point.Perpendicular.North,No-take,22,Yes,Yes,,Josh Moloney,Josh Moloney,SZ,Josh Moloney
2022_JBMP_StereoBRUVs,S101_D1,-34.76851,150.83531,20220623,12:20:00,101,Black.Head.North,Fished,19.2,Yes,Yes,4605.224,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S101_D2,-34.77321,150.83536,20220623,12:27:00,101,Black.Head.North,Fished,21.4,Yes,Yes,4548.3,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S101_D3,-34.77467,150.83759,20220623,12:34:00,101,Black.Head.North,Fished,24.1,Yes,Yes,2960.058,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S101_D4,-34.77635,150.84115,20220623,12:40:00,101,Black.Head.North,Fished,28.6,Yes,Yes,3677.484,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S102_D1,-34.7879,150.82516,20220623,11:09:00,102,Black.Head.North,Fished,23.8,Yes,Yes,2478.366,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S102_D2,-34.78885,150.82038,20220623,11:17:00,102,Black.Head.North,Fished,20.6,No,No,,,,OUTSIDE,
2022_JBMP_StereoBRUVs,S102_D3,-34.79444,150.81995,20220623,11:24:00,102,Black.Head.North,Fished,23.5,No,No,,,,OUTSIDE,
2022_JBMP_StereoBRUVs,S102_D4,-34.79458,150.81662,20220623,11:29:00,102,Black.Head.North,Fished,22.8,Yes,Yes,2738.337,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S103_D1,-34.69792,150.86151,20220623,9:39:00,103,Loves.Bay.Kiama,Fished,18.4,Yes,Yes,4927.571,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S103_D2,-34.7008,150.86016,20220623,9:57:00,103,Loves.Bay.Kiama,Fished,21,Yes,Yes,,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S103_D3,-34.70477,150.85994,20220623,10:02:00,103,Loves.Bay.Kiama,Fished,23.1,Yes,Yes,4942.001,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S103_D4,-34.70676,150.8627,20220623,10:08:00,103,Loves.Bay.Kiama,Fished,26.3,Yes,Yes,5399.085,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S104_D1,-34.71229,150.85576,20220623,13:59:00,104,Bare.Bluff.Kiama,Fished,21.7,Yes,Yes,5098.499,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S104_D2,-34.71448,150.8557,20220623,13:54:00,104,Bare.Bluff.Kiama,Fished,20.3,Yes,Yes,4864.221,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S104_D3,-34.71755,150.85475,20220623,13:48:00,104,Bare.Bluff.Kiama,Fished,21.6,Yes,Yes,3300.489,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
2022_JBMP_StereoBRUVs,S104_D4,-34.72095,150.8568,20220623,13:42:00,104,Bare.Bluff.Kiama,Fished,28,Yes,Yes,2886.341,Jason Delamont,Jason Delamont,OUTSIDE,Jason Delamont
