OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
S20_D3_Repeat	11	S20_D3_Repeat_L3.1.MP4	21996	S20_D3_Repeat_R3.1.MP4	24723	12.23222	Timeseabed	9.28094	-913.38498	-303.4858	-4759.08094	6.4903	3.01489	32.96518	0.31238	4855.43275	11.50296	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S21_D1	5	S21_D1_L1.1.MP4	35426	S21_D1_R1.1.MP4	35289	19.70079	Timeseabed	17.41406	-74.47338	-479.79895	-4208.85776	2.07831	3.27743	25.79837	0.08686	4236.772	7.36296	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S21_D2	1	S21_D2_L2.1.MP4	57799	S21_D2_R2.1.MP4	57634	32.14267	Timeseabed	30.04223	1130.03159	-72.69962	-4859.95706	8.04762	2.38761	34.42405	357.03056	4990.1342	13.18965	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S21_D3	1	S21_D3_L3.1.MP4	3344	S21_D3_R3.1.MP4	3748	1.85964	Timeseabed	0.0178	2743.57216	-771.95494	-7067.8196	27.04979	8.28816	71.58908	6.05419	7620.83831	21.99615	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S22_D1	44	S22_D1_L1.1.MP4	56947	S22_D1_R1.1.MP4	57503	31.66886	Timeseabed	29.45999	1638.86967	-490.65784	-3882.85828	9.01633	3.2786	22.01777	0.04691	4243.02101	23.81019	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S22_D2	1	S22_D2_L2.1.MP4	5007	S22_D2_R2.1.MP4	5250	2.78445	Timeseabed	0.07174	1919.38618	-163.40253	-4974.18367	13.29048	2.5425	35.61427	1.83173	5334.1585	21.2135	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S22_D3	6	S22_D3_L3.1.MP4	6817	S22_D3_R3.1.MP4	6748	3.79101	Timeseabed	0.90312	614.7828	230.47304	-6450.91968	6.43546	4.15371	60.41145	0.93052	6484.24556	5.64813	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S23_D1	1	S23_D1_L1.1.MP4	18277	S23_D1_R1.1.MP4	18155	10.16404	Timeseabed	0.44823	2008.35535	-451.0678	-4626.11255	13.41737	3.56905	31.74565	0.90386	5063.3853	24.10717	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S23_D2	20	S23_D2_L2.1.MP4	36064	S23_D2_R2.1.MP4	36453	20.05559	Timeseabed	17.23333	2603.20834	-156.20853	-5426.94835	19.15369	2.71561	41.61964	2.66799	6021.03505	25.69781	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S23_D3	16	S23_D3_L3.1.MP4	56114	S23_D3_R3.1.MP4	56147	31.20562	Timeseabed	28.05636	159.45924	116.13229	-4539.85293	2.41956	2.33679	30.12795	0.51363	4544.13672	2.42361	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S24_D1	14	S24_D1_L1.1.MP4	51504	S24_D1_R1.1.MP4	51449	28.64195	Timeseabed	27.64095	-1090.58253	-715.26245	-5407.84189	8.53985	6.00231	42.00597	0.69719	5562.88815	13.62843	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S24_D2	1	S24_D2_L1.1.MP4	5052	S24_D2_R2.1.MP4	5563	2.80947	Timeseabed	0.15849	-1500.75004	-535.8828	-4395.45946	9.15869	3.61983	27.53166	5.4046	4675.41281	20.20636	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S24_D3	32	S24_D3_L3.1.MP4	46510	S24_D3_R3.1.MP4	46548	25.86473	Timeseabed	23.25768	-966.68588	1732.04332	-6615.77611	9.38172	17.48843	62.43253	21.35651	6906.73216	15.96643	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S25_D1	31	S25_D1_L1.2.MP4	16315	S25_D1_R1.2.MP4	17178	44.22585	Timeseabed	30.53606	-511.75714	-351.84652	-5305.88227	4.57757	3.60559	40.96458	5.59393	5342.10426	6.80006	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S25_D2	27	S25_D2_L2.1.MP4	62682	S25_D2_R2.1.MP4	62914	34.85816	Timeseabed	30.24077	-63.11073	-446.34894	-8639.90139	4.19021	6.3658	107.09179	6.13761	8651.65339	3.37112	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S25_D3	17	S25_D3_L3.1.MP4	37393	S25_S3_R3.1.MP4	37233	20.79466	Timeseabed	17.99909	-412.83145	-711.58087	-5321.38901	3.96702	5.68431	40.81905	5.77292	5384.60381	9.20791	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S26_D1	25	S26_D1_L1.1.MP4	58062	S26_D1_R1.1.MP4	58707	32.28892	Timeseabed	29.91044	2741.36813	-258.19549	-5839.65215	21.88056	3.18503	48.34577	6.64213	6456.26063	25.32828	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S26_D2	11	S26_D2_L2.1.MP4	45741	S26_D2_R2.1.MP4	46690	25.43708	Timeseabed	23.06193	497.29216	-512.70273	-5007.52202	4.24193	3.97596	36.42556	0.20666	5058.20525	8.79781	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S26_D3	24	S26_D3_L3.1.MP4	59902	S26_D3_R3.1.MP4	59316	33.31217	Timeseabed	30.15902	86.17427	-973.49434	-4353.0027	2.1571	6.37586	27.50734	0.38007	4461.36187	12.77891	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S27_D1	4	S27_D1_L1.1.MP4	24294	S27_D1_R1.1.MP4	24219	13.51016	First Appearance	12.34344	390.7877	-506.2739	-5180.30461	3.75659	4.32283	38.90039	2.60998	5219.63449	7.32584	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S27_D2	13	S27_D2_L2.1.MP4	57905	S27_D2_R2.1.MP4	57973	32.20161	Timeseabed	29.42773	-494.87868	808.8934	-7831.06127	6.55748	10.55917	87.85588	4.06665	7888.2656	6.4610900000000004	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S27_D3	11	S27_D3_L3.1.MP4	55417	S27_D3_R3.1.MP4	59298	30.81801	Timeseabed	28.45732	-1701.5845	-49.19684	-6354.97947	15.44285	3.0585	58.32458	11.8852	6579.02532	15.00338	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S2_D1	10	S2_D1_L1.2.MP4	835	S2_D1_R1.2.MP4	269	35.61725	Timeseabed	28.11253	319.05867	311.14139	-4501.93026	2.95946	3.3186	29.43819	12.07593	4523.93451	5.07697	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S2_D2	2	S2_D2_L2.1.MP4	6753	S2_D2_R2.1.MP4	7537	3.75542	Timeseabed	0.37204	973.84326	-234.31623	-5328.04316	7.6931	2.8974	41.22367	3.30576	5421.37609	10.85392	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S30_D1	28	S30_D1_L1.1.MP4	55101	S30_D1_R1.1.MP4	54409	30.64228	Timeseabed	28.46065	-1066.28419	-170.52088	-6541.03188	10.28676	3.47309	61.90864	4.28894	6629.5654	9.39258	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S31_D1	7	S31_D1_L1.1.MP4	27175	S31_D1_R1.1.MP4	27218	15.11232	Timeseabed	13.31775	339.62655	-264.8754	-4350.34983	2.95218	2.5545	27.58322	1.23042	4371.61855	5.94975	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S31_D3	31	S31_D3_L3.1.MP4	34685	S31_D3_R3.1.MP4	34463	19.28871	Timeseabed	14.79756	1340.54734	1740.88841	-5642.3109	10.82726	14.8799	45.61768	4.33842	6055.0336	20.65577	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S32_D1	8	S32_D1_L1.1.MP4	34506	S32_D1_R1.1.MP4	35623	19.18917	Timeseabed	13.95728	28.43424	414.49914	-5712.05851	2.74788	4.59899	47.06786	2.89354	5727.14854	3.80164	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S32_D3	14	S32_D3_L3.1.MP4	31816	S32_D3_R3.1.MP4	29835	17.69323	Timeseabed	14.43942	-651.98328	-22.71844	-8675.90269	8.99097	4.16554	108.72556	2.16552	8700.39573	4.3056	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S33_D1	5	S33_D1_L1.1.MP4	5026	S33_D1_R1.1.MP4	5078	2.79501	Timeseabed	0.75131	1021.60915	-445.20335	-5110.80934	7.70984	3.72752	38.06946	3.48957	5230.89508	12.63703	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S33_D2	2	S33_D2_L2.1.MP4	5900	S33_D2_R3.1.MP4	5897	3.28106	Timeseabed	0.38316	800.90494	-1102.30544	-6225.90548	7.61901	9.48384	56.23413	13.65401	6373.25859	13.09608	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
