Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
142,-43.7139,146.298,20150430,11:06:00,NA,No-take,142,102.572998,Lainey,Yes,Yes,NA
143,-43.7182,146.2914,20150430,10:50:00,NA,No-take,143,116.967003,Lainey,Yes,Yes,NA
144,-43.7157,146.2991,20150430,9:55:00,NA,No-take,144,118.560997,Lainey,Yes,Yes,NA
145,-43.7128,146.3021,20150430,9:49:00,NA,No-take,145,114.505997,Lainey,Yes,Yes,NA
146,-43.7188,146.2895,20150430,11:35:00,NA,No-take,146,121.218002,Lainey,Yes,Yes,NA
147,-43.7188,146.2947,20150430,10:45:00,NA,No-take,147,116.949997,Lainey,Yes,Yes,NA
148,-43.7214,146.2921,20150430,11:30:00,NA,No-take,148,116.646004,Lainey,Yes,Yes,NA
149,-43.7144,146.2926,20150430,10:10:00,NA,No-take,149,96.730003,Lainey,Yes,Yes,NA
160,-43.7251,146.273,20150429,16:05:00,NA,No-take,160,125.379997,Jac,Yes,Yes,NA
161,-43.7268,146.2759,20150429,16:08:00,NA,No-take,161,124.175003,Jac,Yes,Yes,NA
162,-43.7233,146.2683,20150429,15:01:00,NA,No-take,162,123.567001,Jac,Yes,Yes,NA
163,-43.7204,146.2747,20150429,14:46:00,NA,No-take,163,119.376999,Jac,Yes,Yes,NA
164,-43.7265,146.2689,20150429,15:07:00,NA,No-take,164,119.554001,Jac,Yes,Yes,NA
165,-43.7161,146.2768,20150429,14:39:00,NA,No-take,165,111.944,Jac,Yes,Yes,NA
166,-43.7195,146.2709,20150429,14:53:00,NA,No-take,166,111.744003,Jac,Yes,Yes,NA
178,-43.7114,146.2265,20150501,13:56:00,NA,Fished,178,87.583,Lainey,Yes,Yes,NA
179,-43.7041,146.2367,20150501,14:28:00,NA,Fished,179,83.226997,Lainey,Yes,Yes,NA
180,-43.7148,146.1931,20150501,12:34:00,NA,Fished,180,68.759003,Lainey,Yes,Yes,NA
181,-43.7067,146.2235,20150501,14:05:00,NA,Fished,181,62.575001,Lainey,Yes,Yes,NA
182,-43.7122,146.2318,20150501,14:00:00,NA,Fished,182,89.433998,Lainey,Yes,Yes,NA
183,-43.7176,146.2075,20150501,12:25:00,NA,Fished,183,86.473999,Lainey,Yes,Yes,NA
184,-43.714,146.2136,20150501,12:44:00,NA,Fished,184,76.323998,Lainey,Yes,Yes,NA
185,-43.705,146.241,20150501,14:32:00,NA,Fished,185,93.763,Lainey,Yes,Yes,NA
186,-43.7127,146.2045,20150501,12:39:00,NA,Fished,186,68.160004,Lainey,Yes,Yes,NA
187,-43.7073,146.2172,20150501,12:50:00,NA,Fished,187,59.596001,Lainey,Yes,Yes,NA
X1,-43.6741,146.8594333,20150502,12:13:00,NA,Fished,X1,99.166,Lainey,Yes,Yes,NA
X2,-43.6761,146.86535,20150502,12:18:00,NA,Fished,X2,99.581001,Lainey,Yes,Yes,NA
