Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	136	193	2015-05-01		180										Open Water			Facing Up					100
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	405	193	2015-05-01		180										Open Water			Facing Up					89.8
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	675	193	2015-05-01		180										Open Water			Facing Up					89.8
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	944	193	2015-05-01		180										Open Water			Facing Up					100
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	136	576	2015-05-01		180										Open Water			Facing Up					64.3
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	405	576	2015-05-01		180										Open Water			Facing Up					46.9
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	675	576	2015-05-01		180										Open Water			Facing Up					46.9
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	944	576	2015-05-01		180										Open Water			Facing Up					64.3
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	136	960	2015-05-01		180										Open Water			Facing Up					46.6
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	405	960	2015-05-01		180										Open Water			Facing Up					15.5
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	675	960	2015-05-01		180										Open Water			Facing Up					15.5
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	944	960	2015-05-01		180										Open Water			Facing Up					46.6
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	136	1344	2015-05-01		180										Open Water			Facing Up					64.3
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	405	1344	2015-05-01		180										Open Water			Facing Up					46.9
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	675	1344	2015-05-01		180										Open Water			Facing Up					46.9
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	944	1344	2015-05-01		180										Open Water			Facing Up					64.3
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	136	1727	2015-05-01		180										Open Water			Facing Up					100
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	405	1727	2015-05-01		180										Open Water			Facing Up					89.8
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	675	1727	2015-05-01		180										Open Water			Facing Up					89.8
TasFracture_20150501_282_283_282_180.avi	10019	224.6693	944	1727	2015-05-01		180										Open Water			Facing Up					100
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	136	193	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				100
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	405	193	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				89.8
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	675	193	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				89.8
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	944	193	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				100
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	136	576	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				64.3
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	405	576	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.9
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	675	576	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.9
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	944	576	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				64.3
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	136	960	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.6
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	405	960	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				15.5
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	675	960	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				15.5
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	944	960	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.6
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	136	1344	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				64.3
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	405	1344	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.9
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	675	1344	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				46.9
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	944	1344	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				64.3
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	136	1727	2015-05-01		182										Invertebrate Complex	Complex 2		Facing Down	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				100
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	405	1727	2015-05-01		182										Invertebrate Complex	Complex 2		Facing Down	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				89.8
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	675	1727	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				89.8
TasFracture_20150501_282_283_282_182.avi	14161	300.0067	944	1727	2015-05-01		182										Invertebrate Complex	Complex 2		Limited	"4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope"				100
TasFracture_20150501_282_283_282_69.avi	11478	7.652	136	193	2015-05-01		69										Open Water			Open					100
TasFracture_20150501_282_283_282_69.avi	11478	7.652	405	193	2015-05-01		69										Open Water			Open					89.8
TasFracture_20150501_282_283_282_69.avi	11478	7.652	675	193	2015-05-01		69										Invertebrate Complex	Complex 2		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope				89.8
TasFracture_20150501_282_283_282_69.avi	11478	7.652	944	193	2015-05-01		69										Unconsolidated	Sand / mud (coarse sand)		Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			100
TasFracture_20150501_282_283_282_69.avi	11478	7.652	136	576	2015-05-01		69										Open Water			Open					64.3
TasFracture_20150501_282_283_282_69.avi	11478	7.652	405	576	2015-05-01		69										Open Water			Open					46.9
