Sample,date_time,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Observer,observer.count,observer.length,Successful.count,Successful.length,Habitat.image.forward,highlight.videos,fish.images,representative.videos,Analysis.notes,Area
3_3,2021-09-05 09:38:00,20210905,9:38:00,,105,Freycinet AMP,3,IV,-42.20188046,148.4924762,0.0128306,Ashlee B,Ashlee B,Ashlee B,Yes,No,Yes,No,Yes,Yes,left cam only,IUCN IV Shelf
3_4,2021-09-05 09:18:00,20210905,9:18:00,,97,Freycinet AMP,3,IV,-42.19909684,148.4849012,0.0128306,Ashlee B,Ashlee B,Ashlee B,Yes,Yes,Yes,No,Yes,Yes,nadda,IUCN IV Shelf
3_5,2021-09-05 09:34:00,20210905,9:34:00,,102,Freycinet AMP,3,IV,-42.20388008,148.4910697,0.0128306,Ashlee B,Ashlee B,Ashlee B,Yes,No,Yes,No,Yes,Yes,right camera only,IUCN IV Shelf
3_6,2021-09-05 09:27:00,20210905,9:27:00,,99,Freycinet AMP,3,IV,-42.20198076,148.4869643,0.0128306,Ashlee B,Ashlee B,Ashlee B,Yes,Yes,Yes,No,Yes,Yes,n.a,IUCN IV Shelf
4_1,2021-09-08 15:54:00,20210908,15:54:00,,96,Freycinet North,4,Fished,-41.72818383,148.4992272,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"Catsharkk, megalops",North Reference
4_2,2021-09-08 15:41:00,20210908,15:41:00,,92,Freycinet North,4,Fished,-41.72615644,148.4929544,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"gummy shark, neosebastidae",North Reference
4_3,2021-09-08 15:50:00,20210908,15:50:00,,96,Freycinet North,4,Fished,-41.73112043,148.4990813,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"seal. gurnard mulhalli, gummy shark(cool video gurnard seal )",North Reference
4_4,2021-09-08 15:44:00,20210908,15:44:00,,90,Freycinet North,4,Fished,-41.72815606,148.491558,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,No,Yes,Yes,"megalops, neosebastidae",North Reference
4_5,2021-09-08 15:37:00,20210908,15:37:00,,94,Freycinet North,4,Fished,-41.7251966,148.4975008,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"catshark, dogfishes, Gurnard Polyommata",North Reference
4_6,2021-09-08 15:47:00,20210908,15:47:00,,92,Freycinet North,4,Fished,-41.73009946,148.4944886,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,No,Yes,Yes,neosebastidaes,North Reference
5_1,2021-08-24 10:05:00,20210824,10:05:00,,113,Freycinet AMP,5,VI,-42.06305731,148.529588,0.000691922,NFH,NFH,NFH,Yes,No,Yes,Yes,Yes,Yes,"No right CAM, no measurements",IUCN VI Shelf
5_2,2021-08-24 10:23:00,20210824,10:23:00,,115,Freycinet AMP,5,VI,-42.05991549,148.5355553,0.000691922,NFH,NFH,NFH,Yes,No,Yes,No,Yes,Yes,"No left CAM, no measurements - ID many flathead sp",IUCN VI Shelf
5_3,2021-08-24 10:09:00,20210824,10:09:00,,114,Freycinet AMP,5,VI,-42.06499612,148.532777,0.000691922,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,unknown fish ID - long juvenile fish - multi pelagic,IUCN VI Shelf
5_4,2021-08-24 10:17:00,20210824,10:17:00,,115,Freycinet AMP,5,VI,-42.06185414,148.5387444,0.000691922,NFH,NFH,NFH,Yes,Yes,Yes,No,Yes,Yes,many flatheads,IUCN VI Shelf
5_5,2021-08-24 10:13:00,20210824,10:13:00,,116,Freycinet AMP,5,VI,-42.06516524,148.5374218,0.000691922,NFH,NFH,NFH,Yes,Yes,Yes,No ,Yes,Yes,school of mackerel or pilchards??,IUCN VI Shelf
5_6,2021-08-24 10:01:00,20210824,10:01:00,,115,Freycinet AMP,5,VI,-42.06106691,148.5302653,0.000691922,NFH,NFH,NFH,Yes,Yes,Yes,No,Yes,Yes,Draughtboard shark,IUCN VI Shelf
6_2,2021-08-28 08:07:00,20210828,8:07:00,,56,Freycinet North,6,Fished,-41.70036703,148.3950113,0.00160957,NFH,NFH,NFH,Yes,No,Yes,No,Yes,Yes,"No right CAM, no measurements - macropterus and scaber galore",North Reference
6_3,2021-08-28 08:00:00,20210828,8:00:00,,58,Freycinet North,6,Fished,-41.70075853,148.4008841,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"Smooth Stringray, School of mackerels",North Reference
6_5,2021-08-28 08:11:00,20210828,8:11:00,,56,Freycinet North,6,Fished,-41.70183398,148.3928798,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"Melbourne Skate, Dogfishes",North Reference
6_6,2021-08-28 08:03:00,20210828,8:03:00,,58,Freycinet North,6,Fished,-41.69887958,148.3988249,0.00160957,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,"Macropterus galore, trumpeter, scaber, butterfly perch",North Reference
7_1,2021-09-05 07:34:00,20210905,7:34:00,,99,Freycinet AMP,7,IV,-42.18870344,148.4667348,0.000885952,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,n.a,IUCN IV Shelf
7_2,2021-09-05 07:48:00,20210905,7:48:00,,99,Freycinet AMP,7,IV,-42.19269898,148.4641628,0.0128306,NFH,NFH,NFH,Yes,No,Yes,Yes,Yes,Yes,"No right CAM, no measurements - gummy shark, catshark, dogfishes",IUCN IV Shelf
7_3,2021-09-05 07:56:00,20210905,7:56:00,,101,Freycinet AMP,7,IV,-42.19499654,148.4700679,0.0128306,NFH,NFH,NFH,No,No,No,No,No,No,MISSING VIDEO,IUCN IV Shelf
7_4,2021-09-05 07:38:00,20210905,7:38:00,,99,Freycinet AMP,7,IV,-42.19141685,148.4658287,0.0128306,NFH,NFH,NFH,Yes,Yes,Yes,No,Yes,Yes,"toothbrush leatherjacket? catshark, laticeps, degens",IUCN IV Shelf
7_5,2021-09-05 07:52:00,20210905,7:52:00,,99,Freycinet AMP,7,IV,-42.19541092,148.4653979,0.0128306,NFH,NFH,NFH,Yes,Yes,Yes,No,Yes,Yes,Gummy shark,IUCN IV Shelf
7_6,2021-09-05 07:43:00,20210905,7:43:00,,98,Freycinet AMP,7,IV,-42.19301269,148.4678033,0.0128306,NFH,NFH,NFH,Yes,Yes,Yes,Yes,Yes,Yes,Octopus,IUCN IV Shelf
