Sample,Family,Genus,Species,Count,Code,Filename,Frame,Time (mins),TapeReader,Depth,Comment,Habitat,Soak Time,Bias,FOV,Vis,Has fed
PECO01_1811,Loliginidae,Sepioteuthis,australis,1,23617005,FICO01_L.avi,56758,37.8387,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Carangidae,Pseudocaranx,sp,21,37337924,FICO01_L.avi,33220,22.1467,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Gerreidae,Parequula,melbournensis,34,37349001,FICO01_L.avi,10380,6.92,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Labridae,Austrolabrus,maculatus,2,37384025,FICO01_L.avi,28502,19.0013,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Labridae,Notolabrus,parilus,2,37384022,FICO01_L.avi,38280,25.52,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Monacanthidae,Acanthaluteres,vittiger,4,37465002,FICO01_L.avi,19254,12.836,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,Yes
PECO01_1811,Monacanthidae,Scobinichthys,granulatus,1,37465007,FICO01_L.avi,25670,17.1133,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Mullidae,Upeneichthys,vlamingii,2,37355029,FICO01_L.avi,21747,14.498,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Myliobatidae,Myliobatis,tenuicaudatus,1,37039001,FICO01_L.avi,68231,45.4873,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Platycephalidae,Platycephalus,aurimaculatus,1,37296035,FICO01_L.avi,47666,31.7773,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Platycephalidae,Platycephalus,speculator,1,37296037,FICO01_L.avi,75639,50.426,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Serranidae,Caesioperca,rasor,3,37311003,FICO01_L.avi,41748,27.832,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Sillaginidae,Sillaginodes,punctatus,3,37330001,FICO01_L.avi,44750,29.8333,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO01_1811,Labridae,Dotalabrus,aurantiacus,1,37384018,FICO01_L.avi,17860,11.9067,DEaston,24.1,,Posidonia and algae; Medium,60,1,2,1,No
PECO02_1811,Loliginidae,Sepioteuthis,australis,3,23617005,FICO02_L.avi,23968,15.9787,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Sillaginidae,Sillaginodes,punctatus,3,37330001,FICO02_L.avi,18416,12.2773,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Serranidae,Caesioperca,rasor,10,37311003,FICO02_L.avi,24377,16.2513,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Labridae,Olisthops,cyanomelas,1,37385001,FICO02_L.avi,37680,25.12,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Myliobatidae,Myliobatis,tenuicaudatus,1,37039001,FICO02_L.avi,80916,53.944,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Monacanthidae,Scobinichthys,granulatus,1,37465007,FICO02_L.avi,23270,15.5133,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Monacanthidae,Meuschenia,galii,1,37465040,FICO02_L.avi,6894,4.596,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Monacanthidae,Meuschenia,flavolineata,2,37465035,FICO02_L.avi,26643,17.762,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Tetraodontidae,Omegophora,armilla,1,37467002,FICO02_L.avi,20447,13.6313,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Monacanthidae,Acanthaluteres,brownii,2,37465001,FICO02_L.avi,32464,21.6427,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Mullidae,Upeneichthys,vlamingii,1,37355029,FICO02_L.avi,5208,3.472,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Labridae,Pictilabrus,laticlavius,1,37384020,FICO02_L.avi,26199,17.466,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Labridae,Notolabrus,tetricus,3,37384003,FICO02_L.avi,78384,52.256,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,Yes
PECO02_1811,Labridae,Notolabrus,parilus,1,37384022,FICO02_L.avi,4923,3.282,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Labridae,Eupetrichthys,angustipes,1,37384105,FICO02_L.avi,6371,4.2473,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Labridae,Austrolabrus,maculatus,1,37384025,FICO02_L.avi,4104,2.736,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Gerreidae,Parequula,melbournensis,1,37349001,FICO02_L.avi,8169,5.446,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Cheilodactylidae,Cheilodactylus,nigripes,2,37377001,FICO02_L.avi,28034,18.6893,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Monacanthidae,Acanthaluteres,vittiger,1,37465002,FICO02_L.avi,28810,19.2067,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,No
PECO02_1811,Monacanthidae,Meuschenia,hippocrepis,4,37465004,FICO02_L.avi,78105,52.07,DEaston,18.7,,Reef; Mixed algal; Flat,60,1,2,1,Yes
PECO03_1811,Monacanthidae,Meuschenia,galii,1,37465040,FICO03_L.avi,47911,31.9407,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Serranidae,Caesioperca,rasor,7,37311003,FICO03_L.avi,30803,20.5353,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Labridae,Olisthops,cyanomelas,1,37385001,FICO03_L.avi,8502,5.668,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Monacanthidae,Meuschenia,hippocrepis,5,37465004,FICO03_L.avi,51448,34.2987,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,Yes
PECO03_1811,Monacanthidae,Meuschenia,freycineti,1,37465036,FICO03_L.avi,14043,9.362,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Monacanthidae,Meuschenia,flavolineata,1,37465035,FICO03_L.avi,9203,6.1353,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Labridae,Pictilabrus,laticlavius,1,37384020,FICO03_L.avi,20133,13.422,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Aulopidae,Latropiscis,purpurissatus,1,37117001,FICO03_L.avi,16431,10.954,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Labridae,Notolabrus,parilus,1,37384022,FICO03_L.avi,50495,33.6633,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Labridae,Austrolabrus,maculatus,2,37384025,FICO03_L.avi,40638,27.092,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Labridae,Achoerodus,gouldii,1,37384002,FICO03_L.avi,33771,22.514,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Kyphosidae,Girella,zebra,2,37361008,FICO03_L.avi,7765,5.1767,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO03_1811,Labridae,Notolabrus,tetricus,4,37384003,FICO03_L.avi,31347,20.898,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,Yes
PECO03_1811,Mullidae,Upeneichthys,vlamingii,1,37355029,FICO03_L.avi,90442,60.2947,DEaston,18.7,,Reef;Ecklonia and Fucoid;Profile,60,2,2,1,No
PECO04_1811,Monacanthidae,Acanthaluteres,vittiger,1,37465002,FICO04_L.avi,12294,8.196,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,Yes
PECO04_1811,Monacanthidae,Meuschenia,galii,1,37465040,FICO04_L.avi,9489,6.326,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Monacanthidae,Meuschenia,hippocrepis,3,37465004,FICO04_L.avi,75504,50.336,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,Yes
PECO04_1811,Mullidae,Upeneichthys,vlamingii,1,37355029,FICO04_L.avi,10928,7.2853,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Serranidae,Caesioperca,rasor,4,37311003,FICO04_L.avi,65703,43.802,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,Yes
PECO04_1811,Tetraodontidae,Omegophora,armilla,1,37467002,FICO04_L.avi,12664,8.4427,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Monacanthidae,Acanthaluteres,brownii,1,37465001,FICO04_L.avi,60754,40.5027,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Berycidae,Centroberyx,gerrardi,1,37258004,FICO04_L.avi,64297,42.8647,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Sillaginidae,Sillaginodes,punctatus,2,37330001,FICO04_L.avi,31590,21.06,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Labridae,Pictilabrus,laticlavius,1,37384020,FICO04_L.avi,33447,22.298,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Labridae,Ophthalmolepis,lineolatus,2,37384040,FICO04_L.avi,66115,44.0767,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Labridae,Notolabrus,tetricus,6,37384003,FICO04_L.avi,43159,28.7727,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,Yes
PECO04_1811,Labridae,Notolabrus,parilus,1,37384022,FICO04_L.avi,4099,2.7327,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Labridae,Austrolabrus,maculatus,1,37384025,FICO04_L.avi,10714,7.1427,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Labridae,Achoerodus,gouldii,1,37384002,FICO04_L.avi,67878,45.252,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Carangidae,Pseudocaranx,sp,1,37337924,FICO04_L.avi,32613,21.742,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PECO04_1811,Cheilodactylidae,Nemadactylus,valenciennesi,1,37377004,FICO04_L.avi,28246,18.8307,DEaston,28,,Reef;Ecklonia and Fucoid;Profile,60,1,1,2,No
PEEO01_1811,Labridae,Notolabrus,tetricus,1,37384003,FIEO01_L.avi,42800,28.5333,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,Yes
PEEO01_1811,Labridae,Notolabrus,parilus,1,37384022,FIEO01_L.avi,24332,16.2213,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,No
PEEO01_1811,Sparidae,Pagrus,auratus,7,37353001,FIEO01_L.avi,38049,25.366,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,Yes
PEEO01_1811,Monacanthidae,Meuschenia,hippocrepis,3,37465004,FIEO01_L.avi,58516,39.0107,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,Yes
PEEO01_1811,Carangidae,Pseudocaranx,sp,6,37337924,FIEO01_L.avi,57938,38.6253,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,No
PEEO01_1811,Cheilodactylidae,Dactylophora,nigricans,1,37377005,FIEO01_L.avi,49137,32.758,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,No
PEEO01_1811,Berycidae,Centroberyx,gerrardi,1,37258004,FIEO01_L.avi,47981,31.9873,DEaston,26.3,,Filamentous alage on sand;Medium,45,1,2,1,No
PEEO02_1811,Monacanthidae,Meuschenia,flavolineata,2,37465035,FIEO02_L.avi,7988,5.3253,DEaston,12.3,,Reef;Fucoid;Profile,60,1,2,1,No
PEEO02_1811,Sparidae,Pagrus,auratus,2,37353001,FIEO02_L.avi,14905,9.9367,DEaston,12.3,,Reef;Fucoid;Profile,60,1,2,1,Yes
PEEO02_1811,Serranidae,Caesioperca,rasor,2,37311003,FIEO02_L.avi,11491,7.6607,DEaston,12.3,,Reef;Fucoid;Profile,60,1,2,1,No
PEEO02_1811,Scorpididae,Tilodon,sexfasciatus,1,37361003,FIEO02_L.avi,82489,54.9927,DEaston,12.3,,Reef;Fucoid;Profile,60,1,2,1,No
PEEO02_1811,Labridae,Olisthops,cyanomelas,3,37385001,FIEO02_L.avi,59213,39.4753,DEaston,12.3,,Reef;Fucoid;Profile,60,1,2,1,No
