Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
PECO01_1811,-33.67258,134.49632,20181119,9:02:00,Pearson Isles,Fished,PECO,24.1,DEaston,Yes,Yes,Flinders Island North Central Out,83,Stereo,120,53,453308,6274033,JHicks,BST,Core,
PECO02_1811,-33.6727,134.494,20181119,9:05:00,Pearson Isles,Fished,PECO,18.7,DEaston,Yes,Yes,Flinders Island North Central Out,84,Stereo,120,53,453093,6274019,JHicks,BST,Core,
PECO03_1811,-33.67077,134.49243,20181119,10:40:00,Pearson Isles,Fished,PECO,18.7,DEaston,Yes,Yes,Flinders Island North Central Out,85,Stereo,120,53,452947,6274232,JHicks,BST,Core,
PECO04_1811,-33.66922,134.49015,20181119,10:44:00,Pearson Isles,Fished,PECO,28,DEaston,Yes,Yes,Flinders Island North Central Out,86,Stereo,120,53,452735,6274403,JHicks,BST,Core,
PEEO01_1811,-33.6711,134.5111,20181119,8:45:00,Pearson Isles,Fished,PEEO,26.3,DEaston,Yes,Yes,Flinders Island North East Out,79,Stereo,120,53,454678,6274204,JHicks,BST,Core,
PEEO02_1811,-33.67197,134.5092,20181119,8:49:00,Pearson Isles,Fished,PEEO,12.3,DEaston,Yes,Yes,Flinders Island North East Out,80,Stereo,120,53,454502,6274106,JHicks,BST,Core,
PEEO03_1811,-33.6728,134.5073,20181119,8:51:00,Pearson Isles,Fished,PEEO,16.2,DEaston,Yes,Yes,Flinders Island North East Out,81,Stereo,120,53,454326,6274013,JHicks,BST,Core,
PEEO04_1811,-33.67362,134.50507,20181119,8:54:00,Pearson Isles,Fished,PEEO,17.7,DEaston,Yes,Yes,Flinders Island North East Out,82,Stereo,120,53,454120,6273922,JHicks,BST,Core,
PEWO01_1811,-33.6794,134.48252,20181119,10:53:00,Pearson Isles,Fished,PEWO,20.2,DEaston,Yes,Yes,Flinders Island North West Out,87,Stereo,120,53,452033,6273270,JHicks,BST,Core,
PEWO02_1811,-33.68072,134.48073,20181119,10:56:00,Pearson Isles,Fished,PEWO,20.1,DEaston,Yes,Yes,Flinders Island North West Out,88,Stereo,120,53,451868,6273123,JHicks,BST,Core,
PEWO03_1811,-33.68227,134.47878,20181119,10:58:00,Pearson Isles,Fished,PEWO,20.2,DEaston,Yes,Yes,Flinders Island North West Out,89,Stereo,120,53,451688,6272951,JHicks,BST,Core,
PEWO04_1811,-33.68375,134.47698,20181119,11:00:00,Pearson Isles,Fished,PEWO,20.6,DEaston,Yes,No,Flinders Island North West Out,90,Stereo,120,53,451522,6272786,JHicks,BST,Core,
PEEI01_1811,-33.95393,134.27125,20181116,10:49:00,Pearson Isles,No-take,PEEI,21.9,JHicks,Yes,Yes,Pearson Isles East In,41,Stereo,23,53,432665,6242713,JHicks,BST,Core,
PEEI02_1811,-33.95288,134.27352,20181116,10:44:00,Pearson Isles,No-take,PEEI,25.3,JHicks,Yes,Yes,Pearson Isles East In,40,Stereo,23,53,432873,6242831,JHicks,BST,Core,
PEEI03_1811,-33.95205,134.27553,20181116,8:33:00,Pearson Isles,No-take,PEEI,22.2,JHicks,Yes,Yes,Pearson Isles East In,34,Stereo,23,53,433059,6242924,JHicks,BST,Core,
PEEI04_1811,-33.95112,134.27777,20181116,8:37:00,Pearson Isles,No-take,PEEI,22.3,JHicks,Yes,Yes,Pearson Isles East In,35,Stereo,23,53,433265,6243029,JHicks,BST,Core,
PENI01_1811,-33.9475,134.27833,20181116,8:45:00,Pearson Isles,No-take,PENI,22.9,JHicks,Yes,Yes,Pearson Isles North In,36,Stereo,23,53,433314,6243431,JHicks,BST,Core,
PENI02_1811,-33.9455,134.27808,20181116,8:50:00,Pearson Isles,No-take,PENI,25.2,JHicks,Yes,Yes,Pearson Isles North In,37,Stereo,23,53,433289,6243652,JHicks,BST,Core,
PENI03_1811,-33.94352,134.27757,20181116,9:00:00,Pearson Isles,No-take,PENI,27.7,JHicks,Yes,No,Pearson Isles North In,38,Stereo,23,53,433240,6243871,JHicks,BST,Core,
PENI04_1811,-33.94198,134.27618,20181116,9:07:00,Pearson Isles,No-take,PENI,26,JHicks,Yes,No,Pearson Isles North In,39,Stereo,23,53,433111,6244041,JHicks,BST,Core,
PESI01_1811,-33.96747,134.2738,20181116,11:14:00,Pearson Isles,No-take,PESI,38,JHicks,Yes,No,Pearson Isles South In,45,Stereo,23,53,432911,6241213,JHicks,BST,Core,
PESI02_1811,-33.96548,134.27563,20181116,11:09:00,Pearson Isles,No-take,PESI,38.5,JHicks,Yes,Yes,Pearson Isles South In,44,Stereo,23,53,433078,6241435,JHicks,BST,Core,
PESI03_1811,-33.9635,134.27478,20181116,10:58:00,Pearson Isles,No-take,PESI,28.2,JHicks,Yes,Yes,Pearson Isles South In,43,Stereo,23,53,432998,6241654,JHicks,BST,Core,
PESI04_1811,-33.96228,134.27322,20181116,10:54:00,Pearson Isles,No-take,PESI,21.2,JHicks,Yes,No,Pearson Isles South In,42,Stereo,23,53,432853,6241788,JHicks,BST,Core,
