OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
NMP_20190804_MS-43_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-43_BRUV.EMObs
NMP_20190804_MS-44_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-44_BRUV.EMObs
NMP_20190804_MS-45_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-45_BRUV.EMObs
NMP_20190804_MS-46_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-46_BRUV.EMObs
NMP_20190804_MS-47_BRUV	1.09	2024 05 07 14:11:42	Q:\04-08-2019\	NMP_20190804_MS-47_BRUV.EMObs
NMP_20190804_MS-48_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-48_BRUV.EMObs
NMP_20190804_MS-49_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-49_BRUV.EMObs
NMP_20190804_MS-50_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190804_MS-50_BRUV.EMObs
NMP_20190804_MS-51_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-51_BRUV.EMObs
NMP_20190804_MS-52_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-52_BRUV.EMObs
NMP_20190804_MS-53_BRUV	1.09	2024 05 07 14:11:42	D:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-53_BRUV.EMObs
NMP_20190804_MS-54_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-54_BRUV.EMObs
NMP_20190804_MS-55_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-55_BRUV.EMObs
NMP_20190804_MS-56_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-56_BRUV.EMObs
NMP_20190804_MS-57_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-57_BRUV.EMObs
NMP_20190804_MS-58_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-58_BRUV.EMObs
NMP_20190804_MS-59_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-59_BRUV.EMObs
NMP_20190804_MS-60_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190804_MS-60_BRUV.EMObs
NMP_20190805_MF-61_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-61_BRUV.EMObs
NMP_20190805_MF-62_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-62_BRUV.EMObs
NMP_20190805_MF-63_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-63_BRUV.EMObs
NMP_20190805_MF-64_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-64_BRUV.EMObs
NMP_20190805_MF-65_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-65_BRUV.EMObs
NMP_20190805_MF-66_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-66_BRUV.EMObs
NMP_20190805_MF-67_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-67_BRUV.EMObs
NMP_20190805_MF-68_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-68_BRUV.EMObs
NMP_20190805_MF-69_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-69_BRUV.EMObs
NMP_20190805_MF-70_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_MF-70_BRUV.EMObs
NMP_20190805_OF-21_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_OF-21_BRUV.EMObs
NMP_20190805_OF-22_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_OF-22_BRUV.EMObs
NMP_20190805_OF-23_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_OF-23_BRUV.EMObs
NMP_20190805_OF-24_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_OF-24_BRUV.EMObs
NMP_20190805_OF-25_BRUV	1.09	2024 05 07 14:11:42	F:\BRUV_RAW_HD2\05-08-2019\	NMP_20190805_OF-25_BRUV.EMObs
