Sample,Latitude,Longitude,Time,Status,Depth,Successful.count,Successful.length,max.distance,Date,Observer_count,Observer_length,Observer,Site,Location
HM_53,-34.398116,150.962072,10:30:00,Fished,35.3,Yes,Yes,7249.366,20190807,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS10,Wollongong
HM_54,-34.39696,150.982071,13:12:00,Fished,35.3,Yes,Yes,4207.778,20190613,Marty Hing,Marty Hing,Marty Hing,S7,Wollongong
HM_56,-34.396314,150.949338,13:31:00,Fished,26.9,Yes,Yes,6541.426,20190613,Jason Jason Delamont,Jason Jason Delamont,Jason Jason Delamont,AS11,Wollongong
HM_55,-34.396289,150.973039,13:19:00,Fished,34.5,Yes,Yes,7794.862,20190613,Marty Hing,Marty Hing,Marty Hing,S7,Wollongong
HM_57,-34.394551,150.969035,10:22:00,Fished,34.9,Yes,Yes,5792.032,20190807,Matthew Hammond,Matthew Hammond,Matthew Hammond,S7,Wollongong
HM_58,-34.394008,150.985989,13:05:00,Fished,39.9,Yes,Yes,10859.894,20190613,Jason Jason Delamont,Jason Jason Delamont,Jason Jason Delamont,S7,Wollongong
HM_59,-34.387804,150.934027,13:51:00,Fished,20.1,Yes,Yes,4629.745,20190613,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS11,Wollongong
HM_61,-34.383588,150.963553,11:29:00,Fished,31.6,Yes,Yes,5452.765,20190613,Jason Jason Delamont,Jason Jason Delamont,Jason Jason Delamont,AS12,Bellambi
HM_64,-34.380294,150.967312,10:12:00,Fished,36.4,Yes,Yes,4723.236,20190613,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS12,Bellambi
HM_65,-34.379484,150.950242,11:38:00,Fished,19.3,Yes,Yes,5965.2,20190613,Marty Hing,Marty Hing,Marty Hing,S8,Bellambi
HM_66,-34.378688,150.972788,11:21:00,Fished,39.9,Yes,Yes,10697.607,20190613,Marty Hing,Marty Hing,Marty Hing,AS12,Bellambi
HM_69,-34.377621,150.979398,10:01:00,Fished,41,Yes,Yes,5400.487,20190807,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS12,Bellambi
HM_71,-34.374808,150.967675,11:09:00,Fished,35.5,Yes,Yes,10204.962,20190613,Marty Hing,Marty Hing,Marty Hing,AS12,Bellambi
HM_72,-34.370801,150.960554,11:02:00,Fished,30.7,Yes,Yes,5428.473,20190613,Marty Hing,Marty Hing,Marty Hing,S8,Bellambi
HM_73,-34.370347,150.978568,9:35:00,Fished,40,Yes,Yes,6158.989,20190807,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS12,Bellambi
HM_74,-34.368764,150.946591,10:54:00,Fished,20,Yes,Yes,5383.406,20190613,Matthew Hammond,Matthew Hammond,Matthew Hammond,S8,Bellambi
HM_329,-34.362808,150.948733,15:00:00,Fished,23.2,Yes,Yes,8495.887,20191003,Marty Hing,Marty Hing,Marty Hing,S8,Bellambi
HM_343,-34.34818,150.943194,14:51:00,Fished,22.3,Yes,Yes,7973.835,20191003,Marty Hing,Marty Hing,Marty Hing,AS13,Bellambi
HM_346,-34.339651,150.943174,14:44:00,Fished,23.2,Yes,Yes,11181.832,20191003,Marty Hing,Marty Hing,Marty Hing,AS13,Bellambi
HM_347,-34.322683,150.950352,14:35:00,Fished,23.6,Yes,Yes,7589.537,20191003,Marty Hing,Marty Hing,Marty Hing,AS13,Coal coast
HM_75,-34.322407,150.972403,12:15:00,Fished,37.7,Yes,Yes,10237.133,20190103,Marty Hing,Marty Hing,Marty Hing,AS14,Coal coast
HM_77,-34.308215,150.961928,12:08:00,Fished,24.4,Yes,Yes,4695.143,20190103,Marty Hing,Marty Hing,Marty Hing,AS14,Coal coast
HM_78,-34.307391,150.981588,12:27:00,Fished,35.6,Yes,Yes,12286.125,20190103,Marty Hing,Marty Hing,Marty Hing,AS14,Coal coast
HM_79,-34.297263,150.968101,11:55:00,Fished,22.8,Yes,Yes,9328.692,20190103,Marty Hing,Marty Hing,Marty Hing,AS14,Coal coast
HM_328,-34.296817,150.975662,11:49:00,Fished,25.4,Yes,Yes,7709.762,20191003,Marty Hing,Marty Hing,Marty Hing,AS14,Coal coast
HM_82,-34.2794,150.990506,14:54:00,Fished,36.9,Yes,Yes,3526.412,20190806,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S9,Coal coast
HM_83,-34.278144,150.97977,13:17:00,Fished,28.8,Yes,Yes,4309.7,20190806,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS15,Coal coast
HM_349,-34.275217,150.992419,11:28:00,Fished,35.4,Yes,Yes,7475.226,20191003,Marty Hing,Marty Hing,Marty Hing,S9,Coal coast
HM_327,-34.273998,150.974168,11:38:00,Fished,20.5,Yes,Yes,5428.329,20191003,Marty Hing,Marty Hing,Marty Hing,AS15,Coal coast
HM_84,-34.271429,150.994404,14:41:00,Fished,36.1,Yes,Yes,2265.044,20190806,Matthew Hammond,Matthew Hammond,Matthew Hammond,S9,Coal coast
HM_85,-34.271197,150.983554,13:08:00,Fished,27.4,Yes,Yes,3289.722,20190806,Matthew Hammond,Matthew Hammond,Matthew Hammond,S9,Coal coast
HM_86,-34.266347,150.986605,13:01:00,Fished,28.4,Yes,Yes,2437.524,20190806,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS15,Coal coast
HM_87,-34.263298,150.998531,14:34:00,Fished,35.1,Yes,Yes,5205.42,20190806,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S9,Coal coast
HM_88,-34.262362,150.988957,12:52:00,Fished,27.8,Yes,Yes,3437.17,20190806,Matthew Hammond,Matthew Hammond,Matthew Hammond,S10,Coal coast
HM_89,-34.258388,150.991364,12:43:00,Fished,27,Yes,No,3354.14,20190806,Matthew Hammond,Matthew Hammond,Matthew Hammond,S10,Coal coast
HM_91_R,-34.253451,150.993622,11:04:00,Fished,28.1,Yes,Yes,10543.029,20191003,Marty Hing,Marty Hing,Marty Hing,S10,Coal coast
HM_325,-34.245078,150.995201,10:55:00,Fished,25.6,Yes,Yes,6107.882,20191003,Marty Hing,Marty Hing,Marty Hing,S10,Coal coast
HM_324,-34.227365,151.012412,9:28:00,Fished,26.1,Yes,Yes,10125.504,20191003,Marty Hing,Marty Hing,Marty Hing,S11,Otford
HM_323,-34.226351,151.00907,9:20:00,Fished,21.1,Yes,No,3502.469,20191003,Marty Hing,Marty Hing,Marty Hing,S11,Otford
HM_95,-34.221409,151.011273,11:39:00,Fished,15.6,Yes,Yes,2238.722,20190806,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S11,Otford
HM_92_R,-34.219076,151.016757,9:11:00,Fished,16.9,Yes,Yes,9754.443,20191003,Marty Hing,Marty Hing,Marty Hing,S11,Otford
HM_93_R,-34.215457,151.022502,9:02:00,Fished,20.8,Yes,Yes,8579.46,20191003,Marty Hing,Marty Hing,Marty Hing,S11,Otford
HM_322,-34.212436,151.028417,8:53:00,Fished,25.4,Yes,Yes,6398.513,20191003,Marty Hing,Marty Hing,Marty Hing,S12,Otford
HM_321,-34.211967,151.033758,8:41:00,Fished,26.2,Yes,Yes,7642.741,20191003,Marty Hing,Marty Hing,Marty Hing,S12,Otford
HM_97,-34.138057,151.129585,9:50:00,Fished,17.4,Yes,Yes,5654.078,20190710,Marty Hing,Marty Hing,Marty Hing,S13,Royal NP
HP_174,-34.115324,151.154071,13:00:00,Fished,18.2,Yes,Yes,6824.374,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,S13,Royal NP
HP_51,-34.115132,151.154094,12:20:00,Fished,20.2,Yes,No,9000,20190515,Marty Hing,Marty Hing,Marty Hing,S13,Royal NP
HM_98,-34.114576,151.154668,9:25:00,Fished,20.9,Yes,Yes,6170.776,20190710,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S13,Royal NP
HM_99,-34.10695,151.1585,9:18:00,Fished,17.5,Yes,Yes,9223.342,20190710,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S13,Royal NP
HP_52,-34.106793,151.158876,12:08:00,Fished,19.7,Yes,Yes,5755.68,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,S13,Royal NP
