Sample,Latitude,Longitude,Time,Status,Depth,Successful.count,Successful.length,max.distance,Date,Observer_count,Observer_length,Observer,Site,Location
HP_78,-33.805949,151.327286,12:28:00,Fished,38.2,Yes,Yes,5568.846,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS21,Port Jackson Hd
HM_142,-33.804752,151.315452,12:41:00,Fished,33.6,Yes,Yes,5847.323,20190722,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS20,Port Jackson Hd
HM_143,-33.80368,151.326479,12:51:00,Fished,35.6,Yes,Yes,4138.253,20190722,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS21,Port Jackson Hd
HM_144,-33.8003,151.302573,12:28:00,Fished,17.8,Yes,Yes,6554.541,20190722,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S27,Manly
HP_79,-33.799845,151.302958,11:34:00,Fished,19.3,Yes,Yes,4694.843,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S27,Manly
HM_145,-33.795012,151.311315,13:16:00,Fished,30.1,Yes,Yes,5532.621,20190722,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S27,Manly
HP_81,-33.794302,151.329062,12:14:00,Fished,35.1,Yes,Yes,4022.13,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS22,Manly
HP_82,-33.793298,151.322007,12:00:00,Fished,32.2,Yes,Yes,2476.212,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS22,Manly
HM_146,-33.792991,151.324142,13:01:00,Fished,33.2,Yes,Yes,6548.389,20190722,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS22,Manly
HP_83,-33.792069,151.307035,11:48:00,Fished,20.5,Yes,Yes,5893.497,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S27,Manly
HM_147,-33.788911,151.306724,13:11:00,Fished,23.1,Yes,Yes,5493.304,20190724,Marty Hing,Marty Hing,Marty Hing,S27,Manly
HM_148,-33.786214,151.321142,14:36:00,Fished,32.8,Yes,Yes,5538.282,20190722,Daniel Swadling,Daniel Swadling,Daniel Swadling,S28,Manly
HM_149,-33.785141,151.329024,14:44:00,Fished,34.2,Yes,Yes,7882.409,20190722,Marty Hing,Marty Hing,Marty Hing,S28,Manly
HP_84,-33.785108,151.33142,12:10:00,Fished,35,Yes,Yes,6719.483,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S28,Manly
HM_150,-33.782445,151.309636,15:04:00,Fished,27.6,Yes,Yes,11920.635,20190722,Marty Hing,Marty Hing,Marty Hing,S28,Manly
HM_151,-33.78169,151.334714,14:53:00,Fished,38.8,Yes,Yes,8096.7,20190722,Marty Hing,Marty Hing,Marty Hing,AS23,Manly
HM_152,-33.775307,151.315833,13:20:00,Fished,32.4,Yes,Yes,3744.561,20190724,Marty Hing,Marty Hing,Marty Hing,AS23,Manly
HM_153,-33.767613,151.316786,13:32:00,Fished,21.9,Yes,Yes,6681.558,20190724,Marty Hing,Marty Hing,Marty Hing,AS24,Long Reef
HM_154,-33.765607,151.32139,15:38:00,Fished,24.6,Yes,Yes,8915.875,20190724,Marty Hing,Marty Hing,Marty Hing,AS24,Long Reef
HP_86,-33.765084,151.320163,13:47:00,Fished,20.1,Yes,Yes,2311.842,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS24,Long Reef
HM_155,-33.764785,151.336452,15:29:00,Fished,30.8,Yes,Yes,7617.952,20190724,Marty Hing,Marty Hing,Marty Hing,AS25,Long Reef
HM_157,-33.762999,151.338981,15:42:00,Fished,32.7,Yes,Yes,6351.416,20190724,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS25,Long Reef
HP_88,-33.761131,151.333474,13:54:00,Fished,23.7,Yes,Yes,5872.998,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS25,Long Reef
