"","name","value","is_filter"
"1","Annotation: Habitat information from each sample annotated as","Point score",FALSE
"2","Sampling: Bait type","Pilchards",TRUE
"3","Sampling: Deployment duration (min)","30",TRUE
"4","Sampling: Bait quantity (g)","1000",FALSE
"5","Sampling: Bait consistency","Mushed",FALSE
"6","Sampling: Minimum separation distance of samples (m)","200",FALSE
"7","Sampling: Camera configuration","Stereo",FALSE
"8","Annotation: Upload type","EventMeasure database output",TRUE
"9","Sampling: Artificial lighting","None",FALSE
"10","Annotation: Annotation tool/software","EventMeasure-stereo",FALSE
"11","Annotation: Annotation tool/software","TransectMeasure",FALSE
"12","Annotation: Taxa that have been ID'd","Fish, Sharks, Rays and sea snakes",FALSE
"13","Annotation: Taxonomic resolution","All taxa identified to the lowest possible taxonomic level",FALSE
"14","Sampling: Bait arm length (m)","1.5",FALSE
"15","Annotation: Observer/Anotator experience (>years)","5",FALSE
"16","Annotation: Type of Length measure","Fork length",FALSE
"17","Annotation: Maximum range annotations were made (m)","5",FALSE
"18","Annotation: Lengths measured for","Selected target fish",TRUE
"19","Annotation: Observation/Annotation checked by expert","Yes",FALSE
