Campaign.ID,Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,MarinePark,Location_name,MP Zoning,Rep_ID,Observer,Zone
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_2_4_40Acres_20220803,-30.20703,153.21043,20220803,9:38:00,S4_2,S4,No-take,25,Yes,Yes,KateSeinor,KateSeinor,SIMP,40Acres,No-take,S4_2_4,KateSeinor,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_1_1_Northern_20220901,-29.77003,153.36205,20220901,12:01:00,H1_1,H1,Fished,37,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Northern,Fished,H1_1_1,HamishMalcolm,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_1_2_Northern_20220901,-29.7691,153.36374,20220901,12:08:00,H1_1,H1,Fished,33,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Northern,Fished,H1_1_2,HamishMalcolm,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_1_3_Northern_20220901,-29.76758,153.3632,20220901,12:15:00,H1_1,H1,Fished,36,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Northern,Fished,H1_1_3,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_1_4_Northern_20220901,-29.76572,153.36425,20220901,12:21:00,H1_1,H1,Fished,38,Yes,Yes,KateSeinor,KateSeinor,SIMP,Northern,Fished,H1_1_4,KateSeinor,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_2_1_Northern_20220901,-29.7775,153.35972,20220901,13:21:00,H1_2,H1,Fished,35,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Northern,Fished,H1_2_1,HamishMalcolm,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_2_2_Northern_20220901,-29.77667,153.36167,20220901,13:17:00,H1_2,H1,Fished,32,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Northern,Fished,H1_2_2,HamishMalcolm,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_2_3_Northern_20220901,-29.77542,153.35958,20220901,13:12:00,H1_2,H1,Fished,31,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Northern,Fished,H1_2_3,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H1_2_4_Northern_20220901,-29.77341,153.36056,20220901,13:44:00,H1_2,H1,Fished,32,Yes,Yes,KateSeinor,KateSeinor,SIMP,Northern,Fished,H1_2_4,KateSeinor,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_1_1_Central_20221017,-29.93648,153.31346,20221017,11:48:00,H2_1,H2,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Central,Fished,H2_1_1,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_1_2_Central_20221017,-29.93447,153.31377,20221017,11:52:00,H2_1,H2,Fished,26,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Central,Fished,H2_1_2,SarahChyriwsky,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_1_3_Central_20221017,-29.93296,153.31496,20221017,11:59:00,H2_1,H2,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Central,Fished,H2_1_3,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_1_4_Central_20221017,-29.93053,153.31491,20221017,12:04:00,H2_1,H2,Fished,26,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Central,Fished,H2_1_4,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_2_1_Central_20220818,-29.92932,153.30631,20220818,13:03:00,H2_2,H2,Fished,27,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Central,Fished,H2_2_1,HamishMalcolm,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_2_2_Central_20220818,-29.92742,153.30648,20220818,12:58:00,H2_2,H2,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Central,Fished,H2_2_2,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_2_3_Central_20220818,-29.92526,153.30838,20220818,13:42:00,H2_2,H2,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Central,Fished,H2_2_3,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H2_2_4_Central_20220818,-29.92225,153.30872,20220818,12:47:00,H2_2,H2,Fished,28,Yes,Yes,KateSeinor,KateSeinor,SIMP,Central,Fished,H2_2_4,KateSeinor,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_1_1_SplitBommie_20220803,-30.24929,153.20326,20220803,10:35:00,H4_1,H4,Fished,25,Yes,Yes,KateSeinor,KateSeinor,SIMP,SplitBommie,Fished,H4_1_1,KateSeinor,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_1_2_SplitBommie_20220803,-30.24764,153.20518,20220803,10:42:00,H4_1,H4,Fished,26,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,SplitBommie,Fished,H4_1_2,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_1_3_SplitBommie_20220803,-30.24534,153.20483,20220803,10:51:00,H4_1,H4,Fished,30,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,SplitBommie,Fished,H4_1_3,SarahChyriwsky,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_1_4_SplitBommie_20220803,-30.24405,153.20638,20220803,10:57:00,H4_1,H4,Fished,31,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,SplitBommie,Fished,H4_1_4,SarahChyriwsky,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_2_1_SplitBommie_20220802,-30.24354,153.20284,20220802,10:59:00,H4_2,H4,Fished,26.5,Yes,Yes,KateSeinor,KateSeinor,SIMP,SplitBommie,Fished,H4_2_1,KateSeinor,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_2_2_SplitBommie_20220802,-30.24098,153.20339,20220802,11:05:00,H4_2,H4,Fished,27,Yes,Yes,KateSeinor,KateSeinor,SIMP,SplitBommie,Fished,H4_2_2,KateSeinor,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_2_3_SplitBommie_20220802,-30.23788,153.20386,20220802,11:10:00,H4_2,H4,Fished,26.8,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,SplitBommie,Fished,H4_2_3,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,H4_2_4_SplitBommie_20220802,-30.23553,153.20118,20220802,11:16:00,H4_2,H4,Fished,25.3,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,SplitBommie,Fished,H4_2_4,ArtSchultz,HPZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_1_1_Bullocky_20220802,-30.31554,153.18596,20220802,13:09:00,O1_1,O1,Fished,29,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Bullocky,Outside,O1_1_1,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_1_2_Bullocky_20220802,-30.31598,153.18821,20220802,13:58:00,O1_1,O1,Fished,26,Yes,No,SarahChyriwsky,,SIMP,Bullocky,Outside,O1_1_2,SarahChyriwsky,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_1_3_Bullocky_20220802,-30.31437,153.1898,20220802,14:09:00,O1_1,O1,Fished,27,Yes,Yes,KateSeinor,KateSeinor,SIMP,Bullocky,Outside,O1_1_3,KateSeinor,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_1_4_Bullocky_20220802,-30.31236,153.18881,20220802,13:24:00,O1_1,O1,Fished,27,Yes,Yes,KateSeinor,KateSeinor,SIMP,Bullocky,Outside,O1_1_4,KateSeinor,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_2_1_Bullocky_20220803,-30.31478,153.19731,20220803,11:56:00,O1_2,O1,Fished,28,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Bullocky,Outside,O1_2_1,SarahChyriwsky,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_2_2_Bullocky_20220803,-30.31619,153.19845,20220803,12:02:00,O1_2,O1,Fished,27,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Bullocky,Outside,O1_2_2,SarahChyriwsky,OUTSIDE
