Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	73	78													Open Water			Open					100
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	216	78													Open Water			Open					84
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	360	78													Open Water			Open					84
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	503	78													Unconsolidated	Sand / mud (coarse sand)		Limited	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	82001014			100
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	73	231													Open Water			Open					70.6
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	216	231													Open Water			Open					45.2
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	360	231													Open Water			Open					45.2
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	503	231													Unconsolidated	Sand / mud (coarse sand)		Limited	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	82001014			70.6
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	73	384													Open Water			Open					57.5
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	216	384													Open Water			Open					19.2
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	360	384													Open Water			Open					19.2
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	503	384													Unconsolidated	Sand / mud (coarse sand)		Limited	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	82001014			57.5
10_1014_S3D2_150812_repeat_LHCan_84_Join.avi	77925	2404.4487	73	537													Open Water			Open					70.6
