Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
69 GRTS_10_10,-40.614039,148.74633,20120813,8:24:00,Flinders.CMR,Fished,NA,65,Justin Hulls,Yes,Yes,NA
73 GRTS_10_1014,-40.612114,148.755201,20120813,8:55:00,Flinders.CMR,Fished,NA,65,Justin Hulls,Yes,Yes,NA
71 GRTS_10_477,-40.613724,148.737989,20120813,8:42:00,Flinders.CMR,Fished,NA,65,Justin Hulls,Yes,Yes,NA
72 GRTS_10_586,-40.61528,148.741983,20120813,8:35:00,Flinders.CMR,Fished,NA,65,Justin Hulls,Yes,Yes,NA
70 GRTS_10_reef,-40.613131,148.745654,20120813,8:29:00,Flinders.CMR,Fished,NA,65,Justin Hulls,Yes,Yes,NA
44 GRTS_15_15,-40.810232,148.590915,20120813,15:37:00,Flinders.CMR,Fished,NA,68,Justin Hulls,Yes,Yes,NA
46 GRTS_15_207,-40.814415,148.588547,20120813,15:50:00,Flinders.CMR,Fished,NA,68,Justin Hulls,Yes,Yes,NA
47 GRTS_15_911,-40.814674,148.596109,20120813,15:56:00,Flinders.CMR,Fished,NA,68,Justin Hulls,Yes,Yes,NA
45 GRTS_15_reef,-40.811193,148.590732,20120813,15:44:00,Flinders.CMR,Fished,NA,68,Justin Hulls,Yes,Yes,NA
51 GRTS_16_16,-40.786358,148.718044,20120814,9:13:00,Flinders.CMR,Fished,NA,98,Richard Zavalas,Yes,Yes,NA
54 GRTS_16_236,-40.78365,148.726024,20120814,9:36:00,Flinders.CMR,Fished,NA,98,Richard Zavalas,Yes,Yes,NA
53 GRTS_16_492,-40.789541,148.725875,20120814,9:28:00,Flinders.CMR,Fished,NA,98,Richard Zavalas,Yes,Yes,NA
55 GRTS_16_592,-40.7785,148.713142,20120814,9:47:00,Flinders.CMR,Fished,NA,98,Richard Zavalas,Yes,Yes,NA
