Sample,Family,Genus,Species,Count,Length,Code,Filename,Frame,Time (mins),Precision (mm),RMS (mm),Range (mm),Direction (deg),Comment,Stage,Activity
ARSO01_2012,Labridae,Austrolabrus,maculatus,1,142.616,37384025,ARSO01_L.avi,8063,5.3753,2.022,2.544,1268.799,36.647,NA,AD,Passing
ARSO01_2012,Monacanthidae,Acanthaluteres,brownii,1,307.611,37465001,ARSO01_L.avi,10872,7.248,28.019,14.87,3609.773,24.945,NA,AD,Passing
ARSO01_2012,Plesiopidae,Trachinops,noarlungae,1,44.636,37316017,ARSO01_L.avi,13722,9.148,5.516,4.459,1794.288,31.94,NA,AD,Passing
ARSO01_2012,Plesiopidae,Trachinops,noarlungae,1,42.255,37316017,ARSO01_L.avi,13722,9.148,5.56,4.666,1648.725,31.074,NA,AD,Passing
ARSO01_2012,Plesiopidae,Trachinops,noarlungae,1,60.992,37316017,ARSO01_L.avi,13722,9.148,5.955,4.638,1677.133,29.685,NA,AD,Passing
ARSO01_2012,Plesiopidae,Trachinops,noarlungae,1,39.305,37316017,ARSO01_L.avi,13722,9.148,4.854,4.141,1658.223,34.654,NA,AD,Passing
ARSO01_2012,Monacanthidae,Meuschenia,galii,1,273.291,37465040,ARSO01_L.avi,20957,13.9713,8.638,4.108,2032.093,29.14,NA,AD,Passing
ARSO01_2012,Scyliorhinidae,Asymbolus,vincenti,1,308.651,37015003,ARSO01_L.avi,22652,15.1013,2.613,1.836,1162.696,16.577,NA,AD,Passing
ARSO01_2012,Monacanthidae,Scobinichthys,granulatus,1,161.839,37465007,ARSO01_L.avi,23223,15.482,1.309,0.991,909.41,29.039,NA,AD,Passing
ARSO01_2012,Labridae,Siphonognathus,beddomei,1,117.187,37385006,ARSO01_L.avi,26019,17.346,5.187,3.911,1502.801,28.074,NA,AD,Passing
ARSO01_2012,Labridae,Notolabrus,parilus,1,283.604,99379455,ARSO01_L.avi,28676,19.1173,4.133,5.681,1765.499,30.968,NA,AD,Passing
ARSO01_2012,Arripidae,Arripis,georgianus,1,121.973,37344001,ARSO01_L.avi,31565,21.0433,8.692,6.603,2985.759,22.701,NA,AD,Passing
ARSO01_2012,Arripidae,Arripis,georgianus,1,139.881,37344001,ARSO01_L.avi,31565,21.0433,5.666,6.862,2810.761,24.148,NA,AD,Passing
ARSO01_2012,Scyliorhinidae,Asymbolus,vincenti,1,360.106,37015003,ARSO01_L.avi,39699,26.466,2.355,5.466,1216.529,30.248,NA,AD,Passing
ARSO01_2012,Monacanthidae,Meuschenia,hippocrepis,1,104.389,37465004,ARSO01_L.avi,92614,61.7427,1.141,3.884,1081.655,14.643,NA,AD,Passing
ARSO02_2012,Mullidae,Upeneichthys,vlamingii,1,154.38,37355029,ARSO02_L.avi,5234,3.4893,2.345,1.2,1517.191,23.575,NA,AD,Passing
ARSO02_2012,Mullidae,Upeneichthys,vlamingii,1,158.169,37355029,ARSO02_L.avi,5263,3.5087,2.478,0.715,1449.817,22.58,NA,AD,Passing
ARSO02_2012,Labridae,Austrolabrus,maculatus,1,147.329,37384025,ARSO02_L.avi,11230,7.4867,3.927,0.285,1333.554,24.647,NA,AD,Passing
ARSO02_2012,Gerreidae,Parequula,melbournensis,1,124.926,37349001,ARSO02_L.avi,16400,10.9333,9.036,1.345,2082.628,25.913,NA,AD,Passing
ARSO02_2012,Sillaginidae,Sillaginodes,punctatus,1,331.589,37330001,ARSO02_L.avi,23087,15.3913,14.687,3.59,3229.378,2.256,NA,AD,Passing
ARSO02_2012,Sillaginidae,Sillaginodes,punctatus,1,319.6,37330001,ARSO02_L.avi,23087,15.3913,8.124,0.469,2482.066,29.2,NA,AD,Passing
ARSO02_2012,Sillaginidae,Sillaginodes,punctatus,1,364.793,37330001,ARSO02_L.avi,23123,15.4153,11.102,2.474,2290.931,27.878,NA,AD,Passing
ARSO02_2012,Monacanthidae,Scobinichthys,granulatus,1,171.775,37465007,ARSO02_L.avi,27269,18.1793,3.48,4.513,1324.882,2.956,NA,AD,Passing
ARSO02_2012,Monacanthidae,Scobinichthys,granulatus,1,178.137,37465007,ARSO02_L.avi,27313,18.2087,2.599,3.503,1344.783,11.694,NA,AD,Passing
ARSO02_2012,Monacanthidae,Acanthaluteres,brownii,1,284.077,37465001,ARSO02_L.avi,30274,20.1827,2.276,1.771,1885.035,6.34,NA,AD,Passing
ARSO02_2012,Monacanthidae,Acanthaluteres,brownii,1,310.356,37465001,ARSO02_L.avi,30292,20.1947,2.629,0.824,1405.473,28.347,NA,AD,Passing
