Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,ReportID,Year,Comments
DB_037,-38.3664186,141.3518064,20230313,10:01:00,Discovery Bay,No-take,Discovery Bay,34,Scott Gray,Yes,Yes,2023DB_037,2023,No lights
DB_038,-38.3366863,141.3549212,20230312,11:46:00,Discovery Bay,No-take,Discovery Bay,35,Scott Gray,Yes,Yes,2023DB_038,2023,Lights test
DB_039,-38.3734195,141.3505374,20230313,9:56:00,Discovery Bay,No-take,Discovery Bay,31,Scott Gray,Yes,Yes,2023DB_039,2023,No lights
DB_040,-38.3424368,141.3528145,20230312,11:50:00,Discovery Bay,No-take,Discovery Bay,35,Scott Gray,Yes,Yes,2023DB_040,2023,No lights
DB_041,-38.321749,141.3701416,20230313,11:56:00,Discovery Bay,Fished,Discovery Bay,22,Scott Gray,Yes,Yes,2023DB_041,2023,No lights. Port Jackson
DB_042,-38.380545,141.3489126,20230312,14:10:00,Discovery Bay,Fished,Discovery Bay,31,Scott Gray,Yes,No,2023DB_042,2023,No lights
DB_043,-38.3941307,141.3684233,20230313,9:39:00,Discovery Bay,Fished,Discovery Bay,30,Scott Gray,Yes,Yes,2023DB_043,2023,No lights
DB_044,-38.3898399,141.3874282,20230314,14:07:00,Discovery Bay,Fished,Discovery Bay,22,Scott Gray,Yes,No,2023DB_044,2023,No lights
DB_045,-38.3700391,141.3531778,20230313,9:59:00,Discovery Bay,No-take,Discovery Bay,30,Louisa Graf,Yes,Yes,2023DB_045,2023,No lights
DB_046,-38.3473241,141.356118,20230312,12:07:00,Discovery Bay,No-take,Discovery Bay,38,Scott Gray,Yes,Yes,2023DB_046,2023,Lights with lobster
DB_047,-38.3943985,141.3720073,20230313,9:36:00,Discovery Bay,Fished,Discovery Bay,24,Scott Gray,Yes,Yes,2023DB_047,2023,No lights
DB_048,-38.3896205,141.3665325,20230314,11:38:00,Discovery Bay,Fished,Discovery Bay,26,Louisa Graf ,Yes,Yes,2023DB_048,2023,No lights
DB_049,-38.3741437,141.3552221,20230313,9:53:00,Discovery Bay,No-take,Discovery Bay,28,Scott Gray,Yes,Yes,2023DB_049,2023,No lights
DB_050,-38.3680438,141.36198,20230314,11:15:00,Discovery Bay,Fished,Discovery Bay,18,Grace Cosgriff-Camm,Yes,Yes,2023DB_050,2023,No lights
DB_051,-38.3860159,141.3675106,20230314,13:57:00,Discovery Bay,Fished,Discovery Bay,20,Louisa Graf ,Yes,Yes,2023DB_051,2023,"No lights, Repeat"
DB_052,-38.3545316,141.359255,20230312,12:13:00,Discovery Bay,No-take,Discovery Bay,29,Scott Gray,Yes,Yes,2023DB_052,2023,No lights
DB_053,-38.3676801,141.3565627,20230314,10:00:00,Discovery Bay,No-take,Discovery Bay,28,Louisa Graf ,Yes,Yes,2023DB_053,2023,No lights
DB_055,-38.3822112,141.3545926,20230313,9:47:00,Discovery Bay,Fished,Discovery Bay,26,Scott Gray,Yes,Yes,2023DB_055,2023,No lights
DB_056,-38.3608238,141.3063585,20230311,14:02:00,Discovery Bay,Fished,Discovery Bay,61,Scott Gray,Yes,Yes,2023DB_056,2023,
DB_057,-38.3515497,141.3207818,20230311,14:17:00,Discovery Bay,No-take,Discovery Bay,56,Scott Gray,Yes,Yes,2023DB_057,2023,no bait arm
DB_058,-38.3648881,141.3344395,20230312,9:51:00,Discovery Bay,No-take,Discovery Bay,56,Scott Gray,Yes,Yes,2023DB_058,2023,Nice snapper and reef
DB_059,-38.3412805,141.3468575,20230312,11:53:00,Discovery Bay,No-take,Discovery Bay,35,Scott Gray,Yes,Yes,2023DB_059,2023,No lights
DB_060,-38.3388866,141.3218501,20230311,14:27:00,Discovery Bay,No-take,Discovery Bay,54,Scott Gray,Yes,Yes,2023DB_060,2023,smashing
DB_061,-38.3841193,141.3458603,20230312,14:07:00,Discovery Bay,Fished,Discovery Bay,58,Scott Gray,Yes,Yes,2023DB_061,2023,No lights
DB_062,-38.3983362,141.3651727,20230312,14:31:00,Discovery Bay,Fished,Discovery Bay,55,Scott Gray,Yes,Yes,2023DB_062,2023,No lights
DB_063,-38.3524901,141.3480082,20230312,12:00:00,Discovery Bay,No-take,Discovery Bay,47,Scott Gray,Yes,Yes,2023DB_063,2023,No lights
DB_064,-38.3914325,141.3594918,20230312,14:25:00,Discovery Bay,Fished,Discovery Bay,49,Scott Gray,Yes,Yes,2023DB_064,2023,No lights
DB_065,-38.3609846,141.3325467,20230312,9:48:00,Discovery Bay,No-take,Discovery Bay,55,Scott Gray,Yes,Yes,2023DB_065,2023,Sand/ snapper
DB_067,-38.3488643,141.3528214,20230312,12:04:00,Discovery Bay,No-take,Discovery Bay,42,Scott Gray,Yes,Yes,2023DB_067,2023,No lights
DB_068,-38.3578496,141.321332,20230311,14:13:00,Discovery Bay,No-take,Discovery Bay,57,Scott Gray,Yes,Yes,2023DB_068,2023,no bait arm
DB_069,-38.3460112,141.3421842,20230312,11:56:00,Discovery Bay,No-take,Discovery Bay,50,Scott Gray,Yes,Yes,2023DB_069,2023,No lights
DB_070,-38.3452469,141.3219159,20230311,14:24:00,Discovery Bay,No-take,Discovery Bay,52,Scott Gray,Yes,Yes,2023DB_070,2023,
DB_071,-38.3813893,141.3442892,20230312,14:03:00,Discovery Bay,Fished,Discovery Bay,57,Scott Gray,Yes,Yes,2023DB_071,2023,No lights
DB_072,-38.3401741,141.3298734,20230312,9:38:00,Discovery Bay,No-take,Discovery Bay,57,Scott Gray,Yes,Yes,2023DB_072,2023,Lobster
DB_073,-38.3346536,141.3200347,20230311,14:30:00,Discovery Bay,No-take,Discovery Bay,52,Scott Gray,Yes,Yes,2023DB_073,2023,bait arm broken
DB_074,-38.38732,141.357773,20230313,9:43:00,Discovery Bay,Fished,Discovery Bay,27,Scott Gray,Yes,Yes,2023DB_074,2023,No lights
