Camera Details

Generated: Thursday 02 November 2023 13:59:30

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
DB_005	Grace Cosgriff-Camm	17	No lights, clapper wrong site DB_005 corrected and checked	-38.3828795	141.3669808	14/03/2023	11:27	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93063	0.002850	0.002850	-301.288	0.000	0.000	0.036	-5.372	0.297
DB_005	Grace Cosgriff-Camm	17	No lights, clapper wrong site DB_005 corrected and checked	-38.3828795	141.3669808	14/03/2023	11:27	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93243	0.002850	0.002850	301.288	0.000	0.000	-0.036	4.491	1.443
DB_006	Scott Gray	15	No lights	-38.3399294	141.3803974	13/03/2023	13:36	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94101	0.002850	0.002850	-301.726	0.000	0.000	0.191	-5.518	1.334
DB_006	Scott Gray	15	No lights	-38.3399294	141.3803974	13/03/2023	13:36	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94017	0.002850	0.002850	301.726	0.000	0.000	-0.191	4.166	1.310
DB_007	Scott Gray	9	No lights	-38.3320162	141.3873328	13/03/2023	13:28	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93492	0.002850	0.002850	-300.711	0.000	0.000	0.238	-5.123	0.866
DB_007	Scott Gray	9	No lights	-38.3320162	141.3873328	13/03/2023	13:28	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93797	0.002850	0.002850	300.711	0.000	0.000	-0.238	5.260	0.601
DB_008	Scott Gray	18	No lights	-38.3260988	141.3771828	13/03/2023	11:42	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94203	0.002850	0.002850	-301.099	0.000	0.000	-0.443	-5.031	-0.006
DB_008	Scott Gray	18	No lights	-38.3260988	141.3771828	13/03/2023	11:42	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94233	0.002850	0.002850	301.099	0.000	0.000	0.443	5.494	1.039
DB_009	Grace Cosgriff-Camm	19	No lights	-38.3356826	141.3771185	14/03/2023	9:30	No take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92509	0.002850	0.002850	-301.826	0.000	0.000	-0.285	-4.864	1.679
DB_009	Grace Cosgriff-Camm	19	No lights	-38.3356826	141.3771185	14/03/2023	9:30	No take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94302	0.002850	0.002850	301.826	0.000	0.000	0.285	4.400	1.041
