Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comments
DR_R1_20,-34.81795,136.2033333,20200410,14:27:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_R2_20,-34.8190167,136.2132333,20200410,14:08:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_R3_20,-34.81935,136.2059,20200410,14:23:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_R4_20,-34.8169,136.20985,20200410,14:15:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_R5_20,-34.8145,136.2172167,20200410,13:44:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_R6_20,-34.8237333,136.2185333,20200410,13:58:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_S1_20,-34.8207667,136.2207333,20200410,16:06:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_S2_20,-34.8145,136.2044833,20200410,16:29:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_S3_20,-34.821,136.2181167,20200410,16:39:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_S4_20,-34.8245833,136.2187833,20200410,15:58:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_S5_20,-34.8160333,136.2214167,20200410,15:32:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
DR_S6_20,-34.821767,136.214733,20200410,16:36:00,Dangerous Reef,No-take,Dangerous Reef,25,Britt Heath,Yes,No,NA
NN_R1_20,-35.2241667,136.07935,20200414,12:44:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
NN_R2_20,-35.2254333,136.0758,20200414,12:51:00,North Neptunes,No-take,North Neptunes,20,Britt Heath,Yes,No,NA
NN_R3_20,-35.22455,136.0781833,20200414,12:48:00,North Neptunes,No-take,North Neptunes,27,Britt Heath,Yes,No,NA
NN_R5_20,-35.2294667,136.0765,20200414,14:29:00,North Neptunes,No-take,North Neptunes,12,Britt Heath,Yes,No,NA
NN_R6_20,-35.2318167,136.0722667,20200414,14:23:00,North Neptunes,No-take,North Neptunes,17,Britt Heath,Yes,No,NA
NN_S1_20,-35.2345167,136.0745667,20200414,13:04:00,North Neptunes,No-take,North Neptunes,32,Britt Heath,Yes,No,NA
NN_S2_20,-35.22395,136.0761,20200414,12:39:00,North Neptunes,No-take,North Neptunes,32,Britt Heath,Yes,No,NA
NN_S3_20,-35.2253667,136.0727,20200414,12:56:00,North Neptunes,No-take,North Neptunes,27,Britt Heath,Yes,No,NA
NN_S4_20,-35.2297833,136.0699167,20200414,14:38:00,North Neptunes,No-take,North Neptunes,10.5,Britt Heath,Yes,No,NA
NN_S5_20,-35.2302,136.06945,20200414,14:34:00,North Neptunes,No-take,North Neptunes,8,Britt Heath,Yes,No,NA
NN_S6_20,-35.2333167,136.0760167,20200414,14:19:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
NN_R2_20_May,-35.22573333,136.07655,20200525,14:58:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
NN_R3_20_May,-35.22566667,136.0709333,20200525,15:05:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
NN_R4_20_May,-35.22278333,136.0688167,20200525,16:01:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
NN_R5_20_May,-35.22986667,136.0712167,20200525,16:10:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
NN_R6_20_May,-35.23341667,136.0742833,20200525,16:20:00,North Neptunes,No-take,North Neptunes,25,Britt Heath,Yes,No,NA
SN_R1_20,-35.32556667,136.1161167,20200522,10:49:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
SN_R2_20,-35.32415,136.1175833,20200522,10:42:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
SN_R3_20,-35.32301667,136.1182333,20200522,11:13:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
SN_R4_20,-35.32596667,136.1148167,20200522,11:44:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
SN_R5_20,-35.32826667,136.1159667,20200522,11:58:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
SN_R6_20,-35.32448333,136.1163667,20200522,12:11:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
SN_R7_20,-35.33205,136.1192333,20200522,16:23:00,South Neptunes,Fished,South Neptunes,25,Britt Heath,Yes,No,NA
