OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BAYULOC1_CAM49_RIG30	2	BAYULOC1_CAM49_RIG30_L_2.MP4	7499	BAYULOC1_CAM49_RIG30_R_2.MP4	6197	21.88856		-1	-93.12348	-146.87907	-1035.231	0.54058	0.53217	1.47717	12.44907	1049.73743	10.5211	Lutjanidae	Lutjanus	malabaricus	37346007	1	AD	Passing			
BAYULOC1_CAM50_RIG20	0	BAYULOC1_CAM50_RIG20_L_1.MP4	1212	BAYULOC1_CAM50_RIG20_R_1.MP4	1117	0.67401		-1	26.85123	-118.27968	-811.68021	0.42403	0.41498	0.91751	17.29368	820.69229	9.67701					0			synch point		
BAYULOC1_CAM50_RIG20	3	BAYULOC1_CAM50_RIG20_L_2.MP4	30072	BAYULOC1_CAM50_RIG20_R_2.MP4	29978	34.44166		-1	-12.64257	-207.69173	-1005.26717	0.51569	0.55023	1.38658	3.96168	1026.57575	12.89669	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing			
BAYULOC1_CAM50_RIG20	4	BAYULOC1_CAM50_RIG20_L_4.MP4	1498	BAYULOC1_CAM50_RIG20_R_4.MP4	1404	53.98676		-1	-144.69041	-236.38136	-760.76455	0.41465	0.43942	0.79719	0.03434	809.67535	21.05311	Serranidae	Epinephelus	areolatus	37311009	1	AD	Passing			
BAYULOC1_CAM52_RIG22	0	BAYULOC1_CAM52_RIG22_L_1.MP4	2387	BAYULOC1_CAM52_RIG22_R_1.MP4	2336	1.32744		-1	68.63842	-104.73099	-743.60091	0.39474	0.38442	0.76821	10.18159	754.07038	9.17489					0			synch point		
BAYULOC1_CAM53_RIG29	0	BAYULOC1_CAM53_RIG29_L_1.MP4	1461	BAYULOC1_CAM53_RIG29_R_1.MP4	1370	0.81248		-1	34.23912	-61.85252	-667.85461	0.36179	0.3371	0.64315	14.0965	671.58606	6.75479					0			synch point		
BAYULOC2A_CAM10_RIG28	0	BAYULOC2A_CAM10_RIG28_L_1.MP4	2420	BAYULOC2A_CAM10_RIG28_R_1.MP4	2418	1.34579		-1	48.87746	-95.3656	-550.05276	0.30051	0.28871	0.44574	1.38429	560.39418	11.65432					0			Sync Point		
BAYULOC2A_CAM3_RIG26	0	BAYULOC2A_CAM3_RIG26_L_1.MP4	1482	BAYULOC2A_CAM3_RIG26_R_1.MP4	1513	0.82416		-1	48.72168	-91.56626	-605.20529	0.35266	0.31696	0.57128	1.4969	614.02901	10.554					0			Sync Point		
BAYULOC2A_CAM4_RIG29	0	BAYULOC2A_CAM4_RIG29_L_1.MP4	1450	BAYULOC2A_CAM4_RIG29_R_1.MP4	1338	0.80636		-1	15.36859	-32.11413	-599.13005	0.32912	0.30252	0.52543	5.82746	600.18691	4.13793					0			Sync Point		
BAYULOC2A_CAM7_RIG23	0	BAYULOC2A_CAM7_RIG23_L_1.MP4	1048	BAYULOC2A_CAM7_RIG23_R_1.MP4	1083	0.58281		-1	-12.5239	-76.65625	-568.16149	0.29048	0.29025	0.44178	1.13605	573.44617	8.22327					0			Sync Time		
BAYULOC2_CAM17_RIG29	0	BAYULOC2_CAM17_RIG29_L_1.MP4	1865	BAYULOC2_CAM17_RIG29_R_1.MP4	2015	1.03715		-1	17.30806	-77.96637	-612.24187	0.33534	0.31361	0.54763	0.37078	617.42889	8.21609					0			Sync Point		
