OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value													
BAYULOC2A_CAM7_RIG23	Brigit Vaughan	44.9 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2A_CAM8_RIG20	Brigit Vaughan	46.1 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2A_CAM9_RIG27	Brigit Vaughan	47.9 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2_CAM17_RIG29	Brigit Vaughan	96.2 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2_CAM18_RIG26	Brigit Vaughan	82.1 m																														
BAYULOC2_CAM19_RIG30	Brigit Vaughan	77.9 m																														
BAYULOC2_CAM20_RIG24	Brigit Vaughan	77.8 m																														
BAYULOC2_CAM21_RIG24	Brigit Vaughan	91.9 m																														
BAYULOC2_CAM22_RIG30	Brigit Vaughan	91.6 m																														
BAYULOC2_CAM23_RIG26	Brigit Vaughan	94.7 m																														
BAYULOC2_CAM24_RIG29	Brigit Vaughan	91.2 m																														
BAYULOC2_CAM26_RIG25	Brigit Vaughan	97.3 m																														
BAYULOC2_CAM27_RIG23	Brigit Vaughan	98.4 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2_CAM29_RIG28	Brigit Vaughan	98.6 m																														
BAYULOC2_CAM48_RIG20	Brigit Vaughan	102.3 m																														
BAYULOC2_CAM49_RIG27	Brigit Vaughan	97 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2_CAM50_RIG28	Brigit Vaughan	76 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2_CAM51_RIG28	Brigit Vaughan	75.1 m																														
BAYULOC2_CAM52_RIG27	Brigit Vaughan	76.4 m																														
BAYULOC2_CAM53_RIG20	Brigit Vaughan	75.7 m																														
BAYULOC2_CAM54_RIG23	Brigit Vaughan	75.4 m																														
BAYULOC2_CAM58_RIG26	Brigit Vaughan	75.9 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC2_CAM59_RIG30	Brigit Vaughan	76 m																														
BAYULOC2_CAM60_RIG24	Brigit Vaughan	76.2 m																														
BAYULOC3_CAM10_RIG28	Brigit Vaughan	72.3 m																														
BAYULOC3_CAM1_RIG24	Brigit Vaughan	74.2 m																														
BAYULOC3_CAM21_RIG24	Brigit Vaughan	73 m																														
BAYULOC3_CAM22_RIG30	Brigit Vaughan	73.6 m																														
BAYULOC3_CAM23_RIG26	Brigit Vaughan	74.8 m																														
BAYULOC3_CAM24_RIG29	Brigit Vaughan	73.6 m																														
BAYULOC3_CAM25_RIG22	Brigit Vaughan	72.5 m																														
BAYULOC3_CAM26_RIG25	Brigit Vaughan	73 m																														
BAYULOC3_CAM27_RIG23	Brigit Vaughan	74.9 m																														
BAYULOC3_CAM28_RIG20	Brigit Vaughan	71.7 m																														
BAYULOC3_CAM29_RIG27	Katherine Cure	72.3 m																														
BAYULOC3_CAM2_RIG30	Brigit Vaughan	74.1 m																														
BAYULOC3_CAM30_RIG28	Katherine Cure	74 m																														
BAYULOC3_CAM31_RIG28	Katherine Cure	73.3 m																														
BAYULOC3_CAM32_RIG27	Katherine Cure	22 m																														
BAYULOC3_CAM33_RIG20	Katherine Cure	30.4 m																														
BAYULOC3_CAM34_RIG23	Katherine Cure	62.3 m																														
BAYULOC3_CAM35_RIG25	Katherine Cure	72.5m																														
BAYULOC3_CAM36_RIG22	Katherine Cure	80.9 m																														
BAYULOC3_CAM37_RIG29	Katherine Cure	76.5 m																														
BAYULOC3_CAM38_RIG26	Katherine Cure	75 m																														
BAYULOC3_CAM39_RIG30	Katherine Cure	73.9 m																														
BAYULOC3_CAM3_RIG26	Brigit Vaughan	75.4 m																														
BAYULOC3_CAM40_RIG24	Katherine Cure	73.9 m																														
BAYULOC3_CAM41_RIG24	Katherine Cure	71.7 m																														
BAYULOC3_CAM42_RIG30	Brigit Vaughan	71.5 m																														
BAYULOC3_CAM43_RIG26	Brigit Vaughan	72 m																														
BAYULOC3_CAM44_RIG29	Brigit Vaughan	71.7 m																														
BAYULOC3_CAM45_RIG22	Brigit Vaughan	71.2 m																														
BAYULOC3_CAM46_RIG25	Brigit Vaughan	71.8 m																														
BAYULOC3_CAM47_RIG23	Brigit Vaughan	71.5 m																														
BAYULOC3_CAM48_RIG20	Brigit Vaughan	70.1 m																														
BAYULOC3_CAM49_RIG27	Brigit Vaughan	71.4 m																														
BAYULOC3_CAM4_RIG29	Brigit Vaughan	71.9 m																														
BAYULOC3_CAM50_RIG28	Brigit Vaughan	73.3 m																														
BAYULOC3_CAM5_RIG22	Brigit Vaughan	70.4 m																														
BAYULOC3_CAM6_RIG25	Brigit Vaughan	63.3 m																														
BAYULOC3_CAM7_RIG23	Brigit Vaughan	39.7 m																														
BAYULOC3_CAM8_RIG20	Brigit Vaughan	70.7 m																														
BAYULOC3_CAM9_RIG27	Brigit Vaughan	71.9 m																														
BAYULOC4_CAM11_RIG28	Katherine Cure	59.6 m																														
BAYULOC4_CAM12_RIG27	Katherine Cure	59.9 m																														
BAYULOC4_CAM13_RIG20	Katherine Cure	54.9 m																														
BAYULOC4_CAM14_RIG23	Katherine Cure	44.4 m																														
BAYULOC4_CAM15_RIG25	Brigit Vaughan	48.3 m																														
BAYULOC4_CAM16_RIG22	Brigit Vaughan	51.1 m																														
BAYULOC4_CAM17_RIG29	Brigit Vaughan	54.6 m																														
BAYULOC4_CAM18_RIG26	Brigit Vaughan	57.2 m																														
BAYULOC4_CAM19_RIG30	Brigit Vaughan	55.2 m																														
BAYULOC4_CAM20_RIG24	Brigit Vaughan	52.8 m																														
BAYULOC4_CAM21_RIG24	Brigit Vaughan	67 m																														
BAYULOC4_CAM22_RIG30	Brigit Vaughan	57.8 m																														
BAYULOC4_CAM23_RIG26	Brigit Vaughan	57.8 m																														
BAYULOC4_CAM24_RIG29	Brigit Vaughan	60.6 m																														
BAYULOC4_CAM25_RIG22	Brigit Vaughan	63.3 m																														
BAYULOC4_CAM26_RIG25	Brigit Vaughan	67.8 m																														
BAYULOC4_CAM27_RIG23	Brigit Vaughan	69 m																														
