opcode,latitude_dd,longitude_dd,date_raw,time_raw,year,month,day,date_time,time.out,planned.or.exploratory,site,location,status,commonwealth.zone,depth_m,observer_count,Maxn.complete.yyyymmdd,Maxn.checker,successful_count,successful_length,FishnClip,Observer_raw,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,forward_habitat_image_saved,backward_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,Video.notes,Vis.in.metres,Habitat.classification ,observer_length,Length.complete.date.yyyymmdd,Notes
18,-34.128679,114.924078,20200602,14:25,2020,06,02,2020-06-02T14:25+08:00,15:34,Captains pick,c1,South-west,No-take,National Park Zone,35.8,Hayley Sims,19.11.20,Brooke,Yes,No,Y,Hayley Sims,369,370,440,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Ends at 54 min. Camera error - no left videos,,,Rachel,20210222,
19,-34.122542,114.927818,20200602,14:30,2020,06,02,2020-06-02T14:30+08:00,15:44,Captains pick,c1,South-west,No-take,National Park Zone,44.9,,,,No,No,NA,,564,561,420,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Files not there - Kye has back up,,,gopro,,
20,-34.130219,114.820233,20200603,08:16,2020,06,03,2020-06-03T08:16+08:00,09:17,MBH,c8,South-west,No-take,National Park Zone,51.7,Hayley Sims,03.12.20,Brooke,Yes,No,,Hayley Sims,564,561,420,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Used different settings for GoPros from here on 1440,,,,,
21,-34.128151,114.817448,20200603,08:24,2020,06,03,2020-06-03T08:24+08:00,09:26,MBH,c8,South-west,No-take,National Park Zone,52.4,Hayley Sims,19.11.20,Brooke,Yes,Yes,Y,Hayley Sims,369,370,440,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210216,
22,-34.126271,114.819552,20200603,08:32,2020,06,03,2020-06-03T08:32+08:00,09:36,MBH,c8,South-west,No-take,National Park Zone,51.9,Hayley Sims,19.11.20,Brooke,Yes,Yes,Y,Hayley Sims,375,376,416,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210216,
23,-34.124217,114.817017,20200603,08:38,2020,06,03,2020-06-03T08:38+08:00,09:43,MBH,c8,South-west,No-take,National Park Zone,51.3,Hayley Sims,20.11.20,Brooke/Rachel,Yes,Yes,Y,Hayley Sims,373,374,423,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210216,
24,-34.118739,114.826402,20200603,08:47,2020,06,03,2020-06-03T08:47+08:00,09:55,MBH,c7,South-west,No-take,National Park Zone,49.8,Hayley Sims,20.11.20,Brooke/Rachel,Yes,Yes,Y,Hayley Sims,372,371,422,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210216,
25,-34.116829,114.828432,20200603,08:54,2020,06,03,2020-06-03T08:54+08:00,10:01,MBH,c7,South-west,No-take,National Park Zone,48.4,Hayley Sims,20.11.20,Brooke,Yes,Yes,Y,Hayley Sims,378,377,439,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210223,
26,-34.120881,114.828907,20200603,09:02,2020,06,03,2020-06-03T09:02+08:00,10:08,MBH,c7,South-west,No-take,National Park Zone,48.4,Hayley Sims,23.11.20,Brooke,Yes,Yes,Y,Hayley Sims,367,368,441,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210223,
27,-34.121824,114.832898,20200603,10:19,2020,06,03,2020-06-03T10:19+08:00,11:23,MBH,c7,South-west,No-take,National Park Zone,47.8,Hayley Sims,23.11.20,Brooke,Yes,Yes,Y,Hayley Sims,367,368,441,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210223,
