broad,morphology,type
Invertebrate Complex,Complex 2,NA
Invertebrate Complex,Complex 1,NA
Invertebrate Complex,Complex 4,NA
Invertebrate Complex,Complex 3,NA
Open Water,NA,NA
Octocoral/Black,Fan (2D),NA
Sponges,Erect forms,Branching
Unconsolidated,Sand / mud (coarse sand),NA
Sponges,Massive forms,Multi Form
Sponges,Massive forms,Simple
Unconsolidated,Pebble / gravel (biogenic),Coquina/Shellhash
Unconsolidated,Pebble / gravel (pebble 10-64mm),NA
Sponges,Erect forms,Palmate
Echinodermata,Ophiuroids,Brittle stars
Bryozoa,Soft,NA
Sponges,Crusts,Encrusting
Sponges,Erect forms,Lamiar
Sponges,Large Multi Form >10cm,NA
Hydroids,NA,NA
