Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Observer.length,Length.complete.date.yyyymmdd,Notes
19.05,113.8291331,-21.99757511,20190816,14:59:00,19,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191106,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200322,
19.08,113.8234315,-21.99412613,20190816,15:03:00,19,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191106,Todd,Yes,Yes,375,376,420,Pelagic BRUVs deployed,2,2,Yes,Yes,20200305,Charlotte Aston,20200323,
23.01,114.0835652,-21.68647769,20190817,13:22:00,23,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191111,Todd,Yes,Yes,373,374,439,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,
23.02,114.0785763,-21.68555797,20190817,13:28:00,23,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191111,Todd,Yes,Yes,367,368,440,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,
23.03,114.0811896,-21.68233893,20190817,13:31:00,23,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191111,Todd,Yes,Yes,378,377,423,Backwards camera wasn't turned on. Photos start here,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,
23.04,114.0845155,-21.67980968,20190817,13:35:00,23,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191112,Todd,Yes,Yes,369,370,422,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,
23.06,114.0944932,-21.67475118,20190817,13:46:00,23,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191112,Todd,Yes,Yes,375,376,420,,3,2,Yes,Yes,20200305,Charlotte Aston,20200323,
23.09,114.0747,-21.706867,20190817,13:13:00,23,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191112,Todd,Yes,Yes,372,371,564,21 24.412S 114 4.482E,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
30.01,113.90413,-21.91122,20190817,10:04:00,30,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191112,Todd,No,No,375,376,420,Flipped on back,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
30.02,113.90722,-21.90687,20190817,10:08:00,30,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191115,Todd,Yes,Yes,369,370,422,Bouncing,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
30.03,113.91082,-21.89999,20190817,10:13:00,30,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191115,Todd,Yes,Yes,378,377,423,,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
30.04,113.91423,-21.89513,20190817,10:16:00,30,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191115,Todd,Yes,Yes,367,368,440,,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
30.05,113.91801,-21.88983,20190817,10:20:00,30,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191115,Todd,Yes,Yes,373,374,439,,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
30.06,113.9202,-21.8876,20190817,10:23:00,30,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190902,Todd,Yes,Yes,372,371,564,Sunny but windy. Lobster. Converted wrong. ,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20191205,Measurements accepted at high RMS. Ask about nematophorus
31.01,114.08985,-21.6873167,20190817,15:25:00,31,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191127,Todd,Yes,Yes,375,376,420,Filmed 30 on lab sheet,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
31.02,114.09,-21.6919667,20190817,15:29:00,31,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190903,Todd,Yes,Yes,369,370,422,Filmed 30 on lab sheet. Converted wrong. ,3,2,Yes,Yes,20200305,Charlotte Aston,20200403,
31.03,114.0887667,-21.69445,20190817,15:31:00,31,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191126,Todd,Yes,Yes,378,377,423,Filmed 30 on lab sheet,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20200324,
31.04,114.0877667,-21.69635,20190817,15:34:00,31,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191202,Todd,Yes,Yes,367,368,440,Rankin,3,2,Yes,Yes,20200305,Charlotte Aston,20200324,
31.05,114.0814333,-21.70045,20190817,15:39:00,31,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190903,Todd,Yes,Yes,373,374,439,Converted wrong. ,3,2 (subfolder),Yes,Yes,20200305,Charlotte Aston,20200304,
31.06,114.0774833,-21.7025167,20190817,15:45:00,31,Ningaloo Marine Park,Fished,0,Charlotte Aston,20191126,Todd,Yes,Yes,372,371,564,,3,2,Yes,Yes,20200305,Charlotte Aston,20200325,
