Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
ST HHENOW3,-27.39494558,153.2245008,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW4,-27.39556072,153.2259211,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW5,-27.39632964,153.2276532,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW6,-27.39728309,153.2294546,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW7,-27.3983288,153.2314638,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
ST HHENOW8,-27.39949753,153.2342005,20140701,13:00:00,St Helena S G,No-take,7,2,Ben,Yes,No
GREEE FIW1,-27.42991181,153.2453426,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW2,-27.42841256,153.2451709,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW3,-27.42686245,153.2451422,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW4,-27.42490574,153.2449991,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW5,-27.4235843,153.2449991,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW6,-27.42221201,153.2448273,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW7,-27.43087743,153.2455717,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
GREEE FIW8,-27.43240206,153.2457148,20140701,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
KINGFIW1,-27.45107714,153.2448273,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIW2,-27.45183933,153.2464019,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIW3,-27.45300799,153.2477475,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
