Sample,Latitude,Longitude,Date_time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,DBCA_Zone,DBCA_Sanctuary,Date,Time
SBMP_20200320_S8-1_BRUV,-25.92486386,113.1875366,2020-03-20T15:20:25Z,S8,Shark Bay,Fished,4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:20:25
SBMP_20200320_S8-2_BRUV,-25.92706615,113.1914353,2020-03-20T15:27:34Z,S8,Shark Bay,Fished,4.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:27:34
SBMP_20200320_S8-3_BRUV,-25.92970741,113.1939649,2020-03-20T15:30:28Z,S8,Shark Bay,Fished,5.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:30:28
SBMP_20200320_S8-4_BRUV,-25.93196922,113.1964499,2020-03-20T15:33:57Z,S8,Shark Bay,Fished,7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:33:57
SBMP_20200320_S8-5_BRUV,-25.93451376,113.1996939,2020-03-20T15:39:36Z,S8,Shark Bay,Fished,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:39:36
SBMP_20200320_S8-6_BRUV,-25.93937591,113.1925513,2020-03-20T15:45:41Z,S8,Shark Bay,Fished,4.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:45:41
SBMP_20200320_S8-7_BRUV,-25.941541,113.1935929,2020-03-20T15:48:04Z,S8,Shark Bay,Fished,4.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:48:04
SBMP_20200320_S8-8_BRUV,-25.94466959,113.1964499,2020-03-20T15:51:18Z,S8,Shark Bay,Fished,6.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:51:18
SBMP_20200320_S8-9_BRUV,-25.94828923,113.1967029,2020-03-20T15:54:53Z,S8,Shark Bay,Fished,5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:54:53
SBMP_20200320_S8-10_BRUV,-25.95238876,113.1968964,2020-03-20T15:58:21Z,S8,Shark Bay,Fished,4.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:58:21
SBMP_20200321_S2-1_BRUV,-26.13686914,113.252885,2020-03-21T08:01:11Z,S2,Shark Bay,Fished,3.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:01:11
SBMP_20200321_S2-2_BRUV,-26.13379636,113.2538671,2020-03-21T08:05:13Z,S2,Shark Bay,Fished,4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:05:13
SBMP_20200321_S2-3_BRUV,-26.12968938,113.2552659,2020-03-21T08:08:26Z,S2,Shark Bay,Fished,3.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:08:26
SBMP_20200321_S2-4_BRUV,-26.12605858,113.255742,2020-03-21T08:11:12Z,S2,Shark Bay,Fished,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:11:12
SBMP_20200321_S2-5_BRUV,-26.12230129,113.256367,2020-03-21T08:13:59Z,S2,Shark Bay,Fished,4.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:13:59
SBMP_20200321_S3-1_BRUV,-26.10511451,113.2521708,2020-03-21T08:22:45Z,S3,Shark Bay,Fished,2.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:22:45
SBMP_20200321_S3-2_BRUV,-26.10154322,113.2503553,2020-03-21T08:26:03Z,S3,Shark Bay,Fished,2.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:26:03
SBMP_20200321_S3-4_BRUV,-26.09422007,113.2467912,2020-03-21T08:31:58Z,S3,Shark Bay,Fished,2.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:31:58
SBMP_20200321_S3-3_BRUV,-26.09859875,113.2486068,2020-03-21T08:28:40Z,S3,Shark Bay,Fished,2.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,08:28:40
SBMP_20200321_S4-1_BRUV,-26.07417891,113.2317529,2020-03-21T10:03:02Z,S4,Shark Bay,Fished,4.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:03:02
SBMP_20200321_S4-2_BRUV,-26.07044101,113.2310053,2020-03-21T10:06:05Z,S4,Shark Bay,Fished,3.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:06:05
