Sample,Latitude,Longitude,Date_time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,DBCA_Zone,DBCA_Sanctuary,Date,Time
SBMP_20200321_S4-3_BRUV,-26.06809147,113.2296169,2020-03-21T10:08:50Z,S4,Shark Bay,Fished,3.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:08:50
SBMP_20200321_S4-4_BRUV,-26.06574194,113.2286558,2020-03-21T10:10:33Z,S4,Shark Bay,Fished,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:10:33
SBMP_20200321_S4-5_BRUV,-26.0634992,113.2278014,2020-03-21T10:13:06Z,S4,Shark Bay,Fished,3.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:13:06
SBMP_20200321_S5-1_BRUV,-26.0559433,113.2653139,2020-03-21T10:28:41Z,S5,Shark Bay,Fished,3.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:28:41
SBMP_20200321_S5-2_BRUV,-26.05311317,113.2669692,2020-03-21T10:31:34Z,S5,Shark Bay,Fished,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:31:34
SBMP_20200321_S5-3_BRUV,-26.05017625,113.2688382,2020-03-21T10:34:17Z,S5,Shark Bay,Fished,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:34:17
SBMP_20200321_S5-4_BRUV,-26.04792016,113.2703867,2020-03-21T10:37:15Z,S5,Shark Bay,Fished,3.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200321,10:37:15
SBMP_20200322_S7-5_BRUV,-26.01315933,113.3698503,2020-03-22T08:03:31Z,S7,Shark Bay,Fished,8.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:03:31
SBMP_20200322_S7-4_BRUV,-26.01447035,113.3720277,2020-03-22T08:05:59Z,S7,Shark Bay,Fished,8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:05:59
SBMP_20200322_S7-3_BRUV,-26.01637228,113.3737118,2020-03-22T08:08:09Z,S7,Shark Bay,Fished,9.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:08:09
SBMP_20200322_S7-2_BRUV,-26.01806068,113.3751797,2020-03-22T08:10:10Z,S7,Shark Bay,Fished,9.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:10:10
SBMP_20200322_S7-1_BRUV,-26.01978347,113.3767747,2020-03-22T08:12:24Z,S7,Shark Bay,Fished,8.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:12:24
SBMP_20200322_S9-1_BRUV,-26.04134042,113.3916713,2020-03-22T08:26:44Z,S9,Shark Bay,Fished,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:26:44
SBMP_20200322_S9-2_BRUV,-26.04314848,113.3927407,2020-03-22T08:28:32Z,S9,Shark Bay,Fished,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:28:32
SBMP_20200322_S9-3_BRUV,-26.04489927,113.3945717,2020-03-22T08:30:22Z,S9,Shark Bay,Fished,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:30:22
SBMP_20200322_S9-4_BRUV,-26.04598847,113.3966375,2020-03-22T08:32:10Z,S9,Shark Bay,Fished,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:32:10
SBMP_20200322_S9-5_BRUV,-26.04687453,113.3989877,2020-03-22T08:34:14Z,S9,Shark Bay,Fished,7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:34:14
SBMP_20200322_SLI-1_BRUV,-26.22722188,113.5167626,2020-03-22T12:01:58Z,SLI,Shark Bay,Fished,6.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:01:58
SBMP_20200322_SLI-2_BRUV,-26.22738408,113.5189297,2020-03-22T12:04:16Z,SLI,Shark Bay,Fished,6,Yes,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:04:16
SBMP_20200322_SLI-3_BRUV,-26.22731002,113.5213211,2020-03-22T12:06:17Z,SLI,Shark Bay,Fished,5.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:06:17
SBMP_20200322_SLI-4_BRUV,-26.22781558,113.523963,2020-03-22T12:08:16Z,SLI,Shark Bay,Fished,5.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:08:16
SBMP_20200322_SLI-5_BRUV,-26.22839285,113.5265379,2020-03-22T12:10:29Z,SLI,Shark Bay,Fished,6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:10:29
SBMP_20200322_S12-5_BRUV,-26.22079967,113.5027542,2020-03-22T12:21:14Z,S12,Shark Bay,Fished,5.5,Yes,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:21:14
SBMP_20200322_S12-4_BRUV,-26.21944358,113.5000254,2020-03-22T12:24:07Z,S12,Shark Bay,Fished,4.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:24:07
SBMP_20200322_S12-3_BRUV,-26.21773885,113.498567,2020-03-22T12:26:37Z,S12,Shark Bay,Fished,5.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:26:37
SBMP_20200322_S12-2_BRUV,-26.21609545,113.4971624,2020-03-22T12:28:36Z,S12,Shark Bay,Fished,4.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:28:36
SBMP_20200322_S12-1_BRUV,-26.21420962,113.4957825,2020-03-22T12:30:43Z,S12,Shark Bay,Fished,4.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:30:43
SBMP_20200323_S13-1_BRUV,-26.29276433,113.5754724,2020-03-23T08:53:55Z,S13,Shark Bay,Fished,6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,08:53:55
SBMP_20200323_S13-2_BRUV,-26.29534903,113.5755462,2020-03-23T08:56:28Z,S13,Shark Bay,Fished,7,No,No,Caprice Hyde,Chris Douglas,General Use,NA,20200323,08:56:28
SBMP_20200323_S13-3_BRUV,-26.29778603,113.576137,2020-03-23T08:58:49Z,S13,Shark Bay,Fished,8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,08:58:49
SBMP_20200323_S13-4_BRUV,-26.30007533,113.576137,2020-03-23T09:00:35Z,S13,Shark Bay,Fished,9,No,No,Caprice Hyde,Chris Douglas,General Use,NA,20200323,09:00:35
SBMP_20200323_S13-5_BRUV,-26.30280773,113.5765801,2020-03-23T09:02:27Z,S13,Shark Bay,Fished,10,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,09:02:27
SBMP_20200323_S15-1_BRUV,-26.26642287,113.7782751,2020-03-23T12:13:20Z,S15,Shark Bay,Fished,9.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,12:13:20
SBMP_20200323_S15-2_BRUV,-26.26561976,113.7746011,2020-03-23T12:15:34Z,S15,Shark Bay,Fished,9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,12:15:34
SBMP_20200323_S15-3_BRUV,-26.26436434,113.771758,2020-03-23T12:17:54Z,S15,Shark Bay,Fished,8.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,12:17:54
SBMP_20200323_S15-4_BRUV,-26.26296122,113.7693948,2020-03-23T12:19:48Z,S15,Shark Bay,Fished,9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,12:19:48
SBMP_20200323_S15-5_BRUV,-26.26185349,113.7671794,2020-03-23T12:22:03Z,S15,Shark Bay,Fished,9.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,12:22:03
SBMP_20200323_S16-1_BRUV,-26.23183405,113.6812935,2020-03-23T13:49:04Z,S16,Shark Bay,Fished,5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,13:49:04
SBMP_20200323_S16-2_BRUV,-26.23323718,113.6834351,2020-03-23T13:51:08Z,S16,Shark Bay,Fished,5.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,13:51:08
SBMP_20200323_S16-3_BRUV,-26.2343449,113.6860198,2020-03-23T13:52:55Z,S16,Shark Bay,Fished,4.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,13:52:55
SBMP_20200323_S16-4_BRUV,-26.23526801,113.6880876,2020-03-23T13:54:45Z,S16,Shark Bay,Fished,5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,13:54:45
SBMP_20200323_S16-5_BRUV,-26.23641728,113.6902984,2020-03-23T13:56:25Z,S16,Shark Bay,Fished,5.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,13:56:25
SBMP_20200324_S17-1_BRUV,-25.79088031,113.4263455,2020-03-24T13:01:04Z,S17,Shark Bay,Fished,4.6,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:01:04
SBMP_20200324_S17-2_BRUV,-25.79310244,113.426901,2020-03-24T13:03:48Z,S17,Shark Bay,Fished,4.7,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:03:48
SBMP_20200324_S17-3_BRUV,-25.79585034,113.427774,2020-03-24T13:06:08Z,S17,Shark Bay,Fished,4.5,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:06:08
SBMP_20200324_S17-4_BRUV,-25.79801295,113.4285577,2020-03-24T13:07:55Z,S17,Shark Bay,Fished,4.2,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:07:55
SBMP_20200324_S17-5_BRUV,-25.80077077,113.429272,2020-03-24T13:09:49Z,S17,Shark Bay,Fished,4,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:09:49
SBMP_20200324_S18-1_BRUV,-25.77026608,113.4068423,2020-03-24T13:36:03Z,S18,Shark Bay,Fished,4.7,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:36:03
SBMP_20200324_S18-2_BRUV,-25.76901613,113.4049277,2020-03-24T13:38:35Z,S18,Shark Bay,Fished,4.6,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:38:35
SBMP_20200324_S18-3_BRUV,-25.76770666,113.4034,2020-03-24T13:40:30Z,S18,Shark Bay,Fished,4.7,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:40:30
SBMP_20200324_S18-4_BRUV,-25.76594086,113.4014557,2020-03-24T13:43:04Z,S18,Shark Bay,Fished,4.8,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:43:04
SBMP_20200324_S18-5_BRUV,-25.76443299,113.3997494,2020-03-24T13:45:24Z,S18,Shark Bay,Fished,4.5,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200324,13:45:24
SBMP_20200325_HB-1_BRUV,-25.5511838,113.52657,2020-03-25T08:09:53Z,HB,Shark Bay,Fished,6.6,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200325,08:09:53
SBMP_20200325_HB-2_BRUV,-25.55310152,113.5272862,2020-03-25T08:12:04Z,HB,Shark Bay,Fished,4.8,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200325,08:12:04
SBMP_20200325_HB-3_BRUV,-25.55660925,113.5277769,2020-03-25T08:15:23Z,HB,Shark Bay,Fished,5.3,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200325,08:15:23
SBMP_20200325_HB-4_BRUV,-25.56003178,113.5280867,2020-03-25T08:18:00Z,HB,Shark Bay,Fished,6.4,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200325,08:18:00
SBMP_20200325_HB-5_BRUV,-25.56330943,113.5300167,2020-03-25T08:20:44Z,HB,Shark Bay,Fished,7,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200325,08:20:44
SBMP_20200325_S26-1_BRUV,-25.60445503,113.9129523,2020-03-25T11:38:40Z,S26,Shark Bay,Fished,8.5,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200325,11:38:40
SBMP_20200325_S26-2_BRUV,-25.60387958,113.9157493,2020-03-25T11:40:46Z,S26,Shark Bay,Fished,8.7,Yes,Yes,Chris Douglas,Chris Douglas,SP Seagrass Protection,Disappointment Reach,20200325,11:40:46
SBMP_20200325_S26-3_BRUV,-25.60252195,113.9187982,2020-03-25T11:42:58Z,S26,Shark Bay,Fished,8.5,Yes,Yes,Chris Douglas,Chris Douglas,SP Seagrass Protection,Disappointment Reach,20200325,11:42:58
SBMP_20200325_S26-4_BRUV,-25.60104427,113.9217634,2020-03-25T11:45:15Z,S26,Shark Bay,Fished,8.8,Yes,Yes,Chris Douglas,Chris Douglas,SP Seagrass Protection,Disappointment Reach,20200325,11:45:15
SBMP_20200325_S26-5_BRUV,-25.59972653,113.9239733,2020-03-25T11:46:42Z,S26,Shark Bay,Fished,9,No,No,Chris Douglas,Chris Douglas,SP Seagrass Protection,Disappointment Reach,20200325,11:46:42
SBMP_20200325_S25-2_BRUV,-25.6584307,113.9378271,2020-03-25T13:44:25Z,S25,Shark Bay,No-take,5,Yes,Yes,Chris Douglas,Chris Douglas,Sanctuary,Disappointment Reach,20200325,13:44:25
SBMP_20200325_S25-3_BRUV,-25.66048,113.9406077,2020-03-25T13:46:49Z,S25,Shark Bay,No-take,5,Yes,Yes,Chris Douglas,Chris Douglas,Sanctuary,Disappointment Reach,20200325,13:46:49
SBMP_20200325_S25-4_BRUV,-25.66172175,113.9426954,2020-03-25T13:50:04Z,S25,Shark Bay,No-take,5,Yes,Yes,Chris Douglas,Chris Douglas,Sanctuary,Disappointment Reach,20200325,13:50:04
SBMP_20200325_S25-5_BRUV,-25.66351675,113.9443203,2020-03-25T13:52:03Z,S25,Shark Bay,No-take,5,Yes,Yes,Chris Douglas,Chris Douglas,Sanctuary,Disappointment Reach,20200325,13:52:03
SBMP_20200325_S25-1_BRUV,-25.65712347,113.9349303,2020-03-25T13:42:05Z,S25,Shark Bay,No-take,5,Yes,Yes,Chris Douglas,Chris Douglas,Sanctuary,Disappointment Reach,20200325,13:42:05
SBMP_20200326_S27-1_BRUV,-25.88690635,114.0954037,2020-03-26T07:40:20Z,S17,Shark Bay,Fished,10,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,07:40:20
SBMP_20200326_S27-2_BRUV,-25.8853588,114.0939752,2020-03-26T07:42:56Z,S27,Shark Bay,Fished,8.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,07:42:56
SBMP_20200326_S27-3_BRUV,-25.88422789,114.0918622,2020-03-26T07:45:40Z,S27,Shark Bay,Fished,7.6,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,07:45:40
SBMP_20200326_S27-4_BRUV,-25.88226369,114.0899575,2020-03-26T07:47:47Z,S27,Shark Bay,Fished,6.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,07:47:47
SBMP_20200326_S27-5_BRUV,-25.88080541,114.0873981,2020-03-26T07:50:04Z,S27,Shark Bay,Fished,7.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,07:50:04
SBMP_20200326_S28-3_BRUV,-25.89924055,114.0652826,2020-03-26T08:16:53Z,S28,Shark Bay,Fished,8,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,08:16:53
SBMP_20200326_S28-4_BRUV,-25.90151139,114.0662795,2020-03-26T08:20:39Z,S28,Shark Bay,Fished,8.6,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,08:20:39
SBMP_20200326_S28-5_BRUV,-25.90367146,114.0665565,2020-03-26T08:23:22Z,S28,Shark Bay,Fished,8,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,08:23:22
SBMP_20200326_S28-1_BRUV,-25.89430423,114.0661757,2020-03-26T08:06:23Z,S28,Shark Bay,Fished,10,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,08:06:23
SBMP_20200326_S28-2_BRUV,-25.8969074,114.0651787,2020-03-26T08:12:35Z,S28,Shark Bay,Fished,9.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,08:12:35
SBMP_20200326_S29-1_BRUV,-25.98633676,114.0777854,2020-03-26T10:10:25Z,S29,Shark Bay,Fished,8.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,10:10:25
SBMP_20200326_S29-2_BRUV,-25.98259,114.07801,2020-03-26T10:14:36Z,S29,Shark Bay,Fished,8.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,10:14:36
SBMP_20200326_S29-3_BRUV,-25.97973,114.07825,2020-03-26T10:15:24Z,S29,Shark Bay,Fished,9,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,10:15:24
SBMP_20200326_S29-4_BRUV,-25.97743,114.0783,2020-03-26T10:17:20Z,S29,Shark Bay,Fished,8.5,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,10:17:20
SBMP_20200326_S29-5_BRUV,-25.97497,114.07851,2020-03-26T10:19:07Z,S29,Shark Bay,Fished,9,Yes,Yes,Kirsty,Chris Douglas,General Use,NA,20200326,10:19:07
SBMP_20200326_S30-1_BRUV,-25.8151635,114.0405408,2020-03-26T12:29:52Z,S30,Shark Bay,Fished,7.8,Yes,Yes,Kirsty,Chris Douglas,General Use,Disappointment Reach,20200326,12:29:52
SBMP_20200326_S30-2_BRUV,-25.81306,114.03888,2020-03-26T12:33:00Z,S30,Shark Bay,Fished,8.5,Yes,Yes,Kirsty,Chris Douglas,General Use,Disappointment Reach,20200326,12:33:00
SBMP_20200326_S30-3_BRUV,-25.81115,114.03785,2020-03-26T12:36:01Z,S30,Shark Bay,Fished,9,Yes,Yes,Chris Douglas,Chris Douglas,General Use,Disappointment Reach,20200326,12:36:01
SBMP_20200326_S30-4_BRUV,-25.8091,114.03634,2020-03-26T12:38:20Z,S30,Shark Bay,Fished,8.5,Yes,Yes,Chris Douglas,Chris Douglas,General Use,Disappointment Reach,20200326,12:38:20
SBMP_20200326_S30-5_BRUV,-25.807,114.03487,2020-03-26T12:40:29Z,S30,Shark Bay,Fished,8,Yes,Yes,Chris Douglas,Chris Douglas,General Use,Disappointment Reach,20200326,12:40:29
SBMP_20200327_S31-1_BRUV,-25.76171,113.71479,2020-03-27T07:33:43Z,S31,Shark Bay,Fished,6.5,Yes,No,Chris Douglas,Chris Douglas,General Use,NA,20200327,07:33:43
SBMP_20200327_S31-2_BRUV,-25.76352,113.7161,2020-03-27T07:36:08Z,S31,Shark Bay,Fished,6,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200327,07:36:08
SBMP_20200327_S31-3_BRUV,-25.76543,113.71792,2020-03-27T07:40:24Z,S31,Shark Bay,Fished,6,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200327,07:40:24
SBMP_20200327_S31-4_BRUV,-25.76688,113.71954,2020-03-27T07:41:47Z,S31,Shark Bay,Fished,6.5,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200327,07:41:47
SBMP_20200327_S31-5_BRUV,-25.76821,113.72227,2020-03-27T07:42:32Z,S31,Shark Bay,Fished,8,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200327,07:42:32
SBMP_20200320_H1-1_BRUV,-25.9796588,113.1894586,2020-03-20T13:37:57Z,H1,Shark Bay,Fished,2.08,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,13:37:57
SBMP_20200320_H1-2_BRUV,-25.981332,113.1907119,2020-03-20T13:45:41Z,H1,Shark Bay,Fished,2.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,13:45:41
SBMP_20200320_H1-3_BRUV,-25.98392787,113.1906729,2020-03-20T13:51:38Z,H1,Shark Bay,Fished,2.3,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,13:51:38
SBMP_20200320_H1-4_BRUV,-25.98624175,113.1910889,2020-03-20T13:57:00Z,H1,Shark Bay,Fished,1.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,13:57:00
SBMP_20200320_H1-5_BRUV,-25.98535563,113.1884574,2020-03-20T13:09:48Z,H1,Shark Bay,Fished,1.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,13:09:48
SBMP_20200320_H1-6_BRUV,-25.98209118,113.18743,2020-03-20T13:16:03Z,H1,Shark Bay,Fished,1.3,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,13:16:03
SBMP_20200320_H2-1_BRUV,-25.9741854,113.1878252,2020-03-20T15:26:33Z,H2,Shark Bay,Fished,1.3,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:26:33
SBMP_20200320_H2-2_BRUV,-25.97378422,113.1869056,2020-03-20T15:30:42Z,H2,Shark Bay,Fished,1.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:30:42
SBMP_20200320_H2-3_BRUV,-25.97325348,113.1852645,2020-03-20T15:34:17Z,H2,Shark Bay,Fished,1.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:34:17
SBMP_20200320_H2-4_BRUV,-25.97141432,113.1853399,2020-03-20T15:41:02Z,H2,Shark Bay,Fished,2.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:41:02
SBMP_20200320_H2-5_BRUV,-25.97108815,113.1832498,2020-03-20T15:45:17Z,H2,Shark Bay,Fished,2.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:45:17
SBMP_20200320_H2-6_BRUV,-25.96965792,113.1814385,2020-03-20T15:48:58Z,H2,Shark Bay,Fished,2.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200320,15:48:58
SBMP_20200321_SBD-1_BRUV,-26.15499415,113.1818924,2020-03-21T08:05:50Z,SBD,Shark Bay,Fished,2.3,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,08:05:50
SBMP_20200321_SBD-2_BRUV,-26.1534154,113.1801386,2020-03-21T08:09:30Z,SBD,Shark Bay,Fished,4.8,Yes,No,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,08:09:30
SBMP_20200321_SBD-3_BRUV,-26.15277133,113.1766747,2020-03-21T08:13:51Z,SBD,Shark Bay,Fished,2.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,08:13:51
SBMP_20200321_SBD-4_BRUV,-26.15251918,113.1743821,2020-03-21T08:17:26Z,SBD,Shark Bay,Fished,3.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,08:17:26
