Sample,Family,Genus,Species,Count,,
20_RB1,Mullidae,Upeneus,tragula,2,,
20_RB1,Nemipteridae,Pentapodus,porosus,18,,
20_RB1,Ostraciidae,Ostracion,nasus,1,,
20_RB1,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB1,Scombridae,Scomberomorus,spp,7,,
20_RB1,Siganidae,Siganus,canaliculatus,7,,
20_RB10,Carangidae,Gnathanodon,speciosus,12,,
20_RB10,Chaetodontidae,Heniochus,acuminatus,1,,
20_RB10,Chaetodontidae,Chaetodon,aureofasciatus,4,,
20_RB10,Chaetodontidae,Coradion,chrysozonus,1,,
20_RB10,Chaetodontidae,Chelmon,marginalis,2,,
20_RB10,Glaucosomatidae,Glaucosoma,magnificum,2,,
20_RB10,Haemulidae,Plectorhinchus,vittatus,1,,
20_RB10,Hemigaleidae,Hemigaleus,australiensis,1,,
20_RB10,Labridae,Choerodon,cauteroma,2,,
20_RB10,Labridae,Choerodon,cephalotes,2,,
20_RB10,Labridae,Choerodon,cyanodus,1,,
20_RB10,Labridae,Anampses,lennardi,1,,
20_RB10,Labridae,Choerodon,schoenleinii,1,,
20_RB10,Lethrinidae,Lethrinus,olivaceus,1,,
20_RB10,Lethrinidae,Lethrinus,punctulatus,3,,
20_RB10,Lutjanidae,Lutjanus,carponotatus,2,,
20_RB10,Lutjanidae,Lutjanus,lemniscatus,1,,
20_RB10,Nemipteridae,Scolopsis,monogramma,1,,
20_RB10,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB10,Scaridae,Scarus,ghobban,1,,
20_RB10,Scombridae,Scomberomorus,spp,1,,
20_RB10,Serranidae,Epinephelus,bilobatus,3,,
20_RB10,Serranidae,Epinephelus,coioides,1,,
20_RB10,Serranidae,Plectropomus,spp,2,,
20_RB10,Siganidae,Siganus,canaliculatus,5,,
20_RB10,Sphyraenidae,Sphyraena,jello,1,,
20_RB101,Carangidae,Turrum,fulvoguttatum,2,,
20_RB101,Carangidae,Atule,mate,10,,
20_RB101,Carcharhinidae,Carcharhinus,coatesi,1,,
20_RB101,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB101,Carcharhinidae,Carcharhinus,sorrah,1,,
20_RB101,Echeneidae,Echeneis,naucrates,1,,
20_RB101,Labridae,Choerodon,cauteroma,2,,
20_RB101,Labridae,Choerodon,cephalotes,1,,
20_RB101,Lethrinidae,Lethrinus,genivittatus,2,,
20_RB101,Lethrinidae,Lethrinus,punctulatus,5,,
20_RB101,Nemipteridae,Scolopsis,monogramma,1,,
20_RB101,Nemipteridae,Pentapodus,porosus,3,,
20_RB101,Scombridae,Scomberomorus,spp,1,,
20_RB101,Serranidae,Epinephelus,bilobatus,2,,
20_RB102,Carangidae,Scomberoides,commersonnianus,2,,
20_RB102,Carangidae,Turrum,fulvoguttatum,1,,
20_RB102,Carangidae,Turrum,gymnostethus,2,,
20_RB102,Carangidae,Atule,mate,144,,
20_RB102,Carangidae,Gnathanodon,speciosus,25,,
20_RB102,Carcharhinidae,Carcharhinus,coatesi,1,,
20_RB102,Echeneidae,Echeneis,naucrates,1,,
20_RB102,Labridae,Choerodon,cauteroma,4,,
20_RB102,Labridae,Choerodon,cephalotes,2,,
20_RB102,Lethrinidae,Lethrinus,genivittatus,2,,
20_RB102,Lethrinidae,Lethrinus,nebulosus,1,,
20_RB102,Lethrinidae,Lethrinus,punctulatus,7,,
20_RB102,Mullidae,Upeneus,tragula,4,,
20_RB102,Nemipteridae,Scolopsis,monogramma,2,,
20_RB102,Nemipteridae,Pentapodus,porosus,9,,
20_RB102,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB102,Scombridae,Scomberomorus,spp,1,,
20_RB102,Serranidae,Epinephelus,bilobatus,2,,
20_RB102,Siganidae,Siganus,canaliculatus,3,,
20_RB102,Sphyrnidae,Sphyrna,mokarran,1,,
20_RB102,Stegostomatidae,Stegostoma,tigrinum,1,,
20_RB104,Carangidae,Scomberoides,commersonnianus,1,,
20_RB104,Carangidae,Atule,mate,6,,
20_RB104,Carangidae,Gnathanodon,speciosus,6,,
20_RB104,Carcharhinidae,Rhizoprionodon,acutus,1,,
20_RB104,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB104,Chaetodontidae,Chelmon,marginalis,1,,
20_RB104,Dasyatidae,Urogymnus,granulatus,1,,
20_RB104,Echeneidae,Echeneis,naucrates,3,,
20_RB104,Hemiscylliidae,Chiloscyllium,punctatum,1,,
20_RB104,Labridae,Choerodon,cauteroma,3,,
20_RB104,Labridae,Choerodon,cephalotes,2,,
20_RB104,Labridae,Choerodon,vitta,2,,
20_RB104,Lethrinidae,Lethrinus,lentjan,1,,
20_RB104,Lethrinidae,Lethrinus,punctulatus,8,,
20_RB104,Lutjanidae,Lutjanus,carponotatus,1,,
20_RB104,Mullidae,Upeneus,tragula,1,,
20_RB104,Nemipteridae,Scolopsis,monogramma,1,,
20_RB104,Nemipteridae,Pentapodus,porosus,21,,
20_RB104,Pomacanthidae,Chaetodontoplus,duboulayi,3,,
20_RB104,Pomacentridae,Amphiprion,clarkii,2,,
20_RB104,Pseudochromidae,Labracinus,cyclophthalmus,1,,
20_RB104,Scaridae,Scarus,ghobban,1,,
20_RB104,Scombridae,Scomberomorus,spp,6,,
20_RB104,Serranidae,Epinephelus,bilobatus,4,,
20_RB104,Serranidae,Epinephelus,coioides,1,,
20_RB104,Serranidae,Epinephelus,quoyanus,1,,
20_RB104,Siganidae,Siganus,canaliculatus,48,,
20_RB109,Ariidae,Netuma,thalassina,2,,
20_RB109,Carangidae,Scomberoides,commersonnianus,1,,
20_RB109,Carangidae,Atule,mate,7,,
20_RB109,Carangidae,Caranx,papuensis,1,,
20_RB109,Carangidae,Gnathanodon,speciosus,1,,
20_RB109,Labridae,Choerodon,cauteroma,1,,
20_RB109,Labridae,Choerodon,cephalotes,3,,
20_RB109,Labridae,Coris,pictoides,3,,
20_RB109,Lethrinidae,Lethrinus,genivittatus,5,,
20_RB109,Lethrinidae,Lethrinus,punctulatus,8,,
20_RB109,Lutjanidae,Symphorus,nematophorus,1,,
